,date,order id,amount,coupon,country,currency,customer type
0,2025-10-06,DZ1187245851,0,sd49,SAU,SAR,returning
1,2025-10-06,DZ1186947454,0,GY33,SAU,SAR,returning
2,2025-10-06,DZ1186797898,0,gy5,SAU,SAR,returning
3,2025-10-06,DZ1186818336,0,GY96,SAU,SAR,new
4,2025-10-06,DZ1187302985,0,SD7,SAU,SAR,returning
5,2025-10-06,DZ1186808326,0,sd89,SAU,SAR,returning
6,2025-10-06,DZ1187205503,0,GY36,SAU,SAR,returning
7,2025-10-06,DZ1187327812,0,GY25,SAU,SAR,returning
8,2025-10-06,DZ1187173966,0,SD89,SAU,SAR,returning
9,2025-10-06,DZ1187099210,0,SD88,SAU,SAR,returning
10,2025-10-06,DZ1187208957,0,GY10,SAU,SAR,new
11,2025-10-06,DZ1186900374,0,sd73,SAU,SAR,returning
12,2025-10-06,DZ1187206757,0,SD184,SAU,SAR,returning
13,2025-10-06,DZ1186805664,0,Gy5,SAU,SAR,new
14,2025-10-06,DZ1187189300,0,SD148,SAU,SAR,returning
15,2025-10-06,DZ1186962293,0,sd53,SAU,SAR,returning
16,2025-10-06,DZ1187172767,0,SD87,SAU,SAR,returning
17,2025-10-06,DZ1187257082,0,GY96,SAU,SAR,new
18,2025-10-06,DZ1187270612,0,Gy5,SAU,SAR,returning
19,2025-10-06,DZ1187095591,0,SD184,SAU,SAR,returning
20,2025-10-06,DZ1187272724,0,SD184,SAU,SAR,returning
21,2025-10-06,DZ1186815223,0,GY96,SAU,SAR,new
22,2025-10-06,DZ1187007228,0,SD22,SAU,SAR,returning
23,2025-10-06,DZ1187264936,0,Gy5,SAU,SAR,returning
24,2025-10-06,DZ1186827917,0,GY96,SAU,SAR,new
25,2025-10-06,DZ1186937642,0,TDD39,SAU,SAR,returning
26,2025-10-06,DZ1187292744,0,GY30,SAU,SAR,returning
27,2025-10-06,DZ1187140438,0,SD11,SAU,SAR,returning
28,2025-10-06,DZ1187165155,0,GY4,SAU,SAR,returning
29,2025-10-06,DZ1186774798,0,GY2,SAU,SAR,returning
30,2025-10-06,DZ1187268863,0,SD184,SAU,SAR,returning
31,2025-10-06,DZ1187226667,0,sd50,SAU,SAR,returning
32,2025-10-06,DZ1186775183,0,SD11,SAU,SAR,returning
33,2025-10-06,DZ1187102213,0,GY36,SAU,SAR,returning
34,2025-10-06,DZ1187014884,0,GY96,SAU,SAR,new
35,2025-10-06,DZ1187320134,0,Gy5,SAU,SAR,returning
36,2025-10-06,DZ1187136874,0,GY5,SAU,SAR,returning
37,2025-10-06,DZ1186859850,0,GY6,SAU,SAR,returning
38,2025-10-06,DZ1186964482,0,SD22,SAU,SAR,returning
39,2025-10-06,DZ1187051140,0,GY36,SAU,SAR,returning
40,2025-10-06,DZ1187313666,0,SD21,SAU,SAR,returning
41,2025-10-06,DZ1187098253,0,GY37,SAU,SAR,returning
42,2025-10-06,DZ1187064835,0,sd3,SAU,SAR,returning
43,2025-10-06,DZ1187220012,0,SD57,SAU,SAR,returning
