"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"07 Oct 2025","fxn","6","563.32","0","0.00","0","0.00","0","0.00"
"07 Oct 2025","df5","2","143.33","0","0.00","0","0.00","0","0.00"
"07 Oct 2025","ost","1","68.25","0","0.00","0","0.00","0","0.00"
"07 Oct 2025","fuj","1","289.74","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","fxn","22","2762.98","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","fuj","5","1098.90","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","ost","4","585.47","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","piv","1","124.58","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","cnl","1","69.91","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","dd44","1","39.55","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","df5","1","238.34","0","0.00","0","0.00","0","0.00"
"06 Oct 2025","fbp","1","129.96","0","0.00","0","0.00","0","0.00"
