Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Sep 18, 2025",New Orders,000923341,Z47,KSA,230.2118,23.02118
"Sep 18, 2025",Existing Orders,000923615,Z47,KSA,48.1866,4.81866
"Sep 28, 2025",Existing Orders,3011340485,R199,KSA,75.852,7.5852
"Sep 28, 2025",New Orders,3011339909,R199,KSA,38.71,3.8710000000000004
"Sep 26, 2025",Existing Orders,3011335633,R199,KSA,73.8626,7.38626
"Oct 1, 2025",Existing Orders,3011356167,BCARE,KSA,120.638,null
"Oct 1, 2025",Existing Orders,3011355347,R199,KSA,49.98,4.998
"Sep 12, 2025",Existing Orders,3011277955,R199,KSA,210.7392,21.07392
"Sep 12, 2025",Existing Orders,3011278529,R199,KSA,117.6,11.76
"Sep 9, 2025",Existing Orders,3011265751,Z40,KSA,125.832,12.5832
"Sep 9, 2025",Existing Orders,3011268605,R199,KSA,92.953,9.295300000000001
"Sep 11, 2025",Existing Orders,3011274925,ZF,KSA,349.1642,34.91642
"Sep 27, 2025",Existing Orders,000927123,R199,KSA,218.05,21.805000000000003
"Oct 2, 2025",Existing Orders,3011362757,R199,KSA,203.7518,20.37518
"Oct 5, 2025",Existing Orders,3011377223,R199,KSA,216.6584,21.665840000000003
"Sep 13, 2025",New Orders,3011283985,R199,KSA,90.8166,9.08166
"Sep 13, 2025",Existing Orders,3011281451,Z41,KSA,149.499,14.9499
"Sep 8, 2025",Existing Orders,3011262251,R199,KSA,112.4354,11.243540000000001
"Sep 21, 2025",Existing Orders,3011314707,R199,KSA,119.7756,11.97756
"Sep 21, 2025",Existing Orders,3011316925,R13,KSA,93.4136,9.34136
"Sep 29, 2025",Existing Orders,000927995,Z45,KSA,747.6518,74.76518
"Sep 14, 2025",Existing Orders,3011288175,R199,KSA,97.02,9.702
"Sep 14, 2025",New Orders,3011288165,Z45,KSA,71.736,7.1736
"Sep 19, 2025",Existing Orders,3011306019,R199,KSA,132.2118,13.221180000000002
"Sep 19, 2025",Existing Orders,3011309075,R199,KSA,70.364,7.0364
"Oct 4, 2025",Existing Orders,3011371681,R151,KSA,116.5416,11.654160000000001
"Oct 4, 2025",Existing Orders,3011369331,Z47,KSA,57.428,5.7428
"Sep 14, 2025",New Orders,3011286839,R199,KSA,186.69,18.669
"Sep 12, 2025",Existing Orders,3011279329,R199,KSA,163.464,16.3464
"Sep 18, 2025",New Orders,3011305569,R188,KSA,36.2306,3.6230600000000006
"Sep 16, 2025",Existing Orders,3011294603,R199,KSA,86.2106,8.62106
"Sep 20, 2025",Existing Orders,3011310919,R199,KSA,122.0296,12.202960000000001
"Oct 6, 2025",Existing Orders,3011381895,R199,KSA,470.0864,47.00864000000001
"Sep 17, 2025",Existing Orders,3011301855,R199,KSA,133.8582,13.385820000000002
"Sep 17, 2025",New Orders,3011301341,R199,KSA,32.879,3.2879
"Sep 17, 2025",New Orders,000923089,R199,KSA,47.726,4.7726
"Sep 15, 2025",Existing Orders,3011291301,R151,KSA,161.9744,16.19744
"Sep 30, 2025",New Orders,3011349159,R199,KSA,86.534,8.653400000000001
"Sep 22, 2025",Existing Orders,3011321985,R199,KSA,253.6338,25.363380000000003
"Sep 22, 2025",Existing Orders,3011321383,R188,KSA,96.922,9.6922
"Sep 22, 2025",New Orders,3011319019,R188,KSA,33.5846,3.3584600000000004
"Sep 9, 2025",Existing Orders,3011264573,R199,KSA,388.1878,38.818780000000004
"Sep 10, 2025",Existing Orders,3011269741,R199,KSA,457.6012,45.76012
"Sep 10, 2025",Existing Orders,3011272939,R199,KSA,92.463,9.2463
"Sep 10, 2025",Existing Orders,3011270363,R199,KSA,75.999,7.5999
"Sep 11, 2025",Existing Orders,3011274707,R199,KSA,112.1904,11.21904
"Oct 2, 2025",Existing Orders,3011363965,R13,KSA,140.434,14.0434
"Oct 2, 2025",Existing Orders,3011364043,R13,KSA,185.0632,18.50632
"Oct 5, 2025",Existing Orders,3011375313,R199,KSA,316.2754,31.62754
"Oct 5, 2025",New Orders,3011375069,R199,KSA,141.2866,14.12866
"Sep 13, 2025",Existing Orders,3011283613,R199,KSA,318.7548,31.87548
"Sep 13, 2025",Existing Orders,3011284097,Z41,KSA,86.5928,8.65928
"Sep 13, 2025",New Orders,3011284443,R199,KSA,84.3584,8.43584
"Oct 3, 2025",Existing Orders,3011364487,R199,KSA,52.234,5.223400000000001
"Sep 21, 2025",Existing Orders,3011318151,JM,KSA,249.8804,24.98804
"Sep 21, 2025",Existing Orders,3011315005,ZF,KSA,140.4046,14.04046
"Sep 29, 2025",Existing Orders,3011347821,R199,KSA,385.1302,38.513020000000004
"Sep 23, 2025",Existing Orders,3011326071,R199,KSA,210.1512,21.01512
"Sep 7, 2025",Existing Orders,3011259127,R199,KSA,385.5908,38.55908
"Oct 4, 2025",Existing Orders,000930649,JM,KSA,415.4318,41.54318000000001
"Oct 4, 2025",Existing Orders,000930697,Z45,KSA,257.74,25.774
"Sep 23, 2025",Existing Orders,3011323889,R199,KSA,76.9594,7.69594
"Sep 10, 2025",Existing Orders,3011271277,R188,KSA,78.1746,7.8174600000000005
"Sep 30, 2025",Existing Orders,3011353509,R133,KSA,408.5816,40.85816
"Sep 17, 2025",Existing Orders,3011301667,Z47,KSA,124.4796,12.447960000000002
"Sep 18, 2025",Existing Orders,3011304679,R199,KSA,84.7014,8.47014
"Sep 20, 2025",Existing Orders,3011313779,R199,KSA,174.489,17.448900000000002
"Oct 6, 2025",Existing Orders,3011378367,R199,KSA,143.472,14.3472
"Oct 6, 2025",Existing Orders,3011381743,Z47,KSA,178.0072,17.800720000000002
"Sep 16, 2025",New Orders,3011297687,R199,KSA,125.5576,12.55576
"Sep 18, 2025",Existing Orders,3011305127,DG21,KSA,134.799,13.4799
"Sep 15, 2025",New Orders,3011291715,Z45,KSA,385.385,38.5385
"Oct 1, 2025",Existing Orders,3011359101,R13,KSA,267.197,26.719700000000003
"Oct 1, 2025",Existing Orders,3011359079,R199,KSA,159.4166,15.941659999999999
"Oct 1, 2025",Existing Orders,3011359585,R199,KSA,128.1154,12.81154
"Sep 24, 2025",Existing Orders,000926165,R199,KSA,202.8208,20.28208
"Sep 30, 2025",New Orders,3011351133,R199,KSA,495.782,49.5782
"Sep 30, 2025",Existing Orders,3011351211,Z47,KSA,125.4792,12.547920000000001
"Sep 10, 2025",Existing Orders,3011273167,R199,KSA,152.4684,15.24684
"Sep 10, 2025",Existing Orders,3011273401,R199,KSA,109.809,10.9809
"Sep 10, 2025",Existing Orders,3011272843,R199,KSA,120.932,12.093200000000001
"Sep 11, 2025",Existing Orders,3011276343,Z50,KSA,128.919,12.891900000000001
