Date,coupon,country,Usage
26-Oct-2025,k135,KSA,7
26-Oct-2025,k137,KSA,3
26-Oct-2025,k144,KSA,3
26-Oct-2025,k153,KSA,1
26-Oct-2025,k166,KSA,3
26-Oct-2025,k172,KSA,5
26-Oct-2025,k173,KSA,1
26-Oct-2025,k179,KSA,2
26-Oct-2025,k180,KSA,1
26-Oct-2025,k182,KSA,1
26-Oct-2025,k194,KSA,1
26-Oct-2025,k195,KSA,1
26-Oct-2025,k196,KSA,11
26-Oct-2025,k197,KSA,36
26-Oct-2025,ka11,KSA,1
26-Oct-2025,ka12,KSA,27
26-Oct-2025,ka15,KSA,2
26-Oct-2025,ka21,KSA,6
26-Oct-2025,ka37,KSA,1
26-Oct-2025,ka50,KSA,4
26-Oct-2025,ka60,KSA,9
26-Oct-2025,ka63,KSA,2
26-Oct-2025,ka7,KSA,1
26-Oct-2025,ka99,KSA,1
