created_date,country,order_id,Coupon,AED_gross_amount,AED_net_amount
"Sep 26, 2025",KW,BKW19428421,DD5,546.93,546.93
"Sep 25, 2025",AE,BAE18219446,TT54,1845,1845
"Sep 24, 2025",KW,BKW19426375,TT97,531,531
"Sep 23, 2025",KW,BKW19425683,TT28,286.74,0
"Sep 23, 2025",KW,BKW19425480,TT28,310.93,310.93
"Sep 20, 2025",AE,BAE18217445,DD10,355.5,355.5
"Sep 18, 2025",AE,BAE18216576,DD15,2997,2997
"Sep 17, 2025",AE,BAE18216354,DZ9,2340,2340
"Sep 16, 2025",AE,BAE18216034,TT43,571.5,571.5
"Sep 15, 2025",AE,BAE18215597,DD20,832.5,832.5
"Sep 14, 2025",AE,BAE18215100,DD15,229.5,229.5
"Sep 14, 2025",KW,BKW19421652,KK26,371.11,371.11
"Sep 14, 2025",AE,BAE18215089,DD15,229.5,0
"Sep 14, 2025",AE,BAE18215088,DD15,819,819
"Sep 13, 2025",KW,BKW19421418,TT15,1582.38,1582.38
"Sep 12, 2025",AE,BAE18214361,DD10,504,504
"Sep 11, 2025",AE,BAE18213582,GDT50,1269,1269
"Sep 11, 2025",AE,BAE18213496,TT4,337.5,337.5
"Sep 11, 2025",KW,BKW19420419,TT99,244.26,244.26
"Sep 11, 2025",KW,BKW19420323,DD5,682.04,682.04
"Sep 10, 2025",KW,BKW19419498,TT54,1285.02,1285.02
"Sep 10, 2025",KW,BKW19419842,DD5,682.04,0
"Sep 7, 2025",AE,BAE18212158,DD10,135,135
"Sep 3, 2025",AE,BAE18210105,DD17,391.5,391.5
"Sep 2, 2025",AE,BAE18209694,TT2,1755,1755
"Sep 1, 2025",KW,BKW19413764,TT54,2357.05,2357.05
"Aug 31, 2025",KW,BKW19413142,TT54,581.74,0
"Aug 31, 2025",AE,BAE18208577,TT54,1576.8000000000002,1576.8000000000002
"Aug 30, 2025",AE,BAE18208531,TT54,2841.3,2143.8
"Aug 29, 2025",AE,BAE18207353,FAM,3268.8,3268.8
"Aug 29, 2025",KW,BKW19411243,TT16,634.5450000000001,634.5450000000001
"Aug 29, 2025",AE,BAE18207791,TT72,121.5,121.5
"Aug 29, 2025",KW,BKW19411269,GDT2,2272.6800000000003,2272.6800000000003
