,date,order id,amount,coupon,country,currency,customer type
0,2025-09-26,DZ1180139092,0,TDD39,SAU,SAR,returning
1,2025-09-26,DZ1180452592,0,GY39,SAU,SAR,returning
2,2025-09-26,DZ1180573944,0,TDD40,SAU,SAR,new
3,2025-09-26,DZ1180325520,0,SD11,SAU,SAR,returning
4,2025-09-26,DZ1180188999,0,TDD14,SAU,SAR,returning
5,2025-09-26,DZ1179920445,0,SD11,SAU,SAR,returning
6,2025-09-26,DZ1180057098,0,SD22,SAU,SAR,returning
7,2025-09-26,DZ1180400650,0,GY25,SAU,SAR,new
8,2025-09-26,DZ1180243735,0,SD30,SAU,SAR,returning
9,2025-09-26,DZ1180060860,0,SD22,SAU,SAR,returning
10,2025-09-26,DZ1180234352,0,SD22,SAU,SAR,returning
11,2025-09-26,DZ1180421407,0,TDD40,SAU,SAR,returning
12,2025-09-26,DZ1180426907,0,Tdd39,SAU,SAR,returning
13,2025-09-26,DZ1179962454,0,Gy5,SAU,SAR,new
14,2025-09-26,DZ1180097666,0,SD11,SAU,SAR,returning
15,2025-09-26,DZ1180169342,0,SD22,SAU,SAR,returning
16,2025-09-26,DZ1180221603,0,sd54,SAU,SAR,returning
17,2025-09-26,DZ1180318304,0,SD184,SAU,SAR,returning
18,2025-09-26,DZ1180130017,0,TDD40,SAU,SAR,returning
19,2025-09-26,DZ1179998259,0,SD30,SAU,SAR,returning
20,2025-09-26,DZ1180553627,0,GY50,SAU,SAR,returning
21,2025-09-26,DZ1180444265,0,TDD4,SAU,SAR,returning
22,2025-09-26,DZ1180382445,0,SD11,SAU,SAR,returning
23,2025-09-26,DZ1180445079,0,TDD14,SAU,SAR,returning
24,2025-09-26,DZ1180595053,0,GY39,SAU,SAR,returning
25,2025-09-26,DZ1180401079,0,GY93,SAU,SAR,new
26,2025-09-26,DZ1180086215,0,GY96,SAU,SAR,new
27,2025-09-26,DZ1179861947,0,SD84,SAU,SAR,returning
28,2025-09-26,DZ1180214893,0,SD85,SAU,SAR,returning
29,2025-09-26,DZ1180327467,0,GY34,SAU,SAR,returning
30,2025-09-26,DZ1180560788,0,GY39,SAU,SAR,returning
31,2025-09-26,DZ1180164766,0,SD184,SAU,SAR,new
32,2025-09-26,DZ1180622905,0,TDD40,SAU,SAR,returning
33,2025-09-26,DZ1180099206,0,GY33,SAU,SAR,returning
34,2025-09-26,DZ1180457905,0,SD148,SAU,SAR,new
35,2025-09-26,DZ1180493325,0,Gy5,SAU,SAR,returning
36,2025-09-26,DZ1180522343,0,SD184,SAU,SAR,new
37,2025-09-26,DZ1180592083,0,SD184,SAU,SAR,returning
38,2025-09-26,DZ1179897004,0,GY8,SAU,SAR,returning
39,2025-09-26,DZ1180608583,0,SD184,SAU,SAR,returning
40,2025-09-26,DZ1180119611,0,SD184,SAU,SAR,returning
41,2025-09-26,DZ1180407668,0,TDD12,SAU,SAR,returning
42,2025-09-26,DZ1180040774,0,SD7,SAU,SAR,new
43,2025-09-26,DZ1180352712,0,SD22,SAU,SAR,new
44,2025-09-26,DZ1180571150,0,GY5,SAU,SAR,returning
45,2025-09-26,DZ1179881725,0,SD11,SAU,SAR,returning
46,2025-09-26,DZ1180121118,0,GY39,SAU,SAR,returning
47,2025-09-26,DZ1180469631,0,gy2,SAU,SAR,returning
48,2025-09-26,DZ1180409296,0,tdd14,SAU,SAR,returning
49,2025-09-26,DZ1180572877,0,SD184,SAU,SAR,returning
50,2025-09-26,DZ1180078812,0,gy13,SAU,SAR,returning
51,2025-09-26,DZ1179951355,0,SD96,SAU,SAR,returning
52,2025-09-26,DZ1180210284,0,GY37,SAU,SAR,returning
53,2025-09-26,DZ1180485295,0,TDD14,SAU,SAR,returning
54,2025-09-26,DZ1179949958,0,GY39,SAU,SAR,returning
55,2025-09-26,DZ1180265207,0,sd184,SAU,SAR,returning
56,2025-09-26,DZ1179779326,0,GY39,SAU,SAR,returning
57,2025-09-26,DZ1179916848,0,SD184,SAU,SAR,returning
58,2025-09-26,DZ1180477903,0,sd49,SAU,SAR,returning
59,2025-09-26,DZ1180012295,0,SD184,SAU,SAR,returning
60,2025-09-26,DZ1180566024,0,SD11,SAU,SAR,returning
61,2025-09-26,DZ1180060618,0,SD184,SAU,SAR,returning
62,2025-09-26,DZ1180594393,0,SD22,SAU,SAR,returning
63,2025-09-26,DZ1180456673,0,SD56,SAU,SAR,returning
64,2025-09-26,DZ1180541065,0,SD184,SAU,SAR,new
65,2025-09-26,DZ1180202089,0,GY33,SAU,SAR,new
