Report Name,Individual Item Report
Date Run,9/27/25
Filters,Transaction Date >= 9/1/25,Transaction Date <= 9/27/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA04072685",9/1/25,"20:53:57",52993,"Adidas KSA","IE8664_570","ALPHARESPONSE SHOES",40.33,1,2.823,"RAN221"
"ASA04070371",9/1/25,"06:39:56",52993,"Adidas KSA","GW1988_350","TENSAUR HOOK AND LOOP SHOES",19.92,1,1.394,"RAN221"
"ASA04070371",9/1/25,"06:39:56",52993,"Adidas KSA","JS3688_370","BREAKNET 3.0 SHOES KIDS",24.63,1,1.724,"RAN221"
"ASA04073593",9/2/25,"05:14:24",52993,"Adidas KSA","KL0343_220","AL AHLI FC 25/26 AWAY JSY",84.04,1,5.883,"RAN221"
"ASA04078629",9/3/25,"21:19:13",52993,"Adidas KSA","JS1418_540","GAZELLE INDOOR SHOES",74.88,1,5.242,"RAN221"
"ASA04078629",9/3/25,"21:19:13",52993,"Adidas KSA","IF3204_540","RAPIDMOVE TRAINING SHOES",70.25,1,4.918,"RAN221"
"ASA04079074",9/4/25,"01:21:55",52993,"Adidas KSA","IG5837_610","SUPERNOVA RISE RUNNING SHOES",80.91,1,5.664,"RAN222"
"ASA04083578",9/5/25,"18:09:17",52993,"Adidas KSA","IX3280_330","TECHFIT MEDIUM-SUPPORT HIGH-NECK COLORBLOCK BRA",17.12,1,1.198,"RAN221"
"ASA04083583",9/5/25,"18:08:52",52993,"Adidas KSA","JK5299_500","ADIPOWER CTRL MULTIWEIGHT 3.4 RACKET",270.16,1,18.911,"RAN221"
"ASA04083578",9/5/25,"18:09:17",52993,"Adidas KSA","IW5346_330","TECHFIT MEDIUM-SUPPORT HIGH-NECK BRA",16.5,1,1.155,"RAN221"
"ASA04083735",9/5/25,"18:54:42",52993,"Adidas KSA","JH9257_310","TENSAUR SWITCH SHOES KIDS",22.35,1,1.565,"RAN221"
"ASA04083578",9/5/25,"18:09:17",52993,"Adidas KSA","IW5329_330","RUN POCKET MEDIUM-SUPPORT BRA",18.56,1,1.299,"RAN221"
"ASA04083735",9/5/25,"18:54:42",52993,"Adidas KSA","IH1057_310","TENSAUR COMFORT SHOES KIDS",23.53,1,1.647,"RAN221"
"ASA04086499",9/6/25,"16:10:09",52993,"Adidas KSA","JQ2950_610","ULTRABOOST 5 GTX",177.23,1,12.406,"RAN221"
"ASA04084624",9/6/25,"01:32:54",52993,"Adidas KSA","FX3632_640","ULTIMASHOW SHOES",35.35,1,2.475,"RAN221"
"ASA04085231",9/6/25,"08:20:51",52993,"Adidas KSA","JQ9908_710","TERREX FREE HIKER 2.0 LOW GORE-TEX HIKING SHOES",160.33,1,11.223,"RAN221"
"ASA04089079",9/7/25,"15:48:42",52993,"Adidas KSA","JH1261_720","WOMEN'S EURO25 PRO BALL",83.67,1,5.857,"RAN221"
"ASA04091292",9/8/25,"13:42:56",52993,"Adidas KSA","JS3036_680","DROPSET CONTROL TRAINING SHOES",80.45,1,5.632,"RAN221"
"ASA04091292",9/8/25,"13:42:56",52993,"Adidas KSA","JM6438_230","MEMORIES OF SPORT GALLERY GRAPHIC TEE",26.7,1,1.869,"RAN221"
"ASA04095999",9/10/25,"12:52:53",52993,"Adidas KSA","JI0030_410","F50 CLUB FIRM/MULTI-GROUND BOOTS KIDS",37.06,1,2.594,"RAN221"
"ASA04095999",9/10/25,"12:52:53",52993,"Adidas KSA","IX4019_720","REAL MADRID HOME CLUB BALL",18.88,1,1.322,"RAN221"
"ASA04096411",9/10/25,"16:52:06",52993,"Adidas KSA","JI1384_610","ULTRABOOST 5 GTX",175.95,1,12.317,"RAN221"
"ASA04096875",9/10/25,"20:00:43",52993,"Adidas KSA","HP7556_560","RUNFALCON 3.0 SHOES",35.1,1,2.457,"RAN221"
"ASA04104555",9/14/25,"11:34:38",52993,"Adidas KSA","JI1400_580","4DFWD 4 RUNNING SHOES",96.27,1,6.739,"RAN221"
"ASA04104555",9/14/25,"11:34:38",52993,"Adidas KSA","ID8884_580","4DFWD 4 RUNNING SHOES",97.41,1,6.819,"RAN221"
"ASA04106060",9/15/25,"00:38:58",52993,"Adidas KSA","IC9378_230","ESSENTIALS 3-STRIPES SHORTS",17.28,1,1.21,"RAN221"
"ASA04106060",9/15/25,"00:38:58",52993,"Adidas KSA","JP4684_230","BLOOM SKY PRINT WOVEN SHORTS",23.44,1,1.641,"RAN221"
"ASA04106060",9/15/25,"00:38:58",52993,"Adidas KSA","JP4732_230","BLOOM SKY PRINT FRENCH TERRY SWEATSHIRT",32.1,1,2.247,"RAN221"
"ASA04106060",9/15/25,"00:38:58",52993,"Adidas KSA","IN3310_230","FUTURE ICONS 3-STRIPES PANTS",31.53,1,2.207,"RAN221"
"ASA04106060",9/15/25,"00:38:58",52993,"Adidas KSA","IW0975_230","NEUCLASSICS HOODIE",44.84,1,3.139,"RAN221"
"ASA04106060",9/15/25,"00:38:58",52993,"Adidas KSA","JP4680_230","BLOOM SKY PRINT WOVEN PANTS",34.25,1,2.398,"RAN221"
"ASA04106925",9/15/25,"11:31:28",52993,"Adidas KSA","ID0273_620","ADIDAS BY STELLA MCCARTNEY ULTRABOOST 20 SHOES",108.61,1,7.603,"RAN221"
"ASA04117358",9/17/25,"21:37:19",52993,"Adidas KSA","ID8842_530","ULTRABOOST 5 SHOES",95.44,1,6.681,"RAN221"
"ASA04121501",9/18/25,"20:41:14",52993,"Adidas KSA","JQ8397_630","GAZELLE INDOOR SHOES",99.79,1,6.985,"RAN221"
