"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"27 Sep 2025","fxn","4","549.73","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","fuj","3","201.60","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","cnl","1","69.49","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","dd44","1","49.79","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","df1","1","87.99","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","df2","1","114.77","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","fxn","17","1533.03","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","tnmw","5","745.75","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","zg32","2","146.52","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","ost","2","225.42","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","cnl","1","97.16","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","piv","1","244.53","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","dd44","1","100.53","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","fuj","1","128.68","0","0.00","0","0.00","0","0.00"
