Date,coupon,country,Usage
25-Sep-2025,k123,KSA,1
25-Sep-2025,K130,KSA,1
25-Sep-2025,k135,KSA,6
25-Sep-2025,K137,KSA,16
25-Sep-2025,K138,KSA,1
25-Sep-2025,K166,KSA,2
25-Sep-2025,K179,KSA,1
25-Sep-2025,K180,KSA,1
25-Sep-2025,K182,KSA,3
25-Sep-2025,K195,KSA,1
25-Sep-2025,k197,KSA,20
25-Sep-2025,K198,KSA,1
25-Sep-2025,KA1,KSA,2
25-Sep-2025,Ka100,KSA,1
25-Sep-2025,KA111,KSA,1
25-Sep-2025,Ka119,KSA,1
25-Sep-2025,Ka12,KSA,70
25-Sep-2025,KA15,KSA,2
25-Sep-2025,ka18,KSA,1
25-Sep-2025,KA21,KSA,3
25-Sep-2025,Ka37,KSA,1
25-Sep-2025,KA4,KSA,3
25-Sep-2025,kA50,KSA,3
25-Sep-2025,KA59,KSA,2
25-Sep-2025,KA60,KSA,5
25-Sep-2025,KA61,KSA,2
25-Sep-2025,KA64,KSA,3
25-Sep-2025,KA66,KSA,11
25-Sep-2025,kA80,KSA,1
25-Sep-2025,KA88,KSA,5
25-Sep-2025,KA95,KSA,1
25-Sep-2025,KA99,KSA,2
25-Sep-2025,SS13,KSA,1
