Date,coupon,country,Usage
04-Oct-2025,K123,KSA,2
04-Oct-2025,k135,KSA,12
04-Oct-2025,K137,KSA,7
04-Oct-2025,K144,KSA,1
04-Oct-2025,K166,KSA,7
04-Oct-2025,K172,KSA,2
04-Oct-2025,k180,KSA,1
04-Oct-2025,K195,KSA,8
04-Oct-2025,k197,KSA,8
04-Oct-2025,KA1,KSA,1
04-Oct-2025,Ka100,KSA,1
04-Oct-2025,Ka119,KSA,3
04-Oct-2025,ka12,KSA,37
04-Oct-2025,KA15,KSA,1
04-Oct-2025,KA2,KSA,5
04-Oct-2025,KA21,KSA,5
04-Oct-2025,KA34,KSA,1
04-Oct-2025,KA37,KSA,2
04-Oct-2025,Ka4,KSA,1
04-Oct-2025,kA50,KSA,2
04-Oct-2025,KA55,KSA,1
04-Oct-2025,KA57,KSA,1
04-Oct-2025,KA59,KSA,2
04-Oct-2025,KA60,KSA,3
04-Oct-2025,KA64,KSA,4
04-Oct-2025,KA66,KSA,10
04-Oct-2025,Ka88,KSA,2
