Date,coupon,country,Usage
24-Oct-2025,k123,KSA,2
24-Oct-2025,k135,KSA,20
24-Oct-2025,k137,KSA,2
24-Oct-2025,k138,KSA,1
24-Oct-2025,k150,KSA,1
24-Oct-2025,k153,KSA,1
24-Oct-2025,k166,KSA,2
24-Oct-2025,k172,KSA,1
24-Oct-2025,k180,KSA,1
24-Oct-2025,k192,KSA,1
24-Oct-2025,k195,KSA,1
24-Oct-2025,k197,KSA,26
24-Oct-2025,k198,KSA,3
24-Oct-2025,k200,KSA,1
24-Oct-2025,ka1,KSA,2
24-Oct-2025,ka119,KSA,1
24-Oct-2025,ka12,KSA,43
24-Oct-2025,ka13,KSA,1
24-Oct-2025,ka14,KSA,1
24-Oct-2025,ka15,KSA,3
24-Oct-2025,ka16,KSA,1
24-Oct-2025,ka2,KSA,1
24-Oct-2025,ka21,KSA,2
24-Oct-2025,ka23,KSA,1
24-Oct-2025,ka28,KSA,1
24-Oct-2025,ka34,KSA,2
24-Oct-2025,ka50,KSA,4
24-Oct-2025,ka60,KSA,11
24-Oct-2025,ka61,KSA,1
24-Oct-2025,ka63,KSA,7
24-Oct-2025,ka64,KSA,1
24-Oct-2025,ka66,KSA,3
24-Oct-2025,ka68,KSA,1
