"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"04 Sep 2025","fuj","1","47.09","0","0.00","0","0.00","0","0.00"
"04 Sep 2025","cnl","1","52.07","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","fxn","6","319.04","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","fuj","3","447.60","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","cnl","2","178.55","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","ds8","1","53.14","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","ifw","1","161.53","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","zg32","1","52.07","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","7a03","1","32.82","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","ck","1","64.76","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","df2","1","37.92","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","df5","1","115.31","0","0.00","0","0.00","0","0.00"
