"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"04 Sep 2025","fxn","6","377.15","0","0.00","0","0.00","0","0.00"
"04 Sep 2025","df2","2","185.26","0","0.00","0","0.00","0","0.00"
"04 Sep 2025","cnl","1","111.29","0","0.00","0","0.00","0","0.00"
"04 Sep 2025","dd44","1","86.61","0","0.00","0","0.00","0","0.00"
"04 Sep 2025","df5","1","101.92","0","0.00","0","0.00","0","0.00"
"04 Sep 2025","tnmw","1","84.01","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","fxn","23","1913.56","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","cnl","6","857.24","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","ost","3","168.71","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","tnmw","2","351.84","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","df5","2","172.72","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","fuj","2","241.04","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","df2","1","25.60","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","nn","1","97.82","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","dd44","1","117.95","0","0.00","0","0.00","0","0.00"
"03 Sep 2025","7a03","1","52.07","0","0.00","0","0.00","0","0.00"
