Date,coupon,country,Usage
02-Sep-2025,K10,KSA,2
02-Sep-2025,K123,KSA,2
02-Sep-2025,K135,KSA,4
02-Sep-2025,K137,KSA,7
02-Sep-2025,K153,KSA,1
02-Sep-2025,K180,KSA,1
02-Sep-2025,k182,KSA,1
02-Sep-2025,K197,KSA,8
02-Sep-2025,K198,KSA,3
02-Sep-2025,KA1,KSA,4
02-Sep-2025,Ka11,KSA,1
02-Sep-2025,Ka119,KSA,1
02-Sep-2025,Ka12,KSA,52
02-Sep-2025,Ka14,KSA,1
02-Sep-2025,KA15,KSA,5
02-Sep-2025,KA2,KSA,21
02-Sep-2025,Ka21,KSA,1
02-Sep-2025,Ka23,KSA,1
02-Sep-2025,kA27,KSA,1
02-Sep-2025,KA3,KSA,1
02-Sep-2025,KA4,KSA,11
02-Sep-2025,kA50,KSA,5
02-Sep-2025,KA57,KSA,1
02-Sep-2025,KA59,KSA,1
02-Sep-2025,KA60,KSA,1
02-Sep-2025,KA61,KSA,1
02-Sep-2025,KA80,KSA,1
02-Sep-2025,Ka88,KSA,1
