,date,order id,amount,coupon,country,currency,customer type
0,2025-09-19,DZ1175147204,0,GY33,SAU,SAR,returning
1,2025-09-19,DZ1175023960,0,sd43,SAU,SAR,returning
2,2025-09-19,DZ1174679231,0,GY45,SAU,SAR,returning
3,2025-09-19,DZ1174720030,0,TDD39,SAU,SAR,returning
4,2025-09-19,DZ1174562664,0,GY50,SAU,SAR,new
5,2025-09-19,DZ1174565128,0,TDD40,SAU,SAR,returning
6,2025-09-19,DZ1174817314,0,SD90,SAU,SAR,returning
7,2025-09-19,DZ1174606444,0,SD22,SAU,SAR,returning
8,2025-09-19,DZ1174879266,0,GY45,SAU,SAR,returning
9,2025-09-19,DZ1174856958,0,GY38,SAU,SAR,new
10,2025-09-19,DZ1174831955,0,sd21,SAU,SAR,returning
11,2025-09-19,DZ1174624528,0,TDD14,SAU,SAR,returning
12,2025-09-19,DZ1174518862,0,SD11,SAU,SAR,returning
13,2025-09-19,DZ1174593068,0,SD12,SAU,SAR,returning
14,2025-09-19,DZ1175151879,0,TDD40,SAU,SAR,returning
15,2025-09-19,DZ1174913014,0,SD11,SAU,SAR,new
16,2025-09-19,DZ1174673610,0,GY45,SAU,SAR,new
17,2025-09-19,DZ1175053473,0,GY45,SAU,SAR,new
18,2025-09-19,DZ1175198244,0,SD11,SAU,SAR,returning
19,2025-09-19,DZ1175222147,0,SD14,SAU,SAR,returning
20,2025-09-19,DZ1174847146,0,GY36,SAU,SAR,returning
21,2025-09-19,DZ1174862403,0,GY96,SAU,SAR,new
22,2025-09-19,DZ1175239461,0,TDD44,SAU,SAR,returning
23,2025-09-19,DZ1175169787,0,GY38,SAU,SAR,returning
24,2025-09-19,DZ1174750291,0,GY36,SAU,SAR,returning
25,2025-09-19,DZ1174861127,0,GY60,SAU,SAR,new
26,2025-09-19,DZ1174815521,0,sd43,SAU,SAR,returning
27,2025-09-19,DZ1174766945,0,SD184,SAU,SAR,returning
28,2025-09-19,DZ1175249526,0,TDD40,SAU,SAR,returning
29,2025-09-19,DZ1174786910,0,TDD40,SAU,SAR,returning
30,2025-09-19,DZ1174907085,0,SD11,SAU,SAR,returning
31,2025-09-19,DZ1175173923,0,TDD40,SAU,SAR,returning
32,2025-09-19,DZ1175045883,0,GY50,SAU,SAR,new
33,2025-09-19,DZ1174872776,0,sd29,SAU,SAR,returning
34,2025-09-19,DZ1174804631,0,Gy5,SAU,SAR,returning
35,2025-09-19,DZ1175152814,0,SD184,SAU,SAR,returning
36,2025-09-19,DZ1175081743,0,GY3,SAU,SAR,returning
37,2025-09-19,DZ1175248008,0,SD11,SAU,SAR,returning
38,2025-09-19,DZ1175163704,0,sd120,SAU,SAR,returning
39,2025-09-19,DZ1175034982,0,GY22,SAU,SAR,returning
40,2025-09-19,DZ1174777131,0,GY25,SAU,SAR,returning
41,2025-09-19,DZ1174579373,0,sd75,SAU,SAR,returning
42,2025-09-19,DZ1175193833,0,SD11,SAU,SAR,returning
43,2025-09-19,DZ1174615662,0,gy4,SAU,SAR,returning
44,2025-09-19,DZ1175232806,0,GY33,SAU,SAR,returning
45,2025-09-19,DZ1174545273,0,GY11,SAU,SAR,returning
46,2025-09-19,DZ1174766648,0,SD22,SAU,SAR,returning
47,2025-09-19,DZ1174950821,0,SD44,SAU,SAR,returning
48,2025-09-19,DZ1174516222,0,SD184,SAU,SAR,returning
49,2025-09-19,DZ1174744967,0,GY33,SAU,SAR,returning
50,2025-09-19,DZ1175125622,0,GY36,SAU,SAR,returning
51,2025-09-19,DZ1175029229,0,TDD14,SAU,SAR,returning
52,2025-09-19,DZ1174827434,0,SD22,SAU,SAR,returning
53,2025-09-19,DZ1175111146,0,SD35,SAU,SAR,returning
54,2025-09-19,DZ1175165849,0,SD184,SAU,SAR,returning
55,2025-09-19,DZ1174919295,0,TDD40,SAU,SAR,returning
56,2025-09-19,DZ1175139680,0,SD184,SAU,SAR,returning
57,2025-09-19,DZ1175130869,0,GY36,SAU,SAR,returning
58,2025-09-19,DZ1175078014,0,TDD39,SAU,SAR,returning
59,2025-09-19,DZ1174779386,0,TDD39,SAU,SAR,returning
60,2025-09-19,DZ1175263529,0,Gy5,SAU,SAR,returning
61,2025-09-19,DZ1175002136,0,TDD39,SAU,SAR,returning
62,2025-09-19,DZ1175285628,0,GY33,SAU,SAR,returning
63,2025-09-19,DZ1174994755,0,GY96,SAU,SAR,new
64,2025-09-19,DZ1174563192,0,GY96,SAU,SAR,new
65,2025-09-19,DZ1175179445,0,GY33,SAU,SAR,new
66,2025-09-19,DZ1174984085,0,GY96,SAU,SAR,new
