"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"20 Sep 2025","fxn","3","275.90","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","df5","1","98.89","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","ost","1","234.64","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","fxn","12","2645.65","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","fuj","4","627.37","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","df5","3","438.73","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","cnl","2","408.28","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","ost","2","259.24","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","dd44","1","319.97","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","tnmw","1","318.55","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","zg32","1","96.47","0","0.00","0","0.00","0","0.00"
