Date,coupon,country,Usage
18-Sep-2025,K135,KSA,10
18-Sep-2025,K137,KSA,21
18-Sep-2025,K144,KSA,1
18-Sep-2025,k159,KSA,1
18-Sep-2025,K166,KSA,6
18-Sep-2025,K167,KSA,1
18-Sep-2025,K180,KSA,4
18-Sep-2025,k195,KSA,14
18-Sep-2025,K196,KSA,1
18-Sep-2025,K197,KSA,18
18-Sep-2025,K198,KSA,1
18-Sep-2025,K199,KSA,1
18-Sep-2025,KA1,KSA,2
18-Sep-2025,Ka11,KSA,1
18-Sep-2025,Ka117,KSA,1
18-Sep-2025,Ka12,KSA,60
18-Sep-2025,KA15,KSA,5
18-Sep-2025,Ka23,KSA,1
18-Sep-2025,KA24,KSA,1
18-Sep-2025,KA27,KSA,1
18-Sep-2025,Ka37,KSA,4
18-Sep-2025,KA50,KSA,4
18-Sep-2025,KA51,KSA,1
18-Sep-2025,KA59,KSA,4
18-Sep-2025,ka6,KSA,1
18-Sep-2025,ka60,KSA,7
18-Sep-2025,KA61,KSA,2
18-Sep-2025,ka63,KSA,1
18-Sep-2025,KA64,KSA,5
18-Sep-2025,KA66,KSA,8
18-Sep-2025,Ka71,KSA,1
18-Sep-2025,Ka73,KSA,1
18-Sep-2025,KA80,KSA,1
18-Sep-2025,ka88,KSA,6
18-Sep-2025,ka9,KSA,1
18-Sep-2025,Ka95,KSA,2
18-Sep-2025,SS33,KSA,1
