,date,order id,amount,coupon,country,currency,customer type
0,2025-09-18,DZ1174216703,0,GY96,SAU,SAR,new
1,2025-09-18,DZ1174378084,0,GY50,SAU,SAR,new
2,2025-09-18,DZ1174084329,0,SD18,SAU,SAR,returning
3,2025-09-18,DZ1174193086,0,TDD41,SAU,SAR,new
4,2025-09-18,DZ1174332698,0,GY10,SAU,SAR,returning
5,2025-09-18,DZ1174421578,0,GY33,SAU,SAR,returning
6,2025-09-18,DZ1174347955,0,SD22,SAU,SAR,returning
7,2025-09-18,DZ1173798417,0,SD22,SAU,SAR,returning
8,2025-09-18,DZ1173855375,0,Gy5,SAU,SAR,returning
9,2025-09-18,DZ1174401536,0,SD94,SAU,SAR,returning
10,2025-09-18,DZ1173993920,0,GY33,SAU,SAR,returning
11,2025-09-18,DZ1174371781,0,SD2,SAU,SAR,returning
12,2025-09-18,DZ1174475170,0,TDD44,SAU,SAR,returning
13,2025-09-18,DZ1173745122,0,SD184,SAU,SAR,returning
14,2025-09-18,DZ1174282065,0,SD11,SAU,SAR,returning
15,2025-09-18,DZ1174340684,0,TDD14,SAU,SAR,new
16,2025-09-18,DZ1174467888,0,GY36,SAU,SAR,new
17,2025-09-18,DZ1174472651,0,SD13,SAU,SAR,returning
18,2025-09-18,DZ1173853483,0,TDD39,SAU,SAR,returning
19,2025-09-18,DZ1173967102,0,GY33,SAU,SAR,returning
20,2025-09-18,DZ1173836081,0,SD29,SAU,SAR,returning
21,2025-09-18,DZ1173766803,0,SD66,SAU,SAR,returning
22,2025-09-18,DZ1174187597,0,SD22,SAU,SAR,returning
23,2025-09-18,DZ1173729568,0,sd184,SAU,SAR,returning
24,2025-09-18,DZ1174392824,0,GY33,SAU,SAR,returning
25,2025-09-18,DZ1173735937,0,SD22,SAU,SAR,returning
26,2025-09-18,DZ1173867761,0,TDD7,SAU,SAR,returning
27,2025-09-18,DZ1174077025,0,TDD40,SAU,SAR,returning
28,2025-09-18,DZ1174129165,0,sd77,SAU,SAR,returning
29,2025-09-18,DZ1174285222,0,sd90,SAU,SAR,returning
30,2025-09-18,DZ1174142387,0,SD44,SAU,SAR,returning
31,2025-09-18,DZ1174087112,0,GY30,SAU,SAR,new
32,2025-09-18,DZ1174030231,0,GY96,SAU,SAR,new
33,2025-09-18,DZ1174447263,0,SD11,SAU,SAR,returning
34,2025-09-18,DZ1174411744,0,TDD40,SAU,SAR,returning
35,2025-09-18,DZ1173820703,0,GY33,SAU,SAR,returning
36,2025-09-18,DZ1174409874,0,sd28,SAU,SAR,returning
37,2025-09-18,DZ1174098068,0,GY33,SAU,SAR,returning
38,2025-09-18,DZ1173771489,0,Gy5,SAU,SAR,returning
39,2025-09-18,DZ1174490537,0,SD76,SAU,SAR,returning
40,2025-09-18,DZ1174011014,0,SD184,SAU,SAR,returning
41,2025-09-18,DZ1174249560,0,tdd29,SAU,SAR,returning
42,2025-09-18,DZ1173923784,0,GY33,SAU,SAR,returning
