"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"19 Sep 2025","df5","2","299.87","0","0.00","0","0.00","0","0.00"
"19 Sep 2025","zg32","1","96.47","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","fxn","12","1017.03","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","ost","4","617.68","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","df5","3","229.69","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","qqq","1","78.80","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","tnmw","1","224.87","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","97c","1","183.54","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","cnl","1","57.99","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","dzd","1","100.14","0","0.00","0","0.00","0","0.00"
"18 Sep 2025","fuj","1","230.65","0","0.00","0","0.00","0","0.00"
