"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"21 Sep 2025","fxn","1","95.88","0","0.00","0","0.00","0","0.00"
"21 Sep 2025","piv","1","43.23","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","fxn","13","1639.94","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","fuj","4","818.24","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","dzd","2","131.30","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","df5","2","127.03","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","ost","2","335.15","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","tnmw","2","209.34","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","cnl","1","84.26","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","zg32","1","78.80","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","df2","1","86.20","0","0.00","0","0.00","0","0.00"
"20 Sep 2025","dd44","1","90.16","0","0.00","0","0.00","0","0.00"
