Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Aug 29, 2025",Existing Orders,3011210097,ZF,KSA,100.303,10.0303
"Sep 16, 2025",New Orders,3011293709,R151,KSA,45.5014,4.55014
"Sep 5, 2025",New Orders,000917711,R199,KSA,201.537,20.1537
"Sep 12, 2025",Existing Orders,3011279329,R199,KSA,163.464,16.3464
"Sep 12, 2025",Existing Orders,3011278529,R199,KSA,117.6,11.76
"Aug 22, 2025",Existing Orders,3011179219,R199,KSA,107.8196,10.78196
"Aug 22, 2025",Existing Orders,3011175219,R199,KSA,212.2092,21.220920000000003
"Aug 22, 2025",Existing Orders,3011178109,R199,KSA,94.276,9.4276
"Aug 22, 2025",Existing Orders,3011176823,Z45,KSA,99.4602,9.94602
"Aug 27, 2025",Existing Orders,3011199577,R199,KSA,270.6074,27.06074
"Aug 27, 2025",Existing Orders,3011197373,R199,KSA,81.291,8.1291
"Sep 13, 2025",Existing Orders,3011281451,Z41,KSA,149.499,14.9499
"Aug 25, 2025",Existing Orders,3011191943,R188,KSA,136.0534,13.605340000000002
"Aug 25, 2025",Existing Orders,3011192639,R199,KSA,192.815,19.2815
"Aug 25, 2025",Existing Orders,3011189453,ZF,KSA,81.928,8.1928
"Aug 24, 2025",Existing Orders,11000133481,RY,UAE,188.02476,18.802476
"Aug 24, 2025",Existing Orders,3011186619,ZF,KSA,224.322,22.4322
"Aug 23, 2025",Existing Orders,3011182401,RY,KSA,102.8412,10.284120000000001
"Aug 23, 2025",Existing Orders,3011182385,ZF,KSA,114.905,11.4905
"Aug 23, 2025",Existing Orders,3011179627,R13,KSA,51.7636,5.17636
"Aug 23, 2025",Existing Orders,3011182617,RY,KSA,30.037,3.0037000000000003
"Aug 28, 2025",Existing Orders,3011206933,R199,KSA,148.3328,14.83328
"Aug 28, 2025",Existing Orders,3011207293,R199,KSA,574.5152,57.45152000000001
"Sep 2, 2025",Existing Orders,3011230667,R199,KSA,91.2282,9.12282
"Sep 2, 2025",New Orders,3011233975,R199,KSA,100.8224,10.08224
"Sep 2, 2025",Existing Orders,3011233611,R199,KSA,743.9082,74.39082
"Sep 2, 2025",Existing Orders,7000512591,Z47,UAE,27.294176,2.7294176
"Sep 2, 2025",Existing Orders,3011233421,ZF,KSA,152.6056,15.260560000000002
"Sep 2, 2025",New Orders,13000055317,ZF,KWT,591.46332,59.146332
"Aug 31, 2025",Existing Orders,3011222291,R199,KSA,329.9072,32.99072
"Aug 31, 2025",New Orders,3011221235,Z45,KSA,100.3814,10.03814
"Aug 31, 2025",Existing Orders,3011221691,Z47,KSA,170.52,17.052000000000003
"Aug 29, 2025",Existing Orders,3011210953,Z47,KSA,107.7314,10.77314
"Aug 29, 2025",New Orders,3011212539,Z45,KSA,113.8466,11.38466
"Sep 9, 2025",Existing Orders,3011265751,Z40,KSA,125.832,12.5832
"Sep 9, 2025",Existing Orders,3011268605,R199,KSA,92.953,9.295300000000001
"Sep 14, 2025",Existing Orders,3011288175,R199,KSA,97.02,9.702
"Sep 14, 2025",New Orders,3011286839,R199,KSA,186.69,18.669
"Sep 14, 2025",New Orders,3011288165,Z45,KSA,71.736,7.1736
"Sep 4, 2025",Existing Orders,3011242903,R199,KSA,78.057,7.805700000000001
"Sep 1, 2025",Existing Orders,3011225195,R199,KSA,256.956,25.695600000000002
"Sep 1, 2025",Existing Orders,3011226307,ZF,KSA,134.6814,13.46814
"Sep 10, 2025",Existing Orders,000919773,R199,KSA,286.405,28.6405
"Sep 8, 2025",Existing Orders,3011262251,R199,KSA,112.4354,11.243540000000001
"Aug 26, 2025",New Orders,3011194999,Z45,KSA,168.9226,16.89226
"Aug 30, 2025",Existing Orders,3011215549,Z47,KSA,119.2954,11.929540000000001
"Sep 19, 2025",Existing Orders,3011306019,R199,KSA,132.2118,13.221180000000002
"Sep 19, 2025",Existing Orders,3011309075,R199,KSA,70.364,7.0364
"Sep 19, 2025",Existing Orders,3011307363,R188,KSA,94.031,9.4031
"Sep 20, 2025",Existing Orders,3011310919,R199,KSA,448.252,44.8252
"Sep 11, 2025",Existing Orders,3011274925,ZF,KSA,349.1642,34.91642
"Aug 22, 2025",Existing Orders,3011175657,ZF,KSA,140.581,14.0581
"Sep 16, 2025",Existing Orders,3011294603,R199,KSA,133.9366,13.39366
"Sep 18, 2025",New Orders,000923341,Z47,KSA,230.2118,23.02118
"Sep 18, 2025",New Orders,3011305485,R199,KSA,621.6532,62.16532
"Sep 3, 2025",Existing Orders,3011239145,R199,KSA,22.8732,2.2873200000000002
"Sep 15, 2025",Existing Orders,3011291301,R151,KSA,161.9744,16.19744
"Sep 5, 2025",New Orders,3011249657,R188,KSA,161.945,16.1945
"Sep 5, 2025",Existing Orders,3011247183,RY,KSA,102.606,10.2606
"Sep 17, 2025",Existing Orders,3011301667,Z47,KSA,124.4796,12.447960000000002
"Sep 17, 2025",New Orders,3011301341,R199,KSA,32.879,3.2879
"Sep 17, 2025",New Orders,000923089,R199,KSA,47.726,4.7726
"Aug 22, 2025",Existing Orders,3011176227,Z50,KSA,145.8044,14.58044
"Aug 22, 2025",Existing Orders,3011178789,ZF,KSA,180.3886,18.03886
"Aug 22, 2025",Existing Orders,3011175105,ZF,KSA,224.2534,22.425340000000002
