Date,coupon,country,Usage
19-Sep-2025,K131,KSA,1
19-Sep-2025,K135,KSA,10
19-Sep-2025,K137,KSA,20
19-Sep-2025,K144,KSA,1
19-Sep-2025,k163,KSA,1
19-Sep-2025,K166,KSA,2
19-Sep-2025,K180,KSA,4
19-Sep-2025,K195,KSA,4
19-Sep-2025,K196,KSA,1
19-Sep-2025,K197,KSA,20
19-Sep-2025,K198,KSA,3
19-Sep-2025,Ka1,KSA,1
19-Sep-2025,Ka100,KSA,1
19-Sep-2025,KA11,KSA,1
19-Sep-2025,Ka119,KSA,1
19-Sep-2025,Ka12,KSA,55
19-Sep-2025,KA15,KSA,3
19-Sep-2025,Ka23,KSA,1
19-Sep-2025,KA34,KSA,1
19-Sep-2025,Ka37,KSA,2
19-Sep-2025,Ka4,KSA,1
19-Sep-2025,Ka50,KSA,5
19-Sep-2025,KA59,KSA,2
19-Sep-2025,Ka60,KSA,4
19-Sep-2025,KA61,KSA,2
19-Sep-2025,KA63,KSA,2
19-Sep-2025,KA64,KSA,5
19-Sep-2025,kA66,KSA,8
19-Sep-2025,ka90,KSA,1
19-Sep-2025,Ka99,KSA,1
19-Sep-2025,SS13,KSA,2
