,date,order id,amount,coupon,country,currency,customer type
0,2025-09-11,DZ1168884794,0,TDD39,SAU,SAR,new
1,2025-09-11,DZ1168683032,0,GY45,SAU,SAR,returning
2,2025-09-11,DZ1168683131,0,sd15,SAU,SAR,returning
3,2025-09-11,DZ1169334342,0,GY96,SAU,SAR,new
4,2025-09-11,DZ1168861100,0,TDD7,SAU,SAR,returning
5,2025-09-11,DZ1169225750,0,gy6,SAU,SAR,returning
6,2025-09-11,DZ1168638416,0,SD33,SAU,SAR,returning
7,2025-09-11,DZ1168820312,0,GY96,SAU,SAR,new
8,2025-09-11,DZ1169232152,0,TDD39,SAU,SAR,new
9,2025-09-11,DZ1169350941,0,GY19,SAU,SAR,returning
10,2025-09-11,DZ1168867821,0,SD65,SAU,SAR,returning
11,2025-09-11,DZ1169249279,0,GY37,SAU,SAR,returning
12,2025-09-11,DZ1169119655,0,SD11,SAU,SAR,returning
13,2025-09-11,DZ1169130149,0,SD44,SAU,SAR,returning
14,2025-09-11,DZ1169317897,0,SD11,SAU,SAR,returning
15,2025-09-11,DZ1168948847,0,sd78,SAU,SAR,returning
16,2025-09-11,DZ1169126002,0,TDD39,SAU,SAR,returning
17,2025-09-11,DZ1169200879,0,GY37,SAU,SAR,returning
18,2025-09-11,DZ1168651385,0,tdd26,SAU,SAR,returning
19,2025-09-11,DZ1169147408,0,TDD50,SAU,SAR,returning
20,2025-09-11,DZ1168905067,0,GY33,SAU,SAR,returning
21,2025-09-11,DZ1168775663,0,SD11,SAU,SAR,new
22,2025-09-11,DZ1169295699,0,GY38,SAU,SAR,new
23,2025-09-11,DZ1168631475,0,GY10,SAU,SAR,returning
24,2025-09-11,DZ1169004518,0,GY96,SAU,SAR,returning
25,2025-09-11,DZ1168972750,0,tdd10,SAU,SAR,returning
26,2025-09-11,DZ1168844094,0,TDD40,SAU,SAR,returning
27,2025-09-11,DZ1169134945,0,gy33,SAU,SAR,returning
28,2025-09-11,DZ1168946647,0,TDD39,SAU,SAR,returning
29,2025-09-11,DZ1168677400,0,GY22,SAU,SAR,returning
30,2025-09-11,DZ1168834777,0,GY96,SAU,SAR,new
31,2025-09-11,DZ1169051466,0,GY96,SAU,SAR,new
32,2025-09-11,DZ1168774365,0,SD38,SAU,SAR,returning
33,2025-09-11,DZ1169087480,0,TDD40,SAU,SAR,new
34,2025-09-11,DZ1168772550,0,TDD40,SAU,SAR,returning
35,2025-09-11,DZ1168960870,0,sd85,SAU,SAR,returning
36,2025-09-11,DZ1168763849,0,SD76,SAU,SAR,returning
37,2025-09-11,DZ1168719563,0,Gy5,SAU,SAR,returning
38,2025-09-11,DZ1169216345,0,GY33,SAU,SAR,returning
39,2025-09-11,DZ1169258541,0,SD22,SAU,SAR,returning
40,2025-09-11,DZ1169251820,0,GY35,SAU,SAR,returning
41,2025-09-11,DZ1169187580,0,TDD44,SAU,SAR,returning
42,2025-09-11,DZ1169165943,0,TDD41,SAU,SAR,returning
43,2025-09-11,DZ1168979735,0,GY33,SAU,SAR,returning
44,2025-09-11,DZ1169122240,0,gy60,SAU,SAR,new
45,2025-09-11,DZ1169279584,0,sd50,SAU,SAR,returning
46,2025-09-11,DZ1168737262,0,SD12,SAU,SAR,returning
47,2025-09-11,DZ1169286976,0,SD2,SAU,SAR,returning
48,2025-09-11,DZ1168837879,0,Gy5,SAU,SAR,returning
49,2025-09-11,DZ1168926484,0,Gy5,SAU,SAR,returning
50,2025-09-11,DZ1169033789,0,TDD2,SAU,SAR,returning
51,2025-09-11,DZ1168916782,0,GY37,SAU,SAR,returning
52,2025-09-11,DZ1168791195,0,SD65,SAU,SAR,returning
53,2025-09-11,DZ1169325652,0,SD66,SAU,SAR,returning
54,2025-09-11,DZ1169290144,0,GY37,SAU,SAR,returning
55,2025-09-11,DZ1169299362,0,SD184,SAU,SAR,returning
56,2025-09-11,DZ1168844732,0,sd18,SAU,SAR,new
57,2025-09-11,DZ1169131689,0,GY96,SAU,SAR,new
58,2025-09-11,DZ1169125529,0,TDD8,SAU,SAR,returning
59,2025-09-11,DZ1168903208,0,sd44,SAU,SAR,returning
60,2025-09-11,DZ1168745215,0,sd77,SAU,SAR,returning
61,2025-09-11,DZ1168871220,0,sd22,SAU,SAR,returning
62,2025-09-11,DZ1168882286,0,SD30,SAU,SAR,returning
63,2025-09-11,DZ1169039344,0,SD11,SAU,SAR,returning
64,2025-09-11,DZ1169264965,0,SD11,SAU,SAR,returning
65,2025-09-11,DZ1169021491,0,SD22,SAU,SAR,returning
66,2025-09-11,DZ1168641100,0,GY96,SAU,SAR,new
