Date,coupon,country,Usage
10-Sep-2025,k135,KSA,5
10-Sep-2025,K137,KSA,1
10-Sep-2025,K166,KSA,9
10-Sep-2025,k172,KSA,1
10-Sep-2025,k180,KSA,1
10-Sep-2025,K182,KSA,14
10-Sep-2025,k188,KSA,1
10-Sep-2025,K195,KSA,2
10-Sep-2025,K197,KSA,9
10-Sep-2025,K198,KSA,2
10-Sep-2025,KA1,KSA,4
10-Sep-2025,Ka119,KSA,4
10-Sep-2025,Ka12,KSA,44
10-Sep-2025,KA15,KSA,3
10-Sep-2025,Ka23,KSA,1
10-Sep-2025,KA34,KSA,2
10-Sep-2025,Ka37,KSA,4
10-Sep-2025,KA4,KSA,1
10-Sep-2025,KA40,KSA,1
10-Sep-2025,Ka50,KSA,3
10-Sep-2025,ka59,KSA,4
10-Sep-2025,ka60,KSA,5
10-Sep-2025,KA64,KSA,2
10-Sep-2025,KA78,KSA,1
10-Sep-2025,KA99,KSA,1
