id,client_id,date_created,status,Voucher_applied_date,total_price,code,days,new_vs_old
360352,507015,"Oct 5, 2025, 7:35 AM",ACCEPTED,"Oct 5, 2025, 7:37 AM",867.01,R39,20,NEW USER
360349,383024,"Jul 19, 2023, 1:18 AM",ACCEPTED,"Oct 5, 2025, 1:36 AM",216.75,R4,5,OLD USER
360327,12797,"Feb 26, 2019, 10:08 PM",ACCEPTED,"Oct 4, 2025, 10:49 PM",867.01,R99,20,OLD USER
360287,175993,"Jan 10, 2022, 8:53 PM",ACCEPTED,"Oct 4, 2025, 2:40 PM",867.01,R99,20,OLD USER
360276,129320,"Jun 24, 2021, 1:20 PM",ACCEPTED,"Oct 4, 2025, 12:32 AM",433.5,R3,10,OLD USER
360247,475249,"Jun 19, 2024, 9:57 PM",ACCEPTED,"Oct 3, 2025, 8:03 AM",867.01,R99,20,OLD USER
360068,496404,"Apr 18, 2025, 7:30 PM",ACCEPTED,"Sep 30, 2025, 5:25 PM",867.01,R99,20,NEW USER
359880,130170,"Jun 28, 2021, 2:24 PM",ACCEPTED,"Sep 28, 2025, 10:34 AM",867.01,R38,20,OLD USER
359857,18139,"Jun 9, 2019, 2:42 AM",ACCEPTED,"Sep 27, 2025, 11:12 PM",867.01,R40,20,OLD USER
359463,485815,"Oct 16, 2024, 6:18 PM",ACCEPTED,"Sep 18, 2025, 1:04 PM",216.75,R3,5,OLD USER
359432,93302,"Feb 27, 2021, 4:47 PM",ACCEPTED,"Sep 17, 2025, 4:39 PM",433.5,R3,10,OLD USER
359320,505731,"Sep 14, 2025, 10:31 PM",ACCEPTED,"Sep 15, 2025, 3:00 PM",335.75,RD6,5,NEW USER
359291,82609,"Dec 17, 2020, 2:32 PM",ACCEPTED,"Sep 14, 2025, 11:33 PM",2081.54,R38,24,OLD USER
359281,505721,"Sep 14, 2025, 8:51 PM",ACCEPTED,"Sep 14, 2025, 9:29 PM",216.75,RD6,5,NEW USER
359263,254591,"Dec 24, 2022, 5:13 PM",ACCEPTED,"Sep 14, 2025, 6:54 PM",216.75,R48,5,OLD USER
359229,358440,"Jun 22, 2023, 12:43 PM",ACCEPTED,"Sep 14, 2025, 10:36 AM",216.75,R39,5,OLD USER
359209,54463,"Mar 23, 2020, 8:40 PM",ACCEPTED,"Sep 13, 2025, 10:49 PM",433.5,R99,10,OLD USER
359173,145523,"Sep 15, 2021, 1:02 PM",ACCEPTED,"Sep 12, 2025, 10:54 PM",867.01,R38,20,OLD USER
359163,505557,"Sep 11, 2025, 9:47 PM",ACCEPTED,"Sep 12, 2025, 6:09 PM",450.5,R99,5,NEW USER
359084,503962,"Aug 13, 2025, 9:57 AM",ACCEPTED,"Sep 10, 2025, 10:51 AM",842.01,R99,20,NEW USER
359039,497923,"May 11, 2025, 1:32 AM",ACCEPTED,"Sep 9, 2025, 4:19 PM",216.75,R77,5,OLD USER
359037,497923,"May 11, 2025, 1:32 AM",ACCEPTED,"Sep 9, 2025, 4:03 PM",216.75,R77,5,OLD USER
358992,29981,"Sep 22, 2019, 2:47 PM",ACCEPTED,"Sep 8, 2025, 11:46 PM",216.75,R99,5,OLD USER
358986,497293,"Apr 30, 2025, 8:31 PM",ACCEPTED,"Sep 8, 2025, 11:23 PM",672.36,R99,10,OLD USER
358811,130131,"Jun 28, 2021, 12:13 PM",ACCEPTED,"Sep 6, 2025, 7:21 PM",216.75,R48,5,OLD USER
