"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"11 Sep 2025","cnl","1","151.76","0","0.00","0","0.00","0","0.00"
"11 Sep 2025","dd44","1","55.77","0","0.00","0","0.00","0","0.00"
"11 Sep 2025","df2","1","51.45","0","0.00","0","0.00","0","0.00"
"11 Sep 2025","df5","1","171.06","0","0.00","0","0.00","0","0.00"
"11 Sep 2025","fxn","1","68.26","0","0.00","0","0.00","0","0.00"
"11 Sep 2025","qqq","1","90.93","0","0.00","0","0.00","0","0.00"
"11 Sep 2025","tnmw","1","64.87","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","fxn","11","1186.48","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","cnl","5","462.33","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","dd22","2","399.02","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","df1","2","303.79","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","df5","2","243.50","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","fuj","2","188.99","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","dzd","1","18.25","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","tnmw","1","59.26","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","dd44","1","141.01","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","97c","1","51.13","0","0.00","0","0.00","0","0.00"
"10 Sep 2025","ost","1","20.52","0","0.00","0","0.00","0","0.00"
