Date,coupon,country,Usage
09-Sep-2025,K121,KSA,1
09-Sep-2025,k135,KSA,3
09-Sep-2025,K137,KSA,4
09-Sep-2025,K160,KSA,1
09-Sep-2025,K166,KSA,1
09-Sep-2025,K180,KSA,1
09-Sep-2025,k195,KSA,1
09-Sep-2025,K197,KSA,28
09-Sep-2025,K198,KSA,1
09-Sep-2025,KA1,KSA,3
09-Sep-2025,Ka106,KSA,1
09-Sep-2025,Ka119,KSA,1
09-Sep-2025,KA12,KSA,50
09-Sep-2025,KA15,KSA,3
09-Sep-2025,ka16,KSA,1
09-Sep-2025,KA2,KSA,2
09-Sep-2025,Ka22,KSA,1
09-Sep-2025,Ka23,KSA,1
09-Sep-2025,Ka37,KSA,2
09-Sep-2025,KA50,KSA,4
09-Sep-2025,KA59,KSA,8
09-Sep-2025,KA60,KSA,1
09-Sep-2025,KA63,KSA,2
09-Sep-2025,KA64,KSA,3
09-Sep-2025,KA66,KSA,1
09-Sep-2025,KA7,KSA,2
09-Sep-2025,ka88,KSA,1
