"Puchase Date","Order Number",Status,"Coupon Code",Country,"Grand Total incl Tax","Shipping Amount",Tax,"Cash on Delivery Charges","Store Credit Used","Total Refunded",FINAL_TOTAL,TOTAL_ORDERED_QTY,TOTAL_RETURN_QTY,Type,Commission,Category,COMPANY,"COUPON CODE",Customer_Type
"2025-09-10 01:28:15",PO-SA-250910-05996,complete,ALC4,"Saudi Arabia",30.17,2.46,3.61,0.00,0.00,0.00,24.09,1.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-09-10 05:36:49",PO-SA-250910-06034,complete,WAF,"Saudi Arabia",0.00,2.46,3.61,0.00,30.17,0.00,24.09,1.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-09-10 08:07:08",PO-KW-250910-06061,complete,W27,Kuwait,33.97,1.75,0.00,0.00,0.00,0.00,32.22,2.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-09-10 16:54:08",PO-SA-250910-06248,complete,W77,"Saudi Arabia",85.69,2.46,10.86,0.00,0.00,0.00,72.37,4.0000,0.0000,CPS,0.1,Affliate,DigiZag,W77,Existing
"2025-09-10 18:00:06",PO-AE-250910-06273,processing,q21,"United Arab Emirates",44.99,2.51,2.02,0.00,0.00,0.00,40.45,2.0000,0.0000,CPS,.1,Affliate,DigiZag,q21,Existing
"2025-09-10 18:52:07",PO-AE-250910-06293,complete,ALC4,"United Arab Emirates",20.61,2.51,0.86,0.00,0.00,0.00,17.24,1.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-09-10 19:29:56",PO-KW-250910-06308,complete,W27,Kuwait,43.45,1.75,0.00,0.00,0.00,0.00,41.70,3.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-09-10 21:46:48",PO-SA-250910-06379,complete,NNN,"Saudi Arabia",36.45,2.46,4.43,0.00,0.00,0.00,29.56,2.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,New
"2025-09-11 02:14:22",PO-KW-250911-06489,complete,W112,Kuwait,29.18,1.75,0.00,0.00,0.00,0.00,27.43,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-09-11 08:06:28",PO-SA-250911-06527,complete,"CK22 ","Saudi Arabia",12.07,2.46,1.25,0.00,0.00,0.00,8.35,1.0000,0.0000,CPS,.1,Affliate,DigiZag,"CK22 ",Existing
"2025-09-11 08:10:42",PO-SA-250911-06528,processing,X16,"Saudi Arabia",20.01,2.46,2.29,0.00,0.00,0.00,15.26,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,X16,New
