Date_ordered,Country,type,name,follower_code,# Orders,# Orders New Customers,# Orders Repeat Customers,Revenue,New Cust Revenue,Repeat Cust Revenue
"Sep 1, 2025",KSA,Affiliates,DigiZag,zz88,2,0,2,127.05994550408721,null,127.05994550408721
"Sep 1, 2025",RoGCC,Affiliates,DigiZag,zm66,1,0,1,62.85013623978202,null,62.85013623978202
"Sep 1, 2025",UAE,Affiliates,DigiZag,mzzgf,3,1,2,309.66757493188015,131.8283378746594,177.8392370572207
"Sep 1, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,98.22343324250681,null,98.22343324250681
"Sep 1, 2025",KSA,Affiliates,DigiZag,dd5,1,0,1,23.474114441416894,null,23.474114441416894
"Sep 1, 2025",KSA,Affiliates,DigiZag,zmm86,6,1,5,635.2261580381471,151.35694822888283,483.86920980926425
"Sep 1, 2025",UAE,Affiliates,DigiZag,mzzr7,3,0,3,394.6512261580381,null,394.6512261580381
"Sep 1, 2025",KSA,Affiliates,DigiZag,zm66,3,0,3,338.51771117166214,null,338.51771117166214
"Sep 1, 2025",KSA,Affiliates,DigiZag,zmpd,1,1,0,77.10081743869209,77.10081743869209,null
"Sep 1, 2025",KSA,Affiliates,DigiZag,zz50,2,1,1,203.6485013623978,40.17983651226158,163.46866485013624
"Sep 2, 2025",UAE,Affiliates,DigiZag,mzzgf,1,0,1,28.727520435967303,null,28.727520435967303
"Sep 2, 2025",KSA,Affiliates,DigiZag,zm66,3,0,3,132.5177111716621,null,132.5177111716621
"Sep 2, 2025",KSA,Affiliates,DigiZag,zm8f,1,0,1,63.52861035422344,null,63.52861035422344
"Sep 2, 2025",UAE,Affiliates,DigiZag,zm66,3,1,2,228.02452316076295,58.15531335149864,169.8692098092643
"Sep 2, 2025",KSA,Affiliates,DigiZag,mzzgf,1,0,1,18.994550408719345,null,18.994550408719345
"Sep 2, 2025",KSA,Affiliates,DigiZag,zz50,2,1,1,154.58038147138964,104.3133514986376,50.26702997275204
"Sep 2, 2025",KSA,Affiliates,DigiZag,zz45,1,0,1,20.55040871934605,null,20.55040871934605
"Sep 2, 2025",KSA,Affiliates,DigiZag,zmpd,1,0,1,161.40871934604905,null,161.40871934604905
"Sep 2, 2025",KSA,Affiliates,DigiZag,zz88,3,0,3,697.5722070844687,null,697.5722070844687
"Sep 2, 2025",RoGCC,Affiliates,DigiZag,zm66,1,1,0,84.60762942779292,84.60762942779292,null
