"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"08 Sep 2025","fxn","2","531.84","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","ost","2","615.12","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","ck","1","68.74","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","dd44","1","249.61","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","fuj","1","80.85","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","tnmw","1","90.09","0","0.00","0","0.00","0","0.00"
"07 Sep 2025","fxn","11","1205.57","0","0.00","0","0.00","0","0.00"
"07 Sep 2025","fuj","6","1104.35","0","0.00","0","0.00","0","0.00"
"07 Sep 2025","ost","4","443.75","0","0.00","0","0.00","0","0.00"
"07 Sep 2025","tnmw","2","233.72","0","0.00","0","0.00","0","0.00"
"07 Sep 2025","df5","1","107.44","0","0.00","0","0.00","0","0.00"
"07 Sep 2025","dd44","1","94.86","0","0.00","0","0.00","0","0.00"
"07 Sep 2025","97c","1","126.14","0","0.00","0","0.00","0","0.00"
