Order Id,Order Status,Item ID,Item ID,Order Date,Geo,Customer Type,Coupon Code,Quanity,Unit Price,Sale Amount,category_id,category_name,commission_rate,Payout,Currency
3588437,Pending,10793628,"MOTOROLA Edge 40 neo, 12 GB+256GB, IP68 Waterproof",2025-09-08T07:34:52,UAE,OLD,H35,1,625,625,17004,Mobiles,2.0,12.5,AED
3588187,Processing,10796004,Dell Latitude 3190 2-in-1 Laptop | 8GB RAM - 128GB,2025-09-07T20:43:36,UAE,NEW,H97,1,270,270,16012,Laptops,3.0,8.1,AED
3587354,Processing,10750323,"HP ProBook 6460B Business Laptop, Intel Core i5-2n",2025-09-06T20:52:35,KSA,NEW,H11,1,404,404,16012,Laptops,3.0,12.12,SAR
3587203,Processing,210680,Apple iPhone 12 128GB -White,2025-09-06T17:35:27,UAE,OLD,ZZ3,1,879,879,17004,Mobiles,2.0,17.58,AED
3587064,Packed,10789914,"Midea Bme62058Ffd-D 60cm Gas Cooker, With Full Saf",2025-09-06T14:39:16,UAE,OLD,ZZ72,1,649,649,47002,Cooker,3.5,22.72,AED
3587011,Processing,10679811,iPad (6th generation) 128 GB WIFI + CELLULAR Silve,2025-09-06T13:16:38,UAE,OLD,H4,1,699,699,17005,Tablets,2.0,13.98,AED
3586868,Shipped,10755941,Motorola G85 5G Smartphone | 12GB RAM + 256GB Stor,2025-09-06T09:46:46,KSA,NEW,ZZ49,1,738,738,17004,Mobiles,2.0,14.76,SAR
3586705,Shipped,10775144,"EMPORIO ARMANI Outlet Analog AR80007, multicoloure",2025-09-06T06:45:42,UAE,OLD,H4,1,350,350,55008,Women Wrist Watch,3.0,10.5,AED
3586705,Shipped,10683841,COACH 14503985 Blue Dial Blue Stainless Bracelet B,2025-09-06T06:45:42,UAE,OLD,H4,1,253,253,55006,Men Wrist Watch,3.0,7.59,AED
3586700,Shipped,10610782,Apple iPhone 14 Pro Max 256GB - Silver,2025-09-06T06:42:14,UAE,NEW,H12,1,2089,2089,17004,Mobiles,2.0,41.78,AED
3586508,Packed,10795376,حذاء رياضي ACBC رجالي أسود اللون بسحاب Advance Com,2025-09-05T22:00:05,UAE,OLD,H50,1,40,40,54007,Fashion Shoes-Men,4.5,1.8,AED
3586507,Shipped,10804829,حذاء مدرسة بورج كيدز BTS-2 - أسود,2025-09-05T22:00:05,UAE,OLD,H50,1,12,12,54007,Fashion Shoes-Men,4.5,0.54,AED
3586507,Shipped,10789667,عروسه 1907,2025-09-05T22:00:05,UAE,OLD,H50,1,19,19,54007,Fashion Shoes-Men,4.5,0.86,AED
