Date,coupon,country,Usage
06-Sep-2025,K131,KSA,1
06-Sep-2025,K135,KSA,8
06-Sep-2025,K137,KSA,7
06-Sep-2025,K138,KSA,1
06-Sep-2025,K144,KSA,1
06-Sep-2025,K166,KSA,1
06-Sep-2025,K180,KSA,3
06-Sep-2025,k196,KSA,2
06-Sep-2025,K197,KSA,24
06-Sep-2025,K198,KSA,3
06-Sep-2025,ka1,KSA,1
06-Sep-2025,Ka119,KSA,3
06-Sep-2025,Ka12,KSA,43
06-Sep-2025,KA15,KSA,7
06-Sep-2025,Ka2,KSA,4
06-Sep-2025,Ka20,KSA,1
06-Sep-2025,KA4,KSA,2
06-Sep-2025,KA40,KSA,1
06-Sep-2025,KA50,KSA,5
06-Sep-2025,KA59,KSA,2
06-Sep-2025,Ka60,KSA,2
06-Sep-2025,ka61,KSA,1
06-Sep-2025,KA63,KSA,2
06-Sep-2025,KA66,KSA,3
06-Sep-2025,KA7,KSA,1
