"Puchase Date","Order Number",Status,"Coupon Code",Country,"Grand Total incl Tax","Shipping Amount",Tax,"Cash on Delivery Charges","Store Credit Used","Total Refunded",FINAL_TOTAL,TOTAL_ORDERED_QTY,TOTAL_RETURN_QTY,Type,Commission,Category,COMPANY,"COUPON CODE",Customer_Type
"2025-09-07 09:52:19",PO-SA-250907-04609,processing,ALC4,"Saudi Arabia",15.02,2.46,1.64,0.00,0.00,0.00,10.92,1.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-09-07 11:15:01",PO-SA-250907-04649,complete,WAF,"Saudi Arabia",15.02,2.46,1.64,0.00,0.00,0.00,10.92,1.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-09-07 14:34:26",PO-AE-250907-04732,processing,W112,"United Arab Emirates",32.13,2.51,1.41,0.00,0.00,0.00,28.21,2.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-09-07 14:46:54",PO-AE-250907-04736,complete,W44,"United Arab Emirates",72.65,2.51,3.34,0.00,0.00,0.00,66.80,2.0000,0.0000,CPS,0.1,Affliate,DigiZag,W44,New
"2025-09-07 16:44:44",PO-KW-250907-04794,in_transfer_to_store,X16,Kuwait,19.00,0.00,0.00,0.00,0.00,0.00,19.00,2.0000,0.0000,CPS,0.1,Affliate,DigiZag,X16,New
"2025-09-07 19:47:01",PO-KW-250907-04868,processing,W112,Kuwait,10.58,1.75,0.00,0.00,0.00,0.00,8.83,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-09-07 21:40:19",PO-QA-250907-04921,processing,W112,Qatar,21.81,2.54,0.00,0.00,0.00,0.00,19.28,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-09-07 22:06:18",PO-AE-250907-04932,processing,CK22,"United Arab Emirates",86.98,2.51,4.02,0.00,0.00,0.00,80.45,5.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-09-08 00:55:02",PO-SA-250908-05009,processing,WAF,"Saudi Arabia",122.16,2.46,15.61,0.00,0.00,0.00,104.09,12.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-09-08 02:21:55",PO-AE-250908-05063,complete,CK22,"United Arab Emirates",47.77,2.51,2.16,0.00,0.00,18.48,25.50,3.0000,1.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-09-08 06:44:29",PO-SA-250908-05099,complete,waf,"Saudi Arabia",23.91,2.46,2.60,1.50,0.00,0.00,17.35,2.0000,0.0000,CPS,.1,Affliate,DigiZag,waf,Existing
