"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"06 Sep 2025","fuj","2","196.32","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","ck","1","167.09","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","dd44","1","139.51","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","dd77","1","29.55","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","df5","1","106.74","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","fxn","1","266.60","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","ost","1","60.83","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","97c","1","64.40","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","fxn","6","817.18","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","dd44","3","429.40","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","df5","2","146.08","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","7a03","1","24.06","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","df2","1","52.07","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","fuj","1","128.99","0","0.00","0","0.00","0","0.00"
