"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"06 Sep 2025","df5","6","264.74","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","fxn","5","614.30","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","ost","2","236.20","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","cnl","1","119.02","0","0.00","0","0.00","0","0.00"
"06 Sep 2025","fuj","1","175.52","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","fxn","24","2773.79","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","fuj","7","652.52","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","df5","7","920.11","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","tnmw","5","1067.65","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","cnl","5","314.81","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","ost","4","409.58","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","dd44","2","525.64","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","7a03","2","240.88","0","0.00","0","0.00","0","0.00"
"05 Sep 2025","qqq","1","120.33","0","0.00","0","0.00","0","0.00"
