Date,coupon,country,Usage
04-Sep-2025,k135,KSA,9
04-Sep-2025,K137,KSA,12
04-Sep-2025,K148,KSA,1
04-Sep-2025,K166,KSA,2
04-Sep-2025,K169,KSA,1
04-Sep-2025,K179,KSA,1
04-Sep-2025,K180,KSA,1
04-Sep-2025,K192,KSA,1
04-Sep-2025,K195,KSA,28
04-Sep-2025,K197,KSA,21
04-Sep-2025,K198,KSA,1
04-Sep-2025,KA1,KSA,3
04-Sep-2025,Ka119,KSA,6
04-Sep-2025,Ka12,KSA,66
04-Sep-2025,Ka14,KSA,1
04-Sep-2025,KA15,KSA,3
04-Sep-2025,KA18,KSA,1
04-Sep-2025,KA2,KSA,21
04-Sep-2025,Ka21,KSA,1
04-Sep-2025,Ka23,KSA,1
04-Sep-2025,ka24,KSA,1
04-Sep-2025,KA4,KSA,3
04-Sep-2025,KA50,KSA,5
04-Sep-2025,KA59,KSA,4
04-Sep-2025,KA60,KSA,5
04-Sep-2025,KA61,KSA,3
04-Sep-2025,KA63,KSA,1
04-Sep-2025,KA66,KSA,2
04-Sep-2025,KA7,KSA,1
04-Sep-2025,Ka88,KSA,2
04-Sep-2025,KA90,KSA,1
04-Sep-2025,KA98,KSA,1
