Date,coupon,country,Usage
17-Sep-2025,K135,KSA,7
17-Sep-2025,k137,KSA,7
17-Sep-2025,K155,KSA,1
17-Sep-2025,K166,KSA,6
17-Sep-2025,K180,KSA,1
17-Sep-2025,K182,KSA,1
17-Sep-2025,K187,KSA,1
17-Sep-2025,K196,KSA,3
17-Sep-2025,K197,KSA,15
17-Sep-2025,K198,KSA,1
17-Sep-2025,Ka1,KSA,3
17-Sep-2025,ka119,KSA,2
17-Sep-2025,Ka12,KSA,47
17-Sep-2025,KA15,KSA,3
17-Sep-2025,KA2,KSA,3
17-Sep-2025,Ka23,KSA,1
17-Sep-2025,KA3,KSA,1
17-Sep-2025,ka50,KSA,5
17-Sep-2025,KA57,KSA,1
17-Sep-2025,KA59,KSA,7
17-Sep-2025,KA60,KSA,4
17-Sep-2025,KA64,KSA,4
17-Sep-2025,KA66,KSA,10
17-Sep-2025,KA68,KSA,1
17-Sep-2025,KA69,KSA,1
17-Sep-2025,Ka75,KSA,1
17-Sep-2025,SS25,KSA,2
