" ",Offer Name,Partner ID,Date,Code,Geo,Payout,Revenue,Sale Amount
1858551,Deraah,14465,"Jun 30, 2025",dz50,ksa,2.966,3.3,65.91
1858552,Deraah,6732,"Jun 30, 2025",tt26,ksa,10.848,13.91,278.16
1858550,Deraah,6732,"Jun 30, 2025",tt26,ksa,3.054,3.92,78.3
1858549,Deraah,1,"Jun 29, 2025",tt59,ksa,0,4.03,80.65
1858547,Deraah,6732,"Jun 29, 2025",tt28,ksa,2.914,3.74,74.73
1858548,Deraah,6732,"Jun 29, 2025",tt26,ksa,2.746,3.52,70.42
1850637,Deraah,6669,"Jun 28, 2025",tt10,ksa,1.951,2.6,52.01
1850638,Deraah,6831,"Jun 28, 2025",tt20,ksa,2.755,3.67,73.47
1850642,Deraah,14465,"Jun 28, 2025",dz50,ksa,4.036,4.48,89.68
1850643,Deraah,6669,"Jun 28, 2025",tt22,ksa,2.717,3.62,72.45
1850640,Deraah,6732,"Jun 28, 2025",tt26,ksa,2.016,2.58,51.68
1850636,Deraah,14482,"Jun 28, 2025",tt60,ksa,3.526,4.7,94.03
1850639,Deraah,2345,"Jun 28, 2025",dz45,ksa,1.7136,1.9,38.08
1850635,Deraah,2345,"Jun 28, 2025",dz43,ksa,2.1126,2.35,46.95
1850641,Deraah,14482,"Jun 28, 2025",tt60,ksa,2.47,3.29,65.87
1850634,Deraah,6831,"Jun 27, 2025",tt20,ksa,3.269,4.36,87.17
1850633,Deraah,6732,"Jun 27, 2025",tt26,ksa,2.305,2.96,59.1
1850632,Deraah,6831,"Jun 27, 2025",tt20,ksa,2.831,3.77,75.49
1850631,Deraah,14465,"Jun 27, 2025",dz50,ksa,3.557,3.95,79.04
1850630,Deraah,2345,"Jun 27, 2025",dz45,ksa,1.7136,1.9,38.08
1850629,Deraah,14465,"Jun 27, 2025",dz50,ksa,9.408,10.45,209.06
1850628,Deraah,14465,"Jun 26, 2025",dz50,ksa,3.613,4.01,80.29
1850626,Deraah,6732,"Jun 26, 2025",tt26,ksa,2.45,3.14,62.83
1850625,Deraah,2345,"Jun 26, 2025",dz41,ksa,4.9818,5.54,110.71
1850627,Deraah,14465,"Jun 26, 2025",dz50,ksa,5.472,6.08,121.6
1844961,Deraah,14465,"Jun 25, 2025",dz50,ksa,5.9052,6.56,131.23
1844959,Deraah,2345,"Jun 25, 2025",dz41,ksa,5.3352,5.93,118.56
1844960,Deraah,2345,"Jun 25, 2025",dz43,ksa,2.46096,2.73,54.69
1844958,Deraah,14465,"Jun 25, 2025",dz50,ksa,2.0898,2.32,46.44
1844962,Deraah,6669,"Jun 25, 2025",tt10,ksa,4.6028,6.14,122.74
1842979,Deraah,14465,"Jun 24, 2025",dz50,ksa,3.146,3.5,69.92
1842978,Deraah,2345,"Jun 24, 2025",dz41,ksa,3.0438,3.38,67.64
1842980,Deraah,14465,"Jun 24, 2025",dz50,ksa,0.973,1.08,21.61
1841792,Deraah,2345,"Jun 23, 2025",dz46,ksa,2.5686,2.85,57.08
1841793,Deraah,2345,"Jun 23, 2025",dz41,ksa,3.7392,4.15,83.09
1840375,Deraah,14465,"Jun 22, 2025",dz50,ksa,4.081,4.53,90.69
1840374,Deraah,3607,"Jun 22, 2025",dz50,ksa,2.041,2.27,45.35
1839418,Deraah,2345,"Jun 21, 2025",dz40,ksa,1.7136,1.9,38.08
1839417,Deraah,14465,"Jun 21, 2025",dz50,ksa,4.286,4.76,95.25
1839419,Deraah,6669,"Jun 21, 2025",tt10,ksa,3.515,4.69,93.73
1839416,Deraah,2345,"Jun 20, 2025",dz41,ksa,4.0812,4.53,90.69
1839415,Deraah,14465,"Jun 20, 2025",dz50,ksa,12.198,13.55,271.07
1839413,Deraah,2345,"Jun 19, 2025",dz44,ksa,6.2016,6.89,137.81
1839414,Deraah,14465,"Jun 19, 2025",dz50,ksa,3.739,4.15,83.09
1833394,Deraah,14482,"Jun 18, 2025",tt60,ksa,2.09,2.79,55.73
1833392,Deraah,7083,"Jun 17, 2025",tt44,ksa,2.895,3.86,77.2
1832211,Deraah,7083,"Jun 17, 2025",tt44,ksa,2.895,3.86,77.2
1833393,Deraah,2345,"Jun 17, 2025",dz46,ksa,3.8532,4.28,85.63
1832212,Deraah,2345,"Jun 17, 2025",dz46,ksa,3.8532,4.28,85.63
