date,clicks,conversions,cr,payout,cpc,revenue,rpc,profit
2025-08-27,65,1780,2738.4615,4625.53760,71.16212,5592.22000,86.03415,966.68240
2025-08-28,217,1508,694.9309,3851.50570,17.74887,4616.74000,21.27530,765.23430
2025-08-25,8,1431,17887.5000,3833.77325,479.22166,4595.54000,574.44250,761.76675
2025-08-29,66,1455,2204.5455,3672.69690,55.64692,4397.65000,66.63106,724.95310
2025-08-26,70,1326,1894.2857,3549.13967,50.70200,4203.54000,60.05057,654.40033
2025-08-30,83,1225,1475.9036,3668.70570,44.20127,4308.74000,51.91253,640.03430
2025-09-02,7,0,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000
2025-09-01,27,0,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000
2025-08-31,85,0,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000
,628,8725,1389.331210,23201.35882,36.944839,27714.43000,44.131258,4513.07118
