offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1325,2345,10-25-2025,pending,2.55,2.83,28.34,CW6,OM
1325,8486,10-25-2025,pending,1.12,1.87,37.47,GS1,SA
1325,8486,10-25-2025,pending,1.12,1.87,37.47,GS1,SA
1325,8486,10-25-2025,pending,1.12,1.87,37.47,GS1,SA
1325,8486,10-25-2025,pending,1.12,1.87,37.47,GS1,SA
1325,8486,10-25-2025,pending,0.42,0.7,14.01,SAHS1,SA
1325,8486,10-25-2025,pending,0.42,0.7,14.01,SAHS1,SA
1325,8486,10-25-2025,pending,0.42,0.7,14.01,SAHS1,SA
1325,8486,10-25-2025,pending,0.42,0.7,14.01,SAHS1,SA
1325,8486,10-25-2025,pending,0.42,0.7,14.01,SAHS1,SA
1325,8486,10-23-2025,pending,0.75,1.26,25.16,SAHS1,SA
1325,8486,10-23-2025,pending,0.75,1.26,25.16,SAHS1,SA
1325,8486,10-23-2025,pending,0.75,1.26,25.16,SAHS1,SA
1325,2345,10-24-2025,pending,2.0,2.22,44.41,CW6,SA
1325,8486,10-23-2025,pending,10.08,16.8,335.97,GS1,SA
1325,14734,10-25-2025,pending,1.32,1.76,35.15,SMS3,QA
1325,2345,10-25-2025,pending,2.13,2.36,47.23,CW6,SA
1325,2345,10-25-2025,pending,2.13,2.36,47.23,CW6,SA
1325,2345,10-25-2025,pending,2.13,2.36,47.23,CW6,SA
1325,8486,10-23-2025,pending,1.94,3.23,64.58,SAHS1,SA
1325,8486,10-25-2025,pending,1.7,5.65,56.54,SAHS1,SA
1325,8486,10-25-2025,pending,1.7,5.65,56.54,SAHS1,SA
1325,8486,10-25-2025,pending,1.7,5.65,56.54,SAHS1,SA
1325,8486,10-25-2025,pending,1.7,5.65,56.54,SAHS1,SA
1325,8486,10-25-2025,pending,1.23,2.04,40.87,SAHS1,SA
1325,8486,10-25-2025,pending,1.23,2.04,40.87,SAHS1,SA
1325,8486,10-25-2025,pending,1.23,2.06,41.14,GS1,SA
1325,8486,10-25-2025,pending,1.23,2.06,41.14,GS1,SA
1325,8486,10-25-2025,pending,3.87,6.44,128.88,SAHS1,SA
1325,8486,10-25-2025,pending,3.87,6.44,128.88,SAHS1,SA
1325,8486,10-25-2025,pending,5.47,9.11,182.29,SAHS1,SA
1325,2345,10-25-2025,pending,3.09,3.44,68.76,CW6,AE
1325,2345,10-25-2025,pending,3.09,3.44,68.76,CW6,AE
1325,2345,10-25-2025,pending,3.09,3.44,68.76,CW6,AE
1325,8486,10-25-2025,pending,0.44,0.74,14.71,SAHS1,SA
1325,2345,10-25-2025,pending,1.88,2.09,41.83,CW6,AE
1325,2345,10-25-2025,pending,1.88,2.09,41.83,CW6,AE
1325,8486,10-24-2025,pending,1.79,2.99,59.81,SAHS1,SA
1325,8486,10-24-2025,pending,1.79,2.99,59.81,SAHS1,SA
1325,14298,10-25-2025,pending,1.5,1.88,37.6,QQQ,SA
1325,14298,10-25-2025,pending,1.5,1.88,37.6,QQQ,SA
1325,2345,10-24-2025,pending,4.22,4.69,93.73,CW9,SA
1325,3607,10-23-2025,pending,2.25,3.0,59.95,DH18,AE
1325,14465,10-25-2025,pending,3.22,2.68,53.68,WALA2025,SA
1325,6706,10-23-2025,pending,0.89,1.19,23.71,ALC9,SA
1325,6706,10-23-2025,pending,0.89,1.19,23.71,ALC9,SA
1325,6706,10-23-2025,pending,0.89,1.19,23.71,ALC9,SA
1325,6706,10-23-2025,pending,0.89,1.19,23.71,ALC9,SA
1325,6706,10-23-2025,pending,0.89,1.19,23.71,ALC9,SA
1325,8486,10-24-2025,pending,2.44,4.06,81.2,SAHS1,SA
1325,8486,10-23-2025,pending,0.36,0.6,11.99,SAHS1,SA
1325,8486,10-23-2025,pending,0.36,0.6,11.99,SAHS1,SA
1325,8486,10-23-2025,pending,0.36,0.6,11.99,SAHS1,SA
1325,8486,10-25-2025,pending,10.21,17.02,340.33,GS1,SA
1325,6706,10-23-2025,pending,1.93,2.57,51.5,ALC9,AE
1325,8486,10-25-2025,pending,1.08,3.6,35.97,SAHS1,SA
1325,8486,10-24-2025,pending,4.47,7.45,149.05,SAHS1,SA
1325,8486,10-24-2025,pending,2.0,6.68,66.76,SAHS1,SA
1325,2345,10-25-2025,pending,0.33,0.37,7.36,CW8,AE
1325,2345,10-25-2025,pending,0.33,0.37,7.36,CW8,AE
1325,2345,10-25-2025,pending,0.33,0.37,7.36,CW8,AE
1325,2345,10-25-2025,pending,0.33,0.37,7.36,CW8,AE
1325,2345,10-25-2025,pending,0.33,0.37,7.36,CW8,AE
1325,8486,10-23-2025,pending,1.85,3.08,61.58,GS1,SA
1325,2345,10-25-2025,pending,4.06,4.51,90.19,CW7,AE
1325,8486,10-24-2025,pending,0.41,0.68,13.62,SAHS1,SA
1325,8486,10-24-2025,pending,0.41,0.68,13.62,SAHS1,SA
1325,8486,10-24-2025,pending,0.41,0.68,13.62,SAHS1,SA
1325,8486,10-24-2025,pending,0.41,0.68,13.62,SAHS1,SA
1325,6706,10-25-2025,pending,3.15,4.2,41.96,ALC9,AE
1325,6706,10-25-2025,pending,3.15,4.2,41.96,ALC9,AE
1325,8486,10-24-2025,pending,2.11,3.51,70.3,SAHS1,SA
1325,8486,10-24-2025,pending,1.3,2.17,43.32,SAHS1,SA
1325,2345,10-25-2025,pending,1.46,1.62,32.43,CW6,AE
1325,8486,10-23-2025,pending,0.96,3.19,31.88,SAHS1,SA
1325,8486,10-23-2025,pending,1.07,1.79,35.83,SAHS1,SA
1325,8486,10-23-2025,pending,1.07,1.79,35.83,SAHS1,SA
1325,8486,10-23-2025,pending,1.53,5.1,50.95,SAHS1,SA
1325,10856,10-24-2025,pending,1.38,1.83,36.69,CW15,OM
1325,10856,10-24-2025,pending,1.38,1.83,36.69,CW15,OM
1325,10856,10-24-2025,pending,1.38,1.83,36.69,CW15,OM
1325,2345,10-25-2025,pending,1.35,1.5,29.97,CW7,QA
1325,2345,10-25-2025,pending,1.35,1.5,29.97,CW7,QA
1325,2345,10-25-2025,pending,2.06,2.29,45.78,CW7,OM
1325,10856,10-24-2025,pending,1.08,1.44,14.37,DWW7,SA
1325,10856,10-24-2025,pending,1.08,1.44,14.37,DWW7,SA
1325,10856,10-24-2025,pending,1.08,1.44,14.37,DWW7,SA
1325,10856,10-24-2025,pending,1.08,1.44,14.37,DWW7,SA
1325,8486,10-25-2025,pending,0.8,1.34,26.7,GS1,SA
1325,8486,10-25-2025,pending,0.8,1.34,26.7,GS1,SA
1325,6706,10-24-2025,pending,3.25,4.33,43.32,ALC9,AE
1325,6706,10-24-2025,pending,2.6,3.46,34.6,ALC9,AE
1325,8486,10-25-2025,pending,0.71,1.19,23.74,SAHS1,SA
1325,8486,10-25-2025,pending,0.71,1.19,23.74,SAHS1,SA
1325,8486,10-25-2025,pending,0.71,1.19,23.74,SAHS1,SA
1325,8486,10-25-2025,pending,0.71,1.19,23.74,SAHS1,SA
1325,8486,10-25-2025,pending,0.71,1.19,23.74,SAHS1,SA
1325,8486,10-25-2025,pending,0.71,1.19,23.74,SAHS1,SA
1325,8486,10-25-2025,pending,0.71,1.19,23.74,SAHS1,SA
1325,14465,10-23-2025,pending,5.74,4.78,95.64,WALA2025,SA
1325,2345,10-23-2025,pending,3.63,4.03,80.6,CW7,AE
1325,2345,10-23-2025,pending,3.63,4.03,80.6,CW7,AE
1325,2345,10-23-2025,pending,3.63,4.03,80.6,CW7,AE
1325,2345,10-23-2025,pending,3.63,4.03,80.6,CW7,AE
1325,2345,10-23-2025,pending,3.63,4.03,80.6,CW7,AE
1325,2345,10-24-2025,pending,1.85,2.06,41.14,CW10,AE
1325,2345,10-24-2025,pending,1.85,2.06,41.14,CW10,AE
1325,6924,10-24-2025,pending,1.28,1.7,34.06,AAA,AE
1325,6924,10-24-2025,pending,1.28,1.7,34.06,AAA,AE
1325,2345,10-23-2025,pending,0.76,0.84,16.89,CW10,AE
1325,2345,10-23-2025,pending,0.76,0.84,16.89,CW10,AE
1325,8486,10-23-2025,pending,1.95,3.24,64.85,SAHS1,SA
1325,8486,10-23-2025,pending,1.95,3.24,64.85,SAHS1,SA
1325,8486,10-25-2025,pending,0.98,1.63,32.7,SAHS1,SA
