offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1334,3607,09-05-2025,pending,0.49,0.61,60.7,M100,uae
1334,663,09-05-2025,pending,0.97,1.22,24.32,M54,uae
1334,663,09-05-2025,pending,0.17,0.22,21.65,M54,uae
1334,663,09-05-2025,pending,0.34,0.42,42.08,M54,uae
1334,663,09-05-2025,pending,0.08,0.1,9.72,M54,uae
1334,663,09-05-2025,pending,0.1,0.12,12.49,M54,uae
1334,663,09-05-2025,pending,0.26,0.32,31.99,M54,uae
1334,3607,09-06-2025,pending,0.64,0.8,80.12,M100,uae
1334,3607,09-06-2025,pending,2.58,3.23,64.53,M100,uae
1334,3607,09-06-2025,pending,1.5,1.87,37.47,M100,uae
1334,13864,09-06-2025,pending,0.1,0.13,12.6,M33,uae
1334,13864,09-06-2025,pending,0.07,0.08,8.25,M33,uae
1334,13864,09-06-2025,pending,0.03,0.03,3.24,M33,uae
1334,3607,09-07-2025,pending,0.12,0.15,14.74,M73,kwt
1334,3607,09-07-2025,pending,0.24,0.3,30.49,M73,kwt
1334,3607,09-07-2025,pending,0.24,0.29,29.47,M73,kwt
1334,3607,09-07-2025,pending,0.08,0.1,9.66,M73,kwt
1334,3607,09-07-2025,pending,0.05,0.06,6.1,M73,kwt
1334,3607,09-07-2025,pending,0.04,0.06,5.59,M73,kwt
1334,3607,09-07-2025,pending,0.06,0.07,7.11,M73,kwt
1334,663,09-07-2025,pending,0.47,0.59,11.73,M54,uae
1334,663,09-07-2025,pending,0.04,0.05,4.55,M54,uae
1334,663,09-07-2025,pending,0.02,0.03,2.9,M54,uae
1334,663,09-07-2025,pending,0.04,0.05,0.93,M54,uae
1334,3607,09-07-2025,pending,2.54,3.18,63.53,M100,uae
1334,3607,09-07-2025,pending,2.54,3.18,63.53,M100,uae
1334,3607,09-07-2025,pending,0.47,0.58,58.18,M73,qtr
1334,13864,09-07-2025,pending,0.18,0.22,22.14,M33,uae
1334,663,09-07-2025,pending,0.17,0.22,21.87,M54,uae
1334,663,09-07-2025,pending,0.17,0.21,21.38,M54,uae
1334,663,09-07-2025,pending,0.02,0.02,2.12,M54,uae
1334,663,09-07-2025,pending,0.0,0.0,0.49,M54,uae
1334,663,09-07-2025,pending,0.0,0.01,0.61,M54,uae
1334,663,09-07-2025,pending,0.17,0.22,21.87,M54,uae
1334,663,09-07-2025,pending,0.17,0.21,21.38,M54,uae
1334,663,09-07-2025,pending,0.02,0.02,2.12,M54,uae
1334,663,09-07-2025,pending,0.0,0.0,0.49,M54,uae
1334,663,09-07-2025,pending,0.0,0.01,0.61,M54,uae
1334,663,09-07-2025,pending,0.2,0.25,25.19,M54,uae
1334,663,09-07-2025,pending,0.07,0.09,8.58,M54,uae
1334,13864,09-07-2025,pending,0.16,0.2,20.39,M33,uae
1334,3607,09-07-2025,pending,1.59,1.98,39.66,M100,uae
1334,3607,09-07-2025,pending,2.53,3.17,63.35,M100,uae
1334,3607,09-07-2025,pending,1.62,2.02,40.4,M100,uae
1334,3607,09-08-2025,pending,0.19,0.24,23.6,M100,uae
1334,3607,09-08-2025,pending,1.3,1.63,32.55,M100,uae
1334,663,09-08-2025,pending,0.82,1.03,20.5,M54,uae
1334,663,09-10-2025,pending,1.3,1.63,32.55,M54,uae
1334,13864,09-10-2025,pending,2.31,2.89,57.87,M33,uae
1334,663,09-10-2025,pending,0.3,0.38,37.95,M54,uae
1334,663,09-10-2025,pending,1.15,1.43,28.64,M54,uae
1334,663,09-10-2025,pending,1.02,1.27,25.49,M54,uae
1334,3607,09-11-2025,pending,1.94,2.42,48.46,M100,uae
1334,3607,09-11-2025,pending,1.94,2.42,48.46,M100,uae
1334,663,09-11-2025,pending,2.2,2.75,54.92,M54,uae
1334,663,09-11-2025,pending,2.2,2.75,54.92,M54,uae
1334,3607,09-11-2025,pending,0.23,0.28,28.49,M100,uae
1334,3607,09-11-2025,pending,0.13,0.16,16.27,M100,uae
1334,3607,09-11-2025,pending,0.01,0.02,1.71,M100,uae
1334,3607,09-11-2025,pending,0.55,0.69,69.37,M100,uae
1334,13864,09-11-2025,pending,2.52,3.16,63.1,M33,uae
1334,13864,09-11-2025,pending,0.07,0.09,9.23,M33,uae
1334,3607,09-11-2025,pending,0.31,0.39,38.85,M100,uae
1334,3607,09-12-2025,pending,0.21,0.27,26.87,M100,uae
1334,13864,09-12-2025,pending,0.36,0.45,45.35,M33,kwt
1334,3607,09-12-2025,pending,0.31,0.39,38.85,M9,uae
