offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1277,14298,09-12-2025,pending,7.33,9.17,91.68,DZZ2,no-geo
1277,14298,09-12-2025,pending,7.33,9.17,91.68,DZZ2,no-geo
1277,5421,09-11-2025,pending,7.97,10.63,106.32,DZ65,no-geo
1277,14465,09-11-2025,pending,25.96,28.85,288.48,DZCT,no-geo
1277,14298,09-11-2025,pending,5.7,7.13,71.28,DZZ2,no-geo
1277,14465,09-09-2025,pending,6.42,7.13,71.28,DZCT,no-geo
1277,6675,09-07-2025,pending,5.35,7.13,71.28,DZ77,no-geo
1277,5421,09-06-2025,pending,11.26,15.02,150.18,DZ65,no-geo
1277,14298,09-06-2025,pending,5.7,7.13,71.28,DZZ2,no-geo
1277,5421,09-06-2025,pending,5.42,7.22,72.24,DZ65,no-geo
1277,14298,09-06-2025,pending,5.7,7.13,71.28,DZZ2,no-geo
1277,14298,09-04-2025,pending,10.56,13.2,132.0,DZZ2,no-geo
1277,14465,09-02-2025,pending,19.83,22.03,220.32,DZCT,no-geo
1277,14298,09-02-2025,pending,6.82,8.52,85.2,DZZ2,no-geo
1277,14298,09-02-2025,pending,5.7,7.13,71.28,DZZ2,no-geo
1277,5421,08-31-2025,pending,5.35,7.13,71.28,DZ65,no-geo
1277,5421,08-30-2025,pending,5.94,7.92,79.2,DZ65,no-geo
1277,6675,08-30-2025,pending,5.94,7.92,79.2,DZ77,no-geo
