offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1183,3607,10-25-2025,pending,10.31,12.88,184.03,W98,kwt
1183,6675,10-25-2025,pending,19.98,22.2,317.17,CK22,kwt
1183,6675,10-25-2025,pending,0.0,0.0,0.0,CK22,kwt
1183,6675,10-25-2025,pending,13.94,15.49,221.22,CK22,kwt
1183,6675,10-25-2025,pending,4.99,5.55,79.22,CK22,kwt
1183,6706,10-25-2025,pending,5.39,7.19,102.76,ALC4,bhr
1183,6947,10-25-2025,pending,10.78,14.37,143.7,X16,ksa
1183,14659,10-25-2025,pending,5.53,7.37,105.27,W66,uae
1183,6706,10-25-2025,pending,4.12,5.5,78.53,ALC4,ksa
1183,6729,10-25-2025,pending,17.62,20.73,296.2,WAF,uae
1183,14829,10-25-2025,pending,2.27,3.03,43.29,Q8,ksa
1183,3607,10-25-2025,pending,3.38,4.22,42.22,Q5,ksa
1183,6924,10-26-2025,pending,16.62,20.78,207.79,CR7,ksa
