offer,date,revenue,sale_amount,coupon_code,geo
1283,08-01-2025,1.86,26.51,RAN222,ksa
1283,08-01-2025,0.88,12.54,RAN221,ksa
1283,08-01-2025,7.29,104.15,RAN222,ksa
1283,08-01-2025,4.15,59.29,RAN232,ksa
1283,08-01-2025,0.67,9.56,RAN221,ksa
1283,08-01-2025,4.29,61.26,RAN221,ksa
1283,08-01-2025,4.72,67.39,RAN222,ksa
1283,08-01-2025,6.46,92.32,RAN221,ksa
1283,08-01-2025,2.93,41.91,RAN222,ksa
1283,08-01-2025,3.92,55.94,RAN232,ksa
1283,08-01-2025,0.94,13.4,RAN222,ksa
1283,08-02-2025,0.78,11.19,RAN222,ksa
1283,08-02-2025,2.25,32.1,RAN221,ksa
1283,08-02-2025,3.41,48.78,RAN221,ksa
1283,08-02-2025,1.7,24.22,RAN222,ksa
1283,08-02-2025,3.68,52.53,RAN221,ksa
1283,08-02-2025,1.43,20.38,RAN232,ksa
1283,08-02-2025,1.43,20.38,RAN232,ksa
1283,08-02-2025,1.68,23.93,RAN222,ksa
1283,08-02-2025,2.21,31.56,RAN222,ksa
1283,08-02-2025,3.55,50.64,RAN221,ksa
1283,08-02-2025,1.56,22.23,RAN222,ksa
1283,08-02-2025,1.56,22.23,RAN222,ksa
1283,08-02-2025,3.9,55.66,RAN222,ksa
1283,08-02-2025,7.58,108.23,RAN221,ksa
1283,08-03-2025,0.76,10.83,RAN222,ksa
1283,08-03-2025,7.84,112.03,RAN221,ksa
1283,08-03-2025,4.04,57.78,RAN222,ksa
1283,08-03-2025,7.84,112.03,RAN221,ksa
1283,08-03-2025,2.3,32.84,RAN222,ksa
1283,08-03-2025,2.74,39.13,RAN222,ksa
1283,08-04-2025,7.08,101.13,RAN222,ksa
1283,08-04-2025,8.09,115.59,RAN221,ksa
1283,08-04-2025,5.73,81.93,RAN221,ksa
1283,08-05-2025,1.74,24.92,RAN232,ksa
1283,08-05-2025,0.98,14.07,RAN232,ksa
1283,08-05-2025,15.26,218.01,RAN222,ksa
1283,08-05-2025,0.27,3.92,RAN232,ksa
1283,08-05-2025,0.27,3.92,RAN232,ksa
1283,08-05-2025,2.43,34.72,RAN232,ksa
1283,08-06-2025,3.85,55.06,RAN221,ksa
1283,08-06-2025,4.18,59.71,RAN221,ksa
1283,08-06-2025,5.74,81.98,RAN165,ksa
1283,08-06-2025,3.7,52.87,RAN222,ksa
1283,08-06-2025,5.04,72.01,RAN221,ksa
1283,08-06-2025,5.04,72.01,RAN221,ksa
1283,08-06-2025,3.05,43.61,RAN165,ksa
1283,08-06-2025,4.03,57.56,RAN221,ksa
1283,08-07-2025,3.86,55.1,RAN221,ksa
1283,08-08-2025,2.45,35.03,RAN221,ksa
1283,08-08-2025,2.4,34.23,RAN221,ksa
1283,08-08-2025,1.65,23.62,RAN221,ksa
1283,08-08-2025,2.67,38.09,RAN221,ksa
1283,08-08-2025,5.5,78.64,RAN221,ksa
1283,08-08-2025,5.41,77.26,RAN221,ksa
1283,08-08-2025,5.77,82.49,RAN221,ksa
1283,08-08-2025,2.02,28.79,RAN221,ksa
1283,08-08-2025,2.31,33.0,RAN221,ksa
1283,08-08-2025,1.97,28.17,RAN221,ksa
1283,08-08-2025,1.97,28.17,RAN221,ksa
1283,08-08-2025,2.78,39.67,RAN221,ksa
1283,08-09-2025,5.17,73.82,RAN221,ksa
1283,08-09-2025,2.56,36.63,RAN221,ksa
1283,08-09-2025,2.56,36.63,RAN221,ksa
1283,08-09-2025,10.28,146.92,RAN221,ksa
1283,08-09-2025,2.97,42.5,RAN221,ksa
1283,08-10-2025,6.03,86.15,RAN221,ksa
1283,08-11-2025,3.42,48.8,RAN221,ksa
1283,08-11-2025,2.27,32.38,RAN222,ksa
1283,08-11-2025,2.73,39.01,RAN221,ksa
1283,08-11-2025,2.57,36.78,RAN222,ksa
1283,08-11-2025,5.41,77.28,RAN222,ksa
1283,08-11-2025,2.14,30.51,RAN222,ksa
1283,08-11-2025,1.91,27.26,RAN222,ksa
1283,08-11-2025,8.61,122.96,RAN221,ksa
1283,08-11-2025,2.05,29.23,RAN221,ksa
1283,08-11-2025,2.93,41.82,RAN221,ksa
1283,08-11-2025,2.7,38.59,RAN222,ksa
1283,08-11-2025,6.87,98.08,RAN221,ksa
1283,08-11-2025,2.05,29.29,RAN222,ksa
1283,08-11-2025,5.3,75.76,RAN221,ksa
1283,08-11-2025,9.38,134.04,RAN222,ksa
1283,08-12-2025,10.08,143.98,RAN222,ksa
1283,08-13-2025,6.19,88.37,RAN221,ksa
1283,08-13-2025,2.17,30.97,RAN221,ksa
1283,08-13-2025,9.3,132.89,RAN221,ksa
1283,08-13-2025,1.29,18.44,RAN221,ksa
