offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1283,14465,10-01-2025,pending,2.96,2.96,42.28,RAN221,ksa
1283,6728,10-01-2025,pending,5.37,7.67,109.54,RAN162,ksa
1283,14465,10-03-2025,pending,5.62,5.62,80.27,RAN221,ksa
1283,14465,10-03-2025,pending,0.89,0.89,12.75,RAN221,ksa
1283,14465,10-03-2025,pending,0.89,0.89,12.75,RAN221,ksa
1283,14465,10-03-2025,pending,4.75,4.75,67.82,RAN221,ksa
1283,14465,10-03-2025,pending,8.99,8.99,128.45,RAN221,ksa
1283,14465,10-03-2025,pending,2.48,2.48,35.46,RAN221,ksa
1283,14465,10-03-2025,pending,2.78,2.78,39.74,RAN221,ksa
1283,14465,10-03-2025,pending,7.0,7.0,99.95,RAN221,ksa
1283,14465,10-03-2025,pending,8.7,8.7,124.25,RAN221,ksa
1283,14465,10-04-2025,pending,3.5,3.5,49.96,RAN221,ksa
1283,14465,10-04-2025,pending,3.58,3.58,51.15,RAN221,ksa
1283,14465,10-05-2025,pending,23.56,23.56,336.63,RAN221,ksa
1283,14465,10-05-2025,pending,7.55,7.55,107.79,RAN221,ksa
1283,14465,10-06-2025,pending,5.21,5.21,74.37,RAN221,ksa
1283,14465,10-08-2025,pending,2.31,2.31,32.96,RAN221,ksa
1283,14465,10-11-2025,pending,8.78,8.78,125.49,RAN221,ksa
1283,14465,10-14-2025,pending,13.47,13.47,192.38,RAN221,ksa
1283,14663,10-15-2025,pending,1.61,2.3,32.8,RAN161,ksa
1283,14663,10-15-2025,pending,1.38,1.97,28.19,RAN161,ksa
1283,14590,10-15-2025,pending,0.02,0.03,0.47,RAN168,ksa
1283,14663,10-15-2025,pending,1.03,1.47,20.94,RAN161,ksa
1283,14663,10-15-2025,pending,1.22,1.74,24.89,RAN161,ksa
1283,14663,10-15-2025,pending,2.58,3.68,52.56,RAN161,ksa
1283,6873,10-19-2025,pending,4.35,6.22,88.84,RAN229,ksa
1283,14465,10-19-2025,pending,6.89,6.89,98.39,RAN221,ksa
1283,986,10-20-2025,pending,4.95,6.19,88.36,RAN160,ksa
1283,8486,10-23-2025,pending,2.67,3.81,54.45,RAN163,ksa
1283,14590,10-24-2025,pending,0.85,1.21,17.33,RAN167,ksa
1283,14590,10-24-2025,pending,1.58,2.25,32.21,RAN167,ksa
1283,14590,10-24-2025,pending,1.01,1.44,20.6,RAN167,ksa
1283,8486,10-27-2025,pending,1.69,2.42,34.59,RAN163,ksa
