offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1256,8486,09-22-2025,pending,2.16,2.54,25.37,SAHS,no-geo
1256,8486,09-22-2025,pending,0.66,0.77,7.74,SAHS,no-geo
1256,8486,09-22-2025,pending,1.31,1.54,15.43,SAHS15,no-geo
1256,2345,09-22-2025,pending,0.73,0.81,8.08,D25,no-geo
1256,8486,09-22-2025,pending,2.12,2.49,24.94,SAHS,no-geo
1256,8486,09-22-2025,pending,1.24,1.46,14.62,SAHS,no-geo
1256,8486,09-22-2025,pending,1.08,1.27,12.74,SAHS,no-geo
1256,8486,09-22-2025,pending,0.29,0.34,3.44,SAHS,no-geo
1256,8486,09-22-2025,pending,2.78,3.27,32.68,SAHS,no-geo
1256,6887,09-21-2025,pending,0.84,1.12,11.18,D26,no-geo
1256,6887,09-21-2025,pending,0.29,0.39,3.87,D26,no-geo
1256,6887,09-21-2025,pending,2.58,3.44,34.4,D26,no-geo
1256,8486,09-21-2025,pending,0.33,0.39,3.87,SAHS,no-geo
1256,8486,09-21-2025,pending,1.06,1.25,12.47,SAHS,no-geo
1256,8486,09-21-2025,pending,0.33,0.39,3.87,SAHS,no-geo
1256,8486,09-21-2025,pending,1.43,1.68,16.77,SAHS,no-geo
1256,8486,09-21-2025,pending,1.43,1.68,16.77,SAHS,no-geo
1256,8486,09-21-2025,pending,1.5,1.76,17.63,SAHS,no-geo
1256,8486,09-21-2025,pending,2.0,2.36,23.56,SAHS15,no-geo
1256,8486,09-21-2025,pending,2.04,2.4,23.96,SAHS15,no-geo
1256,8486,09-21-2025,pending,2.04,2.4,23.96,SAHS15,no-geo
1256,8486,09-21-2025,pending,2.04,2.4,23.96,SAHS15,no-geo
1256,8486,09-21-2025,pending,2.04,2.4,23.96,SAHS15,no-geo
1256,8486,09-21-2025,pending,2.04,2.4,23.96,SAHS15,no-geo
1256,8486,09-21-2025,pending,2.04,2.4,23.96,SAHS15,no-geo
1256,8486,09-21-2025,pending,2.56,3.01,30.1,SAHS,no-geo
1256,6887,09-21-2025,pending,0.29,0.39,3.87,D26,no-geo
1256,8486,09-21-2025,pending,0.62,0.73,7.31,SAHS,no-geo
1256,8486,09-21-2025,pending,2.56,3.01,30.1,SAHS,no-geo
1256,8486,09-20-2025,pending,2.56,3.01,30.1,SAHS,no-geo
1256,8486,09-20-2025,pending,0.79,0.93,9.34,SAHS15,no-geo
1256,8486,09-20-2025,pending,2.78,3.27,32.68,SAHS,no-geo
1256,8486,09-20-2025,pending,2.78,3.27,32.68,SAHS,no-geo
1256,8486,09-20-2025,pending,0.62,0.73,7.31,SAHS15,no-geo
1256,8486,09-20-2025,pending,0.88,1.03,10.32,SAHS,no-geo
1256,6887,09-20-2025,pending,0.29,0.39,3.87,D26,no-geo
1256,8486,09-20-2025,pending,1.07,1.26,12.59,SAHS15,no-geo
1256,8486,09-19-2025,pending,2.56,3.01,30.11,SAHS,no-geo
1256,8486,09-19-2025,pending,0.33,0.39,3.87,SAHS,no-geo
1256,8486,09-19-2025,pending,2.27,2.67,26.67,SAHS,no-geo
1256,8486,09-19-2025,pending,0.66,0.77,7.74,SAHS,no-geo
1256,8486,09-19-2025,pending,0.33,0.39,3.87,SAHS,no-geo
1256,8486,09-19-2025,pending,2.42,2.84,28.43,SAHS15,no-geo
1256,8486,09-19-2025,pending,0.97,1.14,11.37,SAHS15,no-geo
1256,8486,09-19-2025,pending,2.56,3.01,30.11,SAHS,no-geo
1256,8486,09-19-2025,pending,0.86,1.01,10.15,SAHS15,no-geo
1256,6887,09-19-2025,pending,0.87,1.17,11.66,D26,no-geo
1256,8486,09-19-2025,pending,2.56,3.01,30.11,SAHS,no-geo
1256,8486,09-19-2025,pending,0.33,0.39,3.87,SAHS,no-geo
1256,8486,09-19-2025,pending,1.17,1.38,13.76,SAHS,no-geo
1256,8486,09-19-2025,pending,0.8,0.95,9.46,SAHS,no-geo
1256,8486,09-19-2025,pending,1.68,1.98,19.78,SAHS,no-geo
1256,8486,09-19-2025,pending,2.42,2.84,28.43,SAHS15,no-geo
1256,8486,09-19-2025,pending,1.1,1.29,12.9,SAHS,no-geo
1256,8486,09-19-2025,pending,2.07,2.44,24.37,SAHS15,no-geo
1256,8486,09-19-2025,pending,0.77,0.9,9.03,SAHS,no-geo
1256,8486,09-19-2025,pending,1.0,1.18,11.78,SAHS15,no-geo
1256,8486,09-18-2025,pending,0.88,1.03,10.32,SAHS,no-geo
1256,8486,09-18-2025,pending,2.16,2.54,25.38,SAHS,no-geo
1256,8486,09-18-2025,pending,0.66,0.77,7.74,SAHS,no-geo
1256,8486,09-18-2025,pending,2.56,3.01,30.11,SAHS,no-geo
1256,8486,09-18-2025,pending,2.56,3.01,30.11,SAHS,no-geo
1256,8486,09-18-2025,pending,0.73,0.86,8.6,SAHS,no-geo
1256,8486,09-18-2025,pending,1.46,1.72,17.2,SAHS,no-geo
1256,8486,09-18-2025,pending,1.21,1.42,14.19,SAHS,no-geo
1256,8486,09-18-2025,pending,2.69,3.16,31.65,SAHS,no-geo
1256,8486,09-18-2025,pending,1.38,1.62,16.25,SAHS15,no-geo
1256,8486,09-18-2025,pending,2.16,2.54,25.38,SAHS,no-geo
1256,8486,09-18-2025,pending,0.51,0.6,6.02,SAHS,no-geo
1256,8486,09-18-2025,pending,2.67,3.14,31.4,SAHS,no-geo
1256,6887,09-18-2025,pending,0.77,1.03,10.32,D26,no-geo
1256,8486,09-18-2025,pending,2.71,3.18,31.83,SAHS,no-geo
1256,8486,09-17-2025,pending,1.46,1.72,17.2,SAHS,no-geo
