offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1353,10856,10-01-2025,pending,18.24,18.24,303.96,RR20,no-geo
1353,9363,10-01-2025,pending,6.69,6.69,111.47,RR37,no-geo
1353,7100,10-04-2025,pending,18.85,18.85,314.13,RR11,no-geo
1353,10856,10-02-2025,pending,13.38,13.38,222.93,RR20,no-geo
1353,10856,10-04-2025,pending,12.77,12.77,212.8,RR20,no-geo
1353,9363,10-06-2025,pending,23.96,23.96,399.25,RR37,no-geo
1353,9363,10-07-2025,pending,20.92,20.92,348.59,RR37,no-geo
1353,10856,10-06-2025,pending,66.88,66.88,1114.67,RR20,no-geo
1353,10856,10-07-2025,pending,28.58,28.58,476.27,RR20,no-geo
1353,9363,10-07-2025,pending,25.54,25.54,425.6,RR37,no-geo
1353,14298,10-07-2025,pending,13.38,13.38,222.93,NNN,no-geo
1353,14298,10-10-2025,pending,7.3,7.3,121.6,NNN,no-geo
1353,10856,10-10-2025,pending,10.94,10.94,182.4,RR20,no-geo
1353,14298,10-08-2025,pending,77.82,77.82,1297.07,NNN,no-geo
1353,9363,10-08-2025,pending,11.64,11.64,194.03,RR37,no-geo
1353,10856,10-03-2025,pending,17.02,17.02,283.73,RR20,no-geo
