offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1349,3607,10-06-2025,pending,1.53,1.74,116.08,R25,KSA
1349,6802,10-06-2025,pending,15.84,21.12,527.93,R21,KSA
1349,6658,10-06-2025,pending,0.01,0.01,0.21,RR8,KSA
1349,6729,10-05-2025,pending,9.1,12.14,1213.62,WAFY1,KSA
1349,6729,10-05-2025,pending,3.46,4.61,307.36,WAFY1,KSA
1349,6729,10-05-2025,pending,2.1,2.8,279.56,WAFY1,KSA
1349,6802,10-05-2025,pending,3.18,4.24,282.83,R21,KSA
1349,6658,10-05-2025,pending,1.8,2.41,240.6,RR8,KSA
1349,7010,10-05-2025,pending,0.66,0.87,87.47,WFRLY,KSA
1349,6802,10-05-2025,pending,0.61,0.81,20.18,R21,KSA
1349,6658,10-05-2025,pending,19.21,25.62,640.46,RR8,KSA
1349,6802,10-05-2025,pending,17.9,23.86,596.58,R21,KSA
1349,7010,10-04-2025,pending,0.69,0.92,92.37,WFRLY,KSA
1349,7010,10-04-2025,pending,2.26,3.01,200.54,WFRLY,KSA
1349,7010,10-04-2025,pending,2.93,3.91,260.49,WFRLY,KSA
1349,6658,10-04-2025,pending,22.19,29.59,1972.48,RR8,KSA
1349,7010,10-04-2025,pending,1.7,2.26,150.68,WFRLY,KSA
1349,6729,10-04-2025,pending,0.69,0.91,22.86,WAFY1,KSA
1349,7010,10-04-2025,pending,12.27,16.36,409.03,WFRLY,KSA
1349,6658,10-04-2025,pending,2.39,3.19,79.63,RR8,KSA
1349,6658,10-04-2025,pending,63.42,84.56,2113.99,RR8,KSA
1349,7010,10-04-2025,pending,34.65,46.19,1154.87,WFRLY,KSA
1349,7010,10-03-2025,pending,1.99,2.65,264.85,WFRLY,KSA
1349,7157,10-03-2025,pending,1.54,2.05,136.51,R14,KSA
1349,6802,10-03-2025,pending,0.81,1.08,107.63,R21,KSA
1349,6658,10-03-2025,pending,0.71,0.95,95.1,RR8,KSA
1349,3607,10-03-2025,pending,1.13,1.29,85.83,R25,KSA
