offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1327,6706,09-17-2025,pending,1.98,2.64,26.4,ALC1,ksa
1327,6706,09-17-2025,pending,1.98,2.64,26.4,ALC1,ksa
1327,2345,10-27-2025,pending,2.4,2.67,26.69,AD6,ksa
1327,2345,10-27-2025,pending,2.4,2.67,26.69,AD6,ksa
1327,2345,10-25-2025,pending,2.82,3.13,31.3,AD8,ksa
1327,6706,10-25-2025,pending,2.16,2.88,28.8,ALC1,ksa
1327,6706,10-27-2025,pending,1.08,1.44,14.4,ALC1,ksa
1327,2345,10-18-2025,pending,4.06,4.51,45.14,AD6,ksa
1327,2345,10-15-2025,pending,3.79,4.21,42.11,AD7,ksa
1327,6706,10-14-2025,pending,2.42,3.23,32.28,ALC1,ksa
1327,6706,10-14-2025,pending,2.36,3.15,31.49,ALC1,ksa
1327,6706,10-20-2025,pending,2.84,3.78,37.8,ALC1,ksa
1327,12388,10-21-2025,pending,7.5,10.0,100.0,AD10,ksa
1327,2345,10-26-2025,pending,8.04,8.93,89.33,AD6,ksa
1327,2345,10-10-2025,pending,2.68,2.98,29.77,AD8,ksa
1327,2345,10-09-2025,pending,2.41,2.68,26.78,AD8,ksa
1327,2345,10-07-2025,pending,1.62,1.8,18.0,AD6,ksa
1327,6706,10-05-2025,pending,2.03,2.7,27.0,ALC1,ksa
1327,6706,10-05-2025,pending,2.43,3.24,32.4,ALC1,ksa
1327,2345,10-05-2025,pending,5.36,5.95,59.52,AD7,ksa
1327,2345,10-04-2025,pending,2.75,3.06,30.6,AD6,ksa
1327,2345,10-03-2025,pending,3.59,3.99,39.94,AD7,ksa
1327,2345,10-02-2025,pending,5.18,5.76,57.6,AD8,ksa
1327,2345,10-02-2025,pending,5.18,5.76,57.6,AD8,ksa
1327,2345,10-01-2025,pending,0.77,0.86,8.64,AD6,ksa
1327,6557,10-01-2025,pending,1.08,1.44,14.4,AD43,ksa
1327,6706,10-10-2025,pending,2.43,3.24,32.45,ALC1,ksa
1327,6706,10-12-2025,pending,2.16,2.88,28.8,ALC1,ksa
1327,6706,10-22-2025,pending,2.03,2.7,27.0,ALC1,ksa
1327,2345,09-26-2025,pending,4.82,5.36,53.58,AD6,ksa
1327,6706,09-26-2025,pending,2.16,2.88,28.8,ALC1,ksa
1327,6706,09-25-2025,pending,1.97,2.63,26.28,ALC1,ksa
1327,6706,09-25-2025,pending,4.32,5.76,57.6,ALC1,ksa
1327,2345,09-25-2025,pending,1.6,1.78,17.81,AD6,ksa
1327,2345,09-24-2025,pending,5.2,5.78,57.77,AD6,ksa
1327,2345,09-22-2025,pending,1.27,1.41,14.09,AD5,ksa
1327,6706,09-22-2025,pending,0.81,1.08,10.8,ALC1,ksa
1327,2345,09-21-2025,pending,2.38,2.64,26.39,AD8,ksa
1327,2345,09-21-2025,pending,2.58,2.87,28.74,AD8,ksa
1327,2345,09-21-2025,pending,1.94,2.15,21.49,AD6,ksa
1327,2345,09-21-2025,pending,13.27,14.74,147.36,AD6,ksa
1327,6706,09-20-2025,pending,1.29,1.72,17.16,ALC1,ksa
1327,2345,09-20-2025,pending,3.22,3.58,35.81,AD6,ksa
1327,6706,09-20-2025,pending,3.6,4.8,48.0,ALC1,ksa
1327,12388,09-19-2025,pending,4.88,6.51,65.06,AD10,ksa
1327,2345,09-19-2025,pending,2.15,2.39,23.9,AD7,ksa
1327,2345,09-18-2025,pending,1.7,1.89,18.9,AD8,ksa
1327,6706,09-18-2025,pending,20.86,27.81,278.13,ALC1,ksa
1327,2345,09-17-2025,pending,1.76,1.96,19.58,AD6,ksa
1327,6706,09-17-2025,pending,1.9,2.54,25.37,ALC1,ksa
1327,2345,09-27-2025,pending,1.08,1.2,12.0,AD8,ksa
1327,6706,09-27-2025,pending,1.12,1.5,14.98,ALC1,ksa
1327,6706,10-14-2025,pending,1.05,1.4,14.04,ALC1,ksa
1327,6706,09-28-2025,pending,1.57,2.09,20.91,ALC1,ksa
1327,2345,09-29-2025,pending,3.81,4.23,42.26,AD6,ksa
1327,2345,10-14-2025,pending,6.0,6.67,66.67,AD7,ksa
1327,2345,10-24-2025,pending,3.74,4.16,41.57,AD8,ksa
1327,2345,10-27-2025,pending,2.42,2.69,26.88,AD6,ksa
1327,2345,10-27-2025,pending,4.56,5.07,50.69,AD6,ksa
