offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1293,14465,09-29-2025,pending,18.66,20.73,414.61,G61,no-geo
1293,2095,09-20-2025,pending,11.08,15.83,316.52,Z85,no-geo
1293,6728,09-18-2025,pending,9.5,13.57,271.3,G9,no-geo
1293,6728,09-27-2025,pending,6.7,9.57,191.3,G9,no-geo
1293,8486,09-21-2025,pending,7.14,8.93,178.55,G5,no-geo
1293,6728,09-29-2025,pending,4.94,7.06,141.22,G9,no-geo
1293,6728,09-21-2025,pending,4.63,6.61,132.17,G9,no-geo
1293,6887,09-17-2025,pending,4.63,6.61,132.17,Z39,no-geo
1293,986,10-01-2025,pending,1.63,2.18,108.99,Z1,no-geo
1293,2095,09-18-2025,pending,1.53,2.18,108.99,Z85,no-geo
1293,315,09-21-2025,pending,2.0,2.85,57.04,Z30,no-geo
1293,2345,09-29-2025,pending,0.75,0.83,41.74,Z40,no-geo
1293,2345,09-21-2025,pending,1.64,1.82,36.41,Z40,no-geo
