offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1106,986,09-12-2025,pending,6.92,8.24,137.33,DD10,uae
1106,7142,09-11-2025,pending,8.59,11.15,185.84,DD5,kwt
1106,6726,09-11-2025,pending,4.25,5.52,91.96,TT4,uae
1106,1,09-11-2025,pending,0.0,3.99,66.56,TT99,kwt
1106,7003,09-11-2025,pending,15.97,20.75,345.78,GDT50,uae
1106,6675,09-10-2025,pending,17.86,21.01,350.14,TT54,kwt
1106,7142,09-10-2025,pending,0.0,0.0,0.0,DD5,kwt
1106,986,09-07-2025,pending,1.85,2.21,36.78,DD10,uae
1106,1,09-03-2025,pending,0.0,6.4,106.68,DD17,uae
1106,6726,09-02-2025,pending,22.09,28.69,478.2,TT2,uae
1106,6675,09-01-2025,pending,32.75,38.53,642.25,TT54,kwt
1106,6675,08-31-2025,pending,21.91,25.78,429.65,TT54,uae
1106,6675,08-31-2025,pending,0.0,0.0,0.0,TT54,kwt
1106,6675,08-30-2025,pending,29.79,35.05,584.14,TT54,uae
1106,7100,08-29-2025,pending,28.61,37.16,619.26,GDT2,kwt
1106,6947,08-29-2025,pending,7.99,10.37,172.9,TT16,kwt
1106,1,08-29-2025,pending,0.0,1.99,33.11,TT72,uae
1106,1,08-29-2025,pending,0.0,53.44,890.68,FAM,uae
1106,3607,08-26-2025,pending,3.19,3.94,65.59,TT28,kwt
1106,6947,08-26-2025,pending,4.53,5.89,98.09,TT16,uae
