id,offer name,code,payout,revenue,sale amount,expected ratio revenue,expected ratio sale,expected payout fixed,match method,matched or not
189,6th Street,5sm11,61.839999999999996,82.65,1651.31,0.7480314960629921,0.037460978147762745,0.835,"mixed (revenue, sale)",matched
6924,6th Street,aaa,110.67,147.54,2704.6,0.75,0.0375,0.9,"mixed (revenue, sale)",matched
6706,6th Street,alc9,306.08,408.0,4595.15,0.75,0.07496723460026213,2.37,revenue,not matched
5566,6th Street,almw1,4.5,5.65,112.80000000000001,0.7955801104972375,0.039889196675900275,1.44,revenue,matched
14818,6th Street,amj,62.8,83.65,1618.6000000000001,0.7504612546125462,0.03756543373416858,1.145,"mixed (revenue, sale)",matched
10616,6th Street,ap10,6.15,8.200000000000001,164.03,0.7493815183119088,0.03743716598755434,3.075,revenue,matched
6669,6th Street,ap11,23.44,31.33,626.39,0.7439024390243902,0.03721781574130567,0.61,"mixed (revenue, sale)",matched
11875,6th Street,ap2,55.04,73.47,1257.46,0.749665327978581,0.037503348513260114,0.57,"mixed (revenue, sale)",matched
6728,6th Street,ap3,7.470000000000001,9.96,198.89999999999998,0.750155866065207,0.03756023746615242,1.245,revenue,matched
6811,6th Street,ap6,11.22,14.96,251.49,0.7494907833906642,0.03746596705825603,2.46,revenue,matched
14734,6th Street,cbp5,32.0,42.68,770.31,0.7497048406139314,0.03749637661529881,3.23,revenue,matched
6675,6th Street,ckk10,53.4,71.2,1407.3899999999999,0.75,0.037503348513260114,0.84,revenue,matched
2345,6th Street,cw10,356.02,395.49,7551.95,0.8999670836076366,0.04502299247199003,1.0,"mixed (revenue, sale)",matched
10856,6th Street,cw15,266.87,355.69,6118.8,0.75,0.03753666549709102,1.41,revenue,matched
6675,6th Street,cw2,4.0,5.32,106.54,0.7518796992481203,0.03754458419373005,2.0,revenue,matched
14536,6th Street,cw3,18.53,24.71,427.79,0.7494356659142213,0.03748748032622693,2.62,revenue,matched
2345,6th Street,cw5,156.26,173.59,3218.22,0.8993288590604027,0.044953350296861753,1.06,revenue,matched
2345,6th Street,cw6,317.07,352.19,6380.12,0.9,0.04506303832230683,1.53,revenue,matched
2345,6th Street,cw7,775.3,861.24,15996.77,0.9002932551319647,0.0450272142503711,1.31,"mixed (revenue, sale)",matched
2345,6th Street,cw8,184.46,204.77,3851.92,0.9022988505747127,0.04508382419574082,0.65,"mixed (revenue, sale)",matched
2345,6th Street,cw9,230.59,256.14,4810.53,0.8999999999999999,0.045035460992907804,1.6,"mixed (revenue, sale)",matched
14734,6th Street,dh12,9.690000000000001,12.91,258.86,0.7540983606557378,0.037520391517128875,0.68,revenue,matched
14734,6th Street,dh14,19.58,26.24,523.99,0.7457627118644068,0.037351443123938885,0.88,revenue,matched
3607,6th Street,dh16,2.76,3.68,36.78,0.7499999999999999,0.07504078303425774,1.38,revenue,matched
3607,6th Street,dh18,2.25,3.0,59.95,0.75,0.03753127606338615,2.25,revenue,matched
14734,6th Street,dh21,104.76,139.88,2465.91,0.7480314960629921,0.03745704467353952,1.09,"mixed (revenue, sale)",matched
10861,6th Street,dh22,10.19,13.58,271.4,0.75,0.03756501637449432,1.95,revenue,matched
14734,6th Street,dh24,20.18,26.93,347.97999999999996,0.7503280839895012,0.05625121192008727,2.86,revenue,not matched
10856,6th Street,dww7,259.43,346.02,6203.79,0.75,0.03748549973528396,0.89,"mixed (revenue, sale)",matched
13945,6th Street,emm2,1.83,2.44,48.77,0.75,0.03752306745950379,1.83,revenue,matched
14782,6th Street,ev,15.68,18.45,289.32,0.8490404736385444,0.04250669693983758,0.56,revenue,matched
6132,6th Street,exm4,10.98,14.64,292.92,0.75,0.03748463744367063,5.49,revenue,matched
8486,6th Street,gs1,610.12,1114.36,20335.58,0.6,0.029998365211705083,0.86,"mixed (revenue, sale)",matched
5458,6th Street,gs2,2.92,3.9,77.93,0.7487179487179487,0.037469523931733605,2.92,revenue,matched
5458,6th Street,gs3,31.7,42.28,831.89,0.7499999999999999,0.037469523931733605,0.69,revenue,matched
5458,6th Street,gs4,42.29,56.4,1006.81,0.75,0.03751214696177909,1.31,revenue,matched
2345,6th Street,ha,316.9,352.04,6388.83,0.9004117919994697,0.04502601406483109,1.06,"mixed (revenue, sale)",matched
663,6th Street,na10,3.4699999999999998,4.640000000000001,92.64,0.7477975241133136,0.03745708474835938,1.7349999999999999,revenue,matched
663,6th Street,na11,2.0,2.68,53.68,0.7462686567164178,0.037257824143070044,0.5,revenue,matched
7083,6th Street,na5,17.6,23.46,468.63,0.75,0.03760071620411817,1.26,revenue,matched
6924,6th Street,na8,1.31,1.74,34.88,0.7528735632183908,0.03755733944954128,1.31,revenue,matched
6924,6th Street,na9,3.44,4.6,91.82,0.7478260869565218,0.03746460466129384,1.72,revenue,matched
5566,6th Street,nnn,10.48,13.059999999999999,261.57,0.8017241379310346,0.04003443822643134,0.93,revenue,matched
14298,6th Street,qqq,13.6,16.98,297.81,0.8017039183222958,0.0400832899531494,1.52,revenue,matched
6924,6th Street,sa95,9.84,13.13,204.07,0.7497855917667238,0.03765182186234818,1.135,revenue,matched
8486,6th Street,sahs1,2247.87,4470.38,74934.31,0.6,0.029994950409671248,0.99,"mixed (revenue, sale)",matched
6887,6th Street,sm12,11.14,14.86,297.27,0.7472222222222222,0.0373618268305833,1.565,revenue,matched
14810,6th Street,sm8,8.58,11.44,228.88,0.75,0.03748689269486194,8.58,revenue,matched
6829,6th Street,sm9,35.120000000000005,46.78,830.52,0.7514450867052024,0.03766751177109743,1.04,revenue,matched
6903,6th Street,sms1,2.33,3.11,31.06,0.7491961414790997,0.0750160978750805,2.33,revenue,matched
14659,6th Street,sms2,1.44,1.9,38.14,0.7578947368421053,0.03775563712637651,0.72,revenue,matched
14734,6th Street,sms3,381.15,508.24,8369.0,0.75,0.03747927031509121,1.18,"mixed (revenue, sale)",matched
6947,6th Street,sms5,25.77,34.43,687.98,0.7466666666666667,0.037234042553191495,0.56,revenue,matched
6924,6th Street,snd95,1.14,1.52,30.24,0.7499999999999999,0.037698412698412696,0.57,revenue,matched
6924,6th Street,sss,31.82,42.48,763.22,0.7476635514018691,0.03748828491096533,1.26,revenue,matched
14465,6th Street,wala2025,457.62,437.65999999999997,7628.849999999999,1.2,0.05997144217039505,1.81,"mixed (revenue, sale)",matched
986,Adidas,ran160,4.95,6.19,88.36,0.7996768982229402,0.0560208239022182,4.95,revenue,matched
14663,Adidas,ran161,7.82,11.16,159.38,0.7006802721088435,0.049085365853658545,1.38,revenue,matched
6728,Adidas,ran162,5.37,7.67,109.54,0.7001303780964798,0.04902318787657477,5.37,revenue,matched
8486,Adidas,ran163,2.67,3.81,54.45,0.7007874015748031,0.049035812672176306,2.67,revenue,matched
14590,Adidas,ran167,3.4400000000000004,4.9,70.14,0.7022222222222223,0.049047893825735725,1.01,revenue,matched
14590,Adidas,ran168,0.02,0.03,0.47,0.6666666666666667,0.04255319148936171,0.02,revenue,matched
14465,Adidas,ran221,96.35,96.35,1376.21,1.0,0.07001568855233144,4.98,revenue,matched
6873,Adidas,ran229,4.35,6.22,88.84,0.6993569131832797,0.0489644304367402,4.35,revenue,matched
2345,AirAlo,d20,0.72,0.8,7.98,0.8999999999999999,0.09022556390977443,0.72,revenue,matched
2345,AirAlo,d24,0.74,0.82,8.17,0.9024390243902439,0.09057527539779682,0.74,revenue,matched
6887,AirAlo,d26,7.45,9.95,99.34,0.7478380931618342,0.0750444645793483,0.84,revenue,matched
8486,AirAlo,d33,1.65,1.94,19.35,0.8461538461538461,0.08527131782945736,0.33,revenue,matched
3607,AirAlo,d35,0.61,0.81,8.07,0.7530864197530863,0.07558859975216851,0.61,revenue,matched
5458,AirAlo,d40,0.61,0.81,8.12,0.7530864197530863,0.07512315270935961,0.61,revenue,matched
2345,AirAlo,d7,0.89,0.99,9.89,0.898989898989899,0.08998988877654196,0.89,revenue,matched
2345,AirAlo,d8,1.36,1.51,15.05,0.9006622516556292,0.09036544850498339,1.36,revenue,matched
6675,AirAlo,d9,1.31,1.63,16.34,0.8036809815950922,0.08017135862913097,1.31,revenue,matched
8486,AirAlo,sahs,240.08,282.56,2823.84,0.8491379310344828,0.08504983388704318,1.06,revenue,matched
8486,AirAlo,sahs15,172.73,203.01,2030.96,0.8505942275042445,0.0850666446406223,1.42,"mixed (revenue, sale)",matched
14298,Al Daham,nnn,95.82,98.49999999999999,1641.6,1.0,0.059996761932663616,10.7,"mixed (fixed, revenue)",matched
7100,Al Daham,rr11,14.14,18.85,314.13,0.7501326259946949,0.045013211090949606,14.14,revenue,matched
10856,Al Daham,rr20,144.79,179.76,2995.86,0.750097885669538,0.04501235941215059,14.015,"mixed (fixed, revenue)",not matched
6728,Al Daham,rr22,52.16,52.16,869.4399999999999,1.0,0.059988200766368543,26.08,revenue,matched
9363,Al Daham,rr37,102.13,127.67,2127.4700000000003,0.7499999999999999,0.04500939261114589,15.69,revenue,not matched
5458,Al Dakheel Oud,qa,6.51,8.68,124.0,0.7495704569860399,0.05248206766211752,3.255,revenue,matched
5458,Al Dakheel Oud,rr11,17.939999999999998,23.92,341.83,0.7499999999999999,0.05248679577464788,4.24,revenue,matched
8486,Al Dakheel Oud,rr2,1.13,1.51,21.5,0.7483443708609271,0.05255813953488372,1.13,revenue,matched
8486,Al Dakheel Oud,sah,94.58,126.09,1801.49,0.75,0.05249324399363269,2.26,revenue,matched
7010,Al Dakheel Oud,wfrly1,6.109999999999999,8.15,116.42999999999999,0.7500831321294836,0.05248702268741338,3.0549999999999997,revenue,matched
