offer,affiliate_id,date,status,payout,revenue,sale amount,sale currency,coupon,geo
1329,2345,08-09-2025,pending,9.32,12.43,124.26,SAR,DG10,ksa
1329,6669,08-09-2025,pending,3.38,4.51,45.07,SAR,MNN27,ksa
1329,2345,08-09-2025,pending,1.64,2.19,21.85,SAR,DG10,ksa
1329,6669,08-09-2025,pending,4.79,6.39,63.9,KWD,MNN27,kwt
1329,6669,08-10-2025,pending,5.87,7.83,78.28,AED,MNN27,uae
1329,14590,08-10-2025,pending,4.09,4.55,45.47,AED,ZM22,uae
1329,6669,08-10-2025,pending,7.09,9.45,94.47,BHD,MNN27,bhr
1329,6669,08-10-2025,pending,1.2,1.6,16.0,SAR,MNN27,ksa
1329,2345,08-10-2025,pending,2.21,2.94,29.41,AED,DG10,uae
1329,6675,08-11-2025,pending,8.19,9.31,93.12,KWD,CC22,kwt
1329,6669,08-11-2025,pending,5.8,7.73,77.33,SAR,MNN27,ksa
1329,6675,08-11-2025,pending,2.58,2.93,29.31,SAR,CC22,ksa
1329,6669,08-11-2025,pending,2.01,2.67,26.75,SAR,MNN27,ksa
1329,14590,08-11-2025,pending,13.6,15.11,151.12,AED,ZM22,uae
1329,14590,08-11-2025,pending,3.11,3.45,34.55,SAR,ZM22,ksa
1329,2345,08-11-2025,pending,2.92,3.9,38.96,KWD,DG10,kwt
1329,2345,08-12-2025,pending,3.03,4.04,40.43,KWD,DG10,kwt
1329,6669,08-12-2025,pending,9.01,12.01,120.15,KWD,MNN27,kwt
1329,1,08-12-2025,pending,0.0,1.16,11.59,SAR,MNN17,ksa
1329,6669,08-12-2025,pending,2.42,3.23,32.28,KWD,MNN27,kwt
1329,2345,08-12-2025,pending,4.52,6.03,60.32,KWD,DG10,kwt
1329,14782,08-12-2025,pending,0.97,1.14,11.43,SAR,DB1,ksa
1329,6669,08-13-2025,pending,2.65,3.54,35.38,SAR,MNN27,ksa
1329,6675,08-13-2025,pending,7.19,8.17,81.69,AED,CC22,uae
1329,14590,08-13-2025,pending,6.98,7.76,77.6,AED,RR22,uae
1329,6669,08-13-2025,pending,1.9,2.53,25.27,SAR,MNN27,ksa
1329,6669,08-13-2025,pending,2.58,3.44,34.4,SAR,MNN27,ksa
1329,6669,08-14-2025,pending,4.18,5.58,55.76,SAR,MNN27,ksa
1329,6675,08-14-2025,pending,4.31,4.89,48.95,AED,CC22,uae
1329,14590,08-14-2025,pending,6.23,6.92,69.22,SAR,JM,ksa
1329,14590,08-14-2025,pending,2.23,2.48,24.8,SAR,JM,ksa
1329,6669,08-14-2025,pending,1.22,1.63,16.3,KWD,MNN27,kwt
1329,6669,08-14-2025,pending,3.83,5.11,51.11,SAR,MNN27,ksa
1329,6669,08-14-2025,pending,4.84,6.45,64.53,AED,MNN27,uae
1329,6669,08-14-2025,pending,4.99,6.65,66.54,BHD,MNN27,bhr
1329,6669,08-15-2025,pending,3.89,5.18,51.84,KWD,MNN27,kwt
1329,6675,08-15-2025,pending,5.6,6.36,63.6,SAR,CC22,ksa
1329,6669,08-15-2025,pending,2.08,2.78,27.77,AED,MNN27,uae
1329,14590,08-15-2025,pending,7.39,8.22,82.16,KWD,JM,kwt
1329,14590,08-15-2025,pending,3.87,4.3,43.02,AED,ZM22,uae
1329,6675,08-15-2025,pending,7.44,8.45,84.53,SAR,CC22,ksa
1329,14590,08-16-2025,pending,2.33,2.59,25.87,AED,ZM22,uae
1329,6669,08-17-2025,pending,4.06,5.41,54.12,AED,MNN27,uae
1329,6669,08-17-2025,pending,5.14,6.86,68.57,SAR,MNN27,ksa
1329,6669,08-17-2025,pending,1.93,2.58,25.76,KWD,MNN27,kwt
1329,6669,08-17-2025,pending,2.97,3.96,39.56,BHD,MNN27,bhr
1329,6675,08-18-2025,pending,3.18,3.62,36.19,SAR,CC22,ksa
1329,6669,08-18-2025,pending,1.2,1.6,15.98,KWD,MNN27,kwt
1329,6669,08-18-2025,pending,2.68,3.57,35.7,KWD,MNN27,kwt
1329,6675,08-18-2025,pending,4.67,5.31,53.07,SAR,CC22,ksa
1329,14638,08-18-2025,pending,2.16,2.89,28.85,KWD,DG3,kwt
1329,14590,08-19-2025,pending,6.08,6.75,67.53,AED,RR22,uae
1329,6675,08-19-2025,pending,1.82,2.06,20.64,SAR,CC22,ksa
1329,6675,08-19-2025,pending,4.42,5.02,50.21,KWD,CC22,kwt
1329,14590,08-19-2025,pending,3.38,3.76,37.58,AED,RR22,uae
1329,14590,08-19-2025,pending,6.0,6.67,66.71,AED,RR22,uae
1329,14590,08-19-2025,pending,7.33,8.14,81.42,AED,ZM22,uae
1329,14590,08-19-2025,pending,2.15,2.39,23.88,BHD,JM,bhr
1329,14590,08-20-2025,pending,2.43,2.7,26.96,AED,RR22,uae
1329,6669,08-20-2025,pending,7.23,9.64,96.43,SAR,MNN27,ksa
1329,14590,08-20-2025,pending,4.53,5.04,50.37,SAR,ZM22,ksa
1329,14590,08-20-2025,pending,4.8,5.34,53.38,BHD,ZM22,bhr
1329,6669,08-20-2025,pending,2.92,3.9,38.96,SAR,MNN27,ksa
1329,14590,08-20-2025,pending,2.07,2.3,22.96,SAR,ZM22,ksa
1329,6675,08-20-2025,pending,2.02,2.3,22.96,SAR,CC22,ksa
1329,6669,08-21-2025,pending,3.28,4.37,43.69,KWD,MNN26,kwt
1329,6675,08-21-2025,pending,8.54,9.7,97.03,SAR,CC22,ksa
1329,6675,08-21-2025,pending,2.02,2.29,22.93,SAR,CC22,ksa
1329,6669,08-21-2025,pending,4.23,5.64,56.43,SAR,MNN27,ksa
1329,14590,08-21-2025,pending,3.1,3.44,34.4,SAR,ZM22,ksa
1329,14590,08-22-2025,pending,4.39,4.87,48.74,KWD,JM,kwt
1329,14590,08-22-2025,pending,5.59,6.21,62.08,AED,ZM22,uae
1329,6669,08-23-2025,pending,3.01,4.02,40.18,SAR,MNN27,ksa
1329,14590,08-24-2025,pending,13.0,14.44,144.43,AED,RR22,uae
1329,14590,08-24-2025,pending,1.57,1.74,17.39,SAR,ZM22,ksa
1329,6675,08-24-2025,pending,2.85,3.23,32.35,AED,CC22,uae
1329,14590,08-24-2025,pending,14.75,16.39,163.92,AED,ZM22,uae
1329,14590,08-24-2025,pending,12.62,14.02,140.23,AED,ZM22,uae
1329,14590,08-25-2025,pending,7.33,8.14,81.42,AED,ZM22,uae
1329,14590,08-26-2025,pending,1.94,2.15,21.51,AED,ZM22,uae
1329,14590,08-26-2025,pending,2.94,3.27,32.68,AED,ZM22,uae
1329,6675,08-27-2025,pending,1.94,2.21,22.07,SAR,CC22,ksa
1329,6669,08-27-2025,pending,2.32,3.1,30.97,KWD,MNN27,kwt
1329,5566,08-27-2025,pending,4.32,5.76,57.6,SAR,DB7,ksa
1329,14590,08-27-2025,pending,3.28,3.65,36.48,SAR,ZM22,ksa
1329,5566,08-27-2025,pending,3.71,4.95,49.47,SAR,DB6,ksa
1329,6675,08-27-2025,pending,4.77,5.42,54.19,AED,CC22,uae
1329,14590,08-28-2025,pending,3.14,3.49,34.94,SAR,JM,ksa
1329,8482,08-28-2025,pending,1.63,2.17,21.68,SAR,MNN16,ksa
1329,5566,08-28-2025,pending,14.68,19.58,195.78,AED,DB7,uae
1329,6669,08-28-2025,pending,0.84,1.12,11.2,SAR,MNN27,ksa
1329,14590,08-28-2025,pending,3.84,4.26,42.64,AED,ZM22,uae
1329,14590,08-28-2025,pending,3.64,4.04,40.42,SAR,ZM22,ksa
1329,5566,08-28-2025,pending,2.24,2.98,29.83,KWD,DB7,kwt
1329,3404,08-29-2025,pending,1.61,2.15,21.51,AED,DG11,uae
1329,6675,08-29-2025,pending,3.59,4.08,40.84,AED,CC22,uae
1329,3404,08-29-2025,pending,6.62,8.82,88.22,AED,DG11,uae
1329,5566,08-29-2025,pending,8.9,11.87,118.65,SAR,DB7,ksa
1329,14590,08-29-2025,pending,6.6,7.33,73.33,SAR,ZM22,ksa
1329,6675,08-29-2025,pending,4.29,4.87,48.74,KWD,CC22,kwt
1329,14590,08-29-2025,pending,9.16,10.18,101.77,AED,ZM22,uae
1329,14590,08-29-2025,pending,4.39,4.87,48.74,KWD,JM,kwt
1329,14590,08-29-2025,pending,8.82,9.8,98.03,AED,JM,uae
1329,6669,08-29-2025,pending,2.94,3.92,39.19,SAR,MNN27,ksa
1329,5566,08-29-2025,pending,4.05,5.4,54.01,SAR,DB7,ksa
1329,6669,08-30-2025,pending,1.91,2.55,25.52,SAR,MNN27,ksa
1329,14590,08-30-2025,pending,3.8,4.22,42.22,KWD,JM,kwt
1329,14590,08-31-2025,pending,6.98,7.75,77.54,AED,ZM22,uae
1329,5566,08-31-2025,pending,8.29,11.05,110.52,AED,DB7,uae
1329,6669,08-31-2025,pending,10.37,13.83,138.28,SAR,MNN27,ksa
1329,6669,08-31-2025,pending,3.31,4.42,44.16,SAR,MNN27,ksa
1329,14590,08-31-2025,pending,4.06,4.51,45.07,SAR,JM,ksa
1329,6669,08-31-2025,pending,2.65,3.53,35.28,SAR,MNN27,ksa
1329,5566,08-31-2025,pending,5.61,7.48,74.81,SAR,DB7,ksa
1329,6675,08-31-2025,pending,7.25,8.24,82.36,SAR,CC22,ksa
1329,5566,09-01-2025,pending,2.12,2.83,28.29,SAR,DB7,ksa
1329,5566,09-01-2025,pending,1.03,1.37,13.68,SAR,DB7,ksa
1329,14590,09-01-2025,pending,0.81,0.9,8.97,KWD,ZM22,kwt
1329,14590,09-02-2025,pending,2.5,2.78,27.77,AED,ZM22,uae
1329,6669,09-02-2025,pending,4.82,6.42,64.22,SAR,MNN27,ksa
1329,5566,09-02-2025,pending,5.17,6.89,68.89,AED,DB6,uae
1329,14590,09-03-2025,pending,3.6,4.0,40.0,SAR,JM,ksa
1329,14590,09-03-2025,pending,3.28,3.65,36.49,AED,RR22,uae
1329,6675,09-03-2025,pending,7.19,8.17,81.68,SAR,CC22,ksa
1329,5566,09-03-2025,pending,3.71,4.95,49.51,SAR,DB6,ksa
1329,6669,09-03-2025,pending,3.38,4.51,45.07,SAR,MNN27,ksa
1329,6669,09-03-2025,pending,1.16,1.55,15.52,SAR,MNN27,ksa
1329,14590,09-03-2025,pending,4.14,4.6,46.02,AED,JM,uae
1329,5566,09-03-2025,pending,2.19,2.92,29.18,KWD,DB6,kwt
1329,6669,09-03-2025,pending,2.31,3.08,30.81,KWD,MNN27,kwt
1329,10861,09-03-2025,pending,3.34,4.45,44.53,SAR,MNN37,ksa
1329,5566,09-03-2025,pending,6.86,9.15,91.49,AED,DB6,uae
1329,14590,09-03-2025,pending,3.42,3.8,38.02,SAR,JM,ksa
1329,5566,09-03-2025,pending,8.6,11.47,114.66,SAR,DB7,ksa
1329,6669,09-03-2025,pending,3.24,4.32,43.15,SAR,MNN27,ksa
1329,14590,09-03-2025,pending,6.4,7.11,71.1,BHD,JM,bhr
1329,6669,09-03-2025,pending,1.22,1.63,16.3,KWD,MNN27,kwt
1329,5566,09-04-2025,pending,2.66,3.55,35.47,SAR,DB7,ksa
1329,14590,09-04-2025,pending,3.33,3.7,37.03,AED,JM,uae
1329,5566,09-04-2025,pending,5.64,7.52,75.15,AED,DB7,uae
1329,5566,09-04-2025,pending,10.23,13.64,136.42,SAR,DB7,ksa
1329,6669,09-04-2025,pending,1.43,1.9,19.05,SAR,MNN27,ksa
1329,14590,09-04-2025,pending,3.58,3.97,39.73,SAR,ZM22,ksa
1329,6669,09-04-2025,pending,2.76,3.68,36.8,SAR,MNN27,ksa
1329,5566,09-04-2025,pending,2.02,2.7,26.97,AED,DB6,uae
1329,5566,09-05-2025,pending,2.24,2.98,29.83,SAR,DB6,ksa
1329,10861,09-05-2025,pending,2.58,3.44,34.4,SAR,MNN37,ksa
1329,8482,09-05-2025,pending,6.11,8.14,81.42,AED,MNN16,uae
1329,6675,09-05-2025,pending,2.34,2.66,26.57,KWD,CC22,kwt
1329,14590,09-06-2025,pending,6.1,6.78,67.8,AED,RR22,uae
1329,5566,09-06-2025,pending,1.9,2.53,25.27,SAR,DB6,ksa
1329,14590,09-06-2025,pending,6.36,7.07,70.66,SAR,ZM22,ksa
1329,14590,09-06-2025,pending,9.32,10.36,103.55,AED,ZM22,uae
1329,14590,09-06-2025,pending,1.89,2.1,21.03,KWD,ZM22,kwt
1329,6675,09-06-2025,pending,3.35,3.81,38.12,AED,CC22,uae
1329,5566,09-06-2025,pending,3.37,4.49,44.93,AED,DB6,uae
1329,14590,09-07-2025,pending,2.06,2.29,22.87,AED,RR22,uae
1329,14590,09-07-2025,pending,3.48,3.87,38.67,AED,RR22,uae
1329,14590,09-07-2025,pending,6.78,7.54,75.37,AED,RR22,uae
1329,14638,09-07-2025,pending,6.31,8.41,84.14,AED,DG3,uae
1329,6669,09-08-2025,pending,2.97,3.96,39.6,SAR,MNN27,ksa
1329,6669,09-08-2025,pending,1.66,2.22,22.17,KWD,MNN27,kwt
1329,14771,09-08-2025,pending,2.25,3.0,30.0,KWD,MNN19,kwt
1329,7862,09-08-2025,pending,1.03,1.38,13.76,SAR,NAA10,ksa
1329,5566,09-09-2025,pending,5.1,6.8,67.98,KWD,DB7,kwt
1329,6669,09-09-2025,pending,6.48,8.64,86.42,AED,MNN27,uae
1329,14771,09-09-2025,pending,1.27,1.7,16.95,KWD,MNN19,kwt
1329,14590,09-09-2025,pending,8.79,9.76,97.62,AED,ZM22,uae
1329,5566,09-09-2025,pending,4.39,5.85,58.54,KWD,DB7,kwt
1329,14638,09-09-2025,pending,1.76,2.35,23.47,KWD,DG3,kwt
1329,5566,09-09-2025,pending,4.83,6.44,64.39,KWD,DB7,kwt
1329,14590,09-09-2025,pending,5.38,5.98,59.82,SAR,JM,ksa
1329,14590,09-10-2025,pending,3.8,4.22,42.22,KWD,ZM22,kwt
