offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1185,14465,09-16-2025,pending,3.24,3.6,71.95,DZ50,ksa
1185,6675,09-16-2025,pending,2.34,2.75,54.97,CK15,ksa
1185,6675,09-16-2025,pending,3.06,3.6,71.95,CK15,ksa
1185,6924,09-16-2025,pending,1.67,2.14,42.81,TT77,ksa
1185,6924,09-16-2025,pending,1.67,2.14,42.81,TT33,ksa
1185,6924,09-17-2025,pending,2.85,3.66,73.18,TT33,ksa
1185,6924,09-17-2025,pending,5.63,7.22,144.4,TT33,ksa
1185,6924,09-18-2025,pending,4.84,6.21,124.13,TT77,ksa
1185,14465,09-18-2025,pending,3.07,3.41,68.2,DZ50,ksa
1185,14465,09-18-2025,pending,1.87,2.08,41.61,DZ50,ksa
1185,14482,09-18-2025,pending,2.87,3.82,76.46,TT60,ksa
1185,6924,09-18-2025,pending,0.38,0.49,9.72,TT33,ksa
1185,1,09-18-2025,pending,0.0,0.56,11.12,TT119,ksa
1185,14465,09-18-2025,pending,0.51,0.57,11.4,DZ50,ksa
1185,6675,09-18-2025,pending,3.67,4.32,86.37,CK10,ksa
1185,14465,09-18-2025,pending,2.07,2.31,46.11,DZ50,ksa
1185,5125,09-19-2025,pending,0.09,0.12,2.43,TT21,ksa
1185,6924,09-19-2025,pending,0.84,1.08,21.61,TT33,ksa
1185,6675,09-19-2025,pending,2.77,3.25,65.09,CK15,ksa
1185,6675,09-19-2025,pending,4.47,5.26,105.12,CK10,ksa
1185,14465,09-19-2025,pending,3.0,3.33,66.63,DZ50,ksa
1185,14465,09-19-2025,pending,0.63,0.7,13.93,DZ50,ksa
1185,6675,09-19-2025,pending,5.32,6.26,125.12,CK10,ksa
1185,6924,09-19-2025,pending,2.41,3.09,61.89,TT33,ksa
1185,6924,09-20-2025,pending,0.73,0.94,18.73,TT33,ksa
1185,14465,09-20-2025,pending,1.11,1.23,24.57,DZ50,ksa
1185,14465,09-20-2025,pending,2.61,2.9,58.07,DZ50,ksa
1185,6924,09-20-2025,pending,1.63,2.09,41.88,TT33,ksa
1185,6675,09-20-2025,pending,0.9,1.06,21.16,CK10,ksa
1185,6924,09-20-2025,pending,3.29,4.22,84.36,TT33,ksa
1185,2345,09-21-2025,pending,0.72,0.8,16.07,DZ40,ksa
1185,14465,09-21-2025,pending,0.59,0.65,13.0,DZ50,ksa
1185,2345,09-21-2025,pending,0.58,0.64,12.8,DZ40,ksa
1185,6675,09-21-2025,pending,3.21,3.78,75.6,CK15,ksa
1185,14465,09-21-2025,pending,3.74,4.15,83.09,DZ50,ksa
1185,14663,09-21-2025,pending,2.14,2.85,57.08,DZ22,ksa
1185,6675,09-21-2025,pending,2.87,3.37,67.49,CK15,ksa
1185,6831,09-21-2025,pending,1.04,1.39,27.72,TT20,ksa
1185,14465,09-21-2025,pending,1.63,1.81,36.16,DZ50,ksa
1185,3404,09-21-2025,pending,2.3,3.06,61.28,TT08,ksa
1185,14465,09-22-2025,pending,0.19,0.21,4.28,DZ50,ksa
1185,14465,09-22-2025,pending,0.15,0.16,3.27,DZ50,ksa
1185,14465,09-22-2025,pending,0.19,0.21,4.28,DZ50,ksa
1185,3404,09-22-2025,pending,2.83,3.77,75.35,TT08,ksa
1185,6675,09-22-2025,pending,4.09,4.81,96.27,CK15,ksa
1185,6675,09-22-2025,pending,4.07,4.79,95.76,CK15,ksa
1185,14465,09-22-2025,pending,4.08,4.53,90.69,DZ50,ksa
1185,1,09-22-2025,pending,0.0,0.36,7.27,DZ20,ksa
1185,14465,09-22-2025,pending,2.23,2.47,49.48,DZ50,ksa
1185,6675,09-23-2025,pending,3.6,4.24,84.81,CK10,ksa
1185,6675,09-23-2025,pending,2.63,3.1,61.95,CK15,ksa
1185,6675,09-23-2025,pending,4.68,5.51,110.2,CK15,ksa
1185,3404,09-23-2025,pending,2.2,2.93,58.61,TT08,ksa
1185,6675,09-23-2025,pending,2.77,3.25,65.09,CK15,ksa
1185,6675,09-24-2025,pending,0.64,0.75,14.95,CK10,ksa
1185,14465,09-24-2025,pending,0.31,0.35,6.95,DZ50,ksa
1185,14465,09-24-2025,pending,3.81,4.24,84.73,DZ50,ksa
1185,14482,09-24-2025,pending,6.84,9.12,182.4,TT60,ksa
1185,6924,09-24-2025,pending,0.77,0.99,19.84,TT33,ksa
1185,14465,09-24-2025,pending,3.74,4.15,83.09,DZ50,ksa
1185,6675,09-24-2025,pending,2.21,2.6,52.01,CK15,ksa
1185,6675,09-25-2025,pending,3.12,3.67,73.47,CK10,ksa
1185,2345,09-26-2025,pending,5.47,6.08,121.6,TT96,ksa
1185,6924,09-26-2025,pending,4.02,5.16,103.11,TT33,ksa
1185,14465,09-26-2025,pending,5.93,6.59,131.73,DZ50,ksa
1185,6675,09-27-2025,pending,4.22,4.97,99.31,CK10,ksa
