offer,date,revenue,sale_amount,coupon_code,geo
1324,08/23/2025,4.0,576.4106666666667,R99,no-geo
1324,08/23/2025,4.0,57.8,R48,no-geo
1107,08/23/2025,29.545798365122614,492.4299727520436,DMP7,ksa
1107,08/23/2025,1.212049046321526,20.2008174386921,DMP7,ksa
1107,08/23/2025,29.545798365122614,492.4299727520436,DMP7,ksa
1291,08/23/2025,26.66,29.76,F26,KSA
1291,08/23/2025,26.66,95.76,F2,KSA
1283,08/23/2025,14.41,205.89,RAN221,ksa
1101,08/23/2025,7.62,127.05,DGG17,UAE
1101,08/23/2025,6.12,101.98,dd15,KSA
1101,08/23/2025,9.24,153.96,DD15,UAE
1101,08/23/2025,8.58,143.02,dd4,UAE
1101,08/23/2025,19.83,330.44,DGG17,KSA
1101,08/23/2025,7.13,118.91,DGG17,KSA
1101,08/23/2025,0.63,10.44,DGG17,KSA
1101,08/23/2025,7.27,121.21,DGG17,KSA
1101,08/23/2025,7.69,128.1,DGG40,KSA
1101,08/23/2025,8.34,139.05,DGG48,Kuwait
1101,08/23/2025,8.58,143.02,dd4,UAE
1101,08/23/2025,6.92,115.36,DGG17,KSA
1101,08/23/2025,5.87,97.86,DGG17,UAE
1101,08/23/2025,8.85,147.49,DGG17,Kuwait
1101,08/23/2025,34.59,576.55,DGG17,KSA
1101,08/23/2025,4.19,69.83,DGG17,UAE
1101,08/23/2025,7.69,128.11,DGG17,KSA
1325,08/23/2025,5.07,50.68,SAHS1,ksa
1325,08/23/2025,1.75,17.51,NA10,ksa
1325,08/23/2025,1.75,17.51,NA10,ksa
1325,08/23/2025,5.42,54.22,ALC9,uae
1325,08/23/2025,1.75,17.51,NA10,ksa
1325,08/23/2025,5.01,50.14,SAHS1,ksa
1325,08/23/2025,4.03,40.33,SAHS1,ksa
1325,08/23/2025,20.25,202.45,WALA2025,ksa
1325,08/23/2025,10.79,107.9,GS2,ksa
1325,08/23/2025,4.77,47.68,ALC9,uae
1325,08/23/2025,5.97,59.67,SAHS1,ksa
1325,08/23/2025,4.28,42.78,GS1,ksa
1325,08/23/2025,3.79,37.87,SAHS1,ksa
1325,08/23/2025,6.76,67.57,RP5,uae
1325,08/23/2025,1.75,17.51,NA10,ksa
1325,08/23/2025,3.9,38.96,DWW7,ksa
1325,08/23/2025,3.79,37.87,SAHS1,ksa
1325,08/23/2025,3.79,37.87,SMS3,ksa
1325,08/23/2025,4.01,40.15,SAHS1,ksa
1325,08/23/2025,4.01,40.15,SAHS1,ksa
1325,08/23/2025,4.01,40.15,SAHS1,ksa
1325,08/23/2025,3.9,38.96,DWW7,ksa
1325,08/23/2025,12.26,122.62,SAHS1,ksa
1325,08/23/2025,3.79,37.87,SAHS1,ksa
1325,08/23/2025,4.88,48.77,ALC9,uae
1325,08/23/2025,1.24,24.73,GS1,ksa
1325,08/23/2025,1.55,31.06,GS1,ksa
1325,08/23/2025,1.55,31.06,GS1,ksa
1325,08/23/2025,3.28,65.67,SAHS1,ksa
1325,08/23/2025,1.63,32.7,SAHS1,ksa
1325,08/23/2025,1.55,31.06,GS1,ksa
1325,08/23/2025,0.67,13.33,DH18,uae
1325,08/23/2025,1.24,24.73,GS1,ksa
1325,08/23/2025,2.4,47.96,SAHS1,ksa
1325,08/23/2025,6.63,132.7,DH20,qtr
1325,08/23/2025,1.63,32.7,SAHS1,ksa
1325,08/23/2025,1.24,24.73,GS1,ksa
1325,08/23/2025,0.67,13.33,DH18,uae
1325,08/23/2025,0.67,13.33,DH18,uae
1325,08/23/2025,1.24,24.73,GS1,ksa
1325,08/23/2025,1.42,28.34,SAHS1,ksa
1325,08/23/2025,1.87,37.33,GS1,ksa
1325,08/23/2025,2.26,45.23,URPAY,ksa
1325,08/23/2025,1.47,29.43,CW15,ksa
1325,08/23/2025,1.47,29.43,CW15,ksa
1325,08/23/2025,0.83,16.53,GS1,ksa
1325,08/23/2025,0.83,16.53,GS1,ksa
1325,08/23/2025,0.83,16.53,GS1,ksa
1325,08/23/2025,2.26,45.23,SAHS1,ksa
1325,08/23/2025,1.42,28.34,SAHS1,ksa
1325,08/23/2025,0.67,13.33,DH18,uae
1325,08/23/2025,1.42,28.34,SAHS1,ksa
1325,08/23/2025,0.67,13.33,DH18,uae
