offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1346,189,08-29-2025,pending,5.52,7.36,61.33,RR53,no-geo
1346,189,09-01-2025,pending,5.11,6.82,56.8,RR55,no-geo
1346,189,09-02-2025,pending,5.11,6.82,56.8,RR55,no-geo
1346,2345,09-03-2025,pending,6.42,7.14,59.47,RR30,no-geo
1346,2345,09-03-2025,pending,6.42,7.14,59.47,RR30,no-geo
1346,663,09-04-2025,pending,5.83,7.78,64.8,RR5,no-geo
1346,6924,09-05-2025,pending,4.33,5.78,48.13,RR1,no-geo
1346,6924,09-05-2025,pending,4.33,5.78,48.13,RR1,no-geo
1346,2345,09-05-2025,pending,7.0,7.78,64.8,RR35,no-geo
1346,6774,09-07-2025,pending,1.75,2.34,19.48,RR9,no-geo
1346,2345,09-09-2025,pending,7.0,7.78,64.8,RR30,no-geo
1346,7100,09-10-2025,pending,5.83,7.78,64.8,RR22,no-geo
1346,2345,09-11-2025,pending,7.0,7.78,64.8,RR30,no-geo
1346,6728,09-12-2025,pending,5.83,7.78,64.8,RR4,no-geo
1346,6924,09-13-2025,pending,5.83,7.78,64.8,RR1,no-geo
1346,2345,09-13-2025,pending,7.0,7.78,64.8,RR30,no-geo
1346,2345,09-14-2025,pending,6.74,7.49,62.4,RR30,no-geo
1346,2345,09-14-2025,pending,6.74,7.49,62.4,RR30,no-geo
1346,189,09-14-2025,pending,5.83,7.78,64.8,RR53,no-geo
1346,2345,09-15-2025,pending,7.0,7.78,64.8,RR30,no-geo
1346,7157,09-17-2025,pending,5.83,7.78,64.8,RR20,no-geo
1346,5458,09-18-2025,pending,5.83,7.78,64.8,RR12,no-geo
1346,6924,09-19-2025,pending,3.79,5.06,42.13,RR1,no-geo
1346,6924,09-19-2025,pending,3.79,5.06,42.13,RR1,no-geo
1346,189,09-19-2025,pending,5.83,7.78,64.8,RR55,no-geo
1346,7157,09-22-2025,pending,5.83,7.78,64.8,RR20,no-geo
1346,189,09-22-2025,pending,5.83,7.78,64.8,RR55,no-geo
1346,189,09-22-2025,pending,5.83,7.78,64.8,RR55,no-geo
