offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1159,14575,09-22-2025,pending,4.2,5.6,112.09,DG44,no-geo
1159,8486,09-22-2025,pending,5.68,6.68,133.55,KYF,no-geo
1159,8486,09-22-2025,pending,5.94,6.99,139.81,KYF,no-geo
1159,8486,09-22-2025,pending,5.94,6.99,139.81,KYF,no-geo
1159,8486,09-22-2025,pending,3.02,3.55,70.95,KYF,no-geo
1159,8486,09-22-2025,pending,3.02,3.55,70.95,KYF,no-geo
1159,8486,09-22-2025,pending,18.27,21.49,214.93,KYF,no-geo
1159,8486,09-22-2025,pending,18.27,21.49,214.93,KYF,no-geo
1159,8486,09-22-2025,pending,15.43,18.15,181.55,KYF,no-geo
1159,8486,09-22-2025,pending,9.93,11.69,116.87,KYF,no-geo
1159,8486,09-22-2025,pending,5.32,6.26,62.61,KYF,no-geo
1159,8486,09-22-2025,pending,18.27,21.5,429.93,KYF,no-geo
1159,14465,09-22-2025,pending,35.69,39.65,396.53,DH135,no-geo
1159,14465,09-22-2025,pending,35.69,39.65,396.53,DH135,no-geo
1159,8486,09-22-2025,pending,11.97,14.09,281.75,KYF,no-geo
1159,8486,09-22-2025,pending,17.21,20.24,202.44,KYF,no-geo
1159,8486,09-22-2025,pending,8.87,10.43,104.35,KYT,no-geo
1159,8486,09-22-2025,pending,14.37,16.9,169.05,KYF,no-geo
1159,8486,09-22-2025,pending,14.37,16.9,169.05,KYF,no-geo
1159,6675,09-22-2025,pending,11.35,13.36,133.57,CK,no-geo
1159,6675,09-21-2025,pending,10.92,12.85,128.46,DH40,no-geo
1159,8486,09-21-2025,pending,4.79,5.63,56.35,KYF,no-geo
1159,8486,09-21-2025,pending,11.89,13.98,279.66,KYF,no-geo
1159,6675,09-21-2025,pending,5.32,6.26,125.22,DH40,no-geo
1159,6675,09-21-2025,pending,5.32,6.26,125.22,DH40,no-geo
1159,14465,09-21-2025,pending,6.95,7.72,154.44,DH135,no-geo
1159,8486,09-21-2025,pending,12.42,14.61,146.09,KYF,no-geo
1159,14465,09-21-2025,pending,2.54,2.82,56.35,DH135,no-geo
1159,8486,09-21-2025,pending,8.69,10.23,204.53,KYF,no-geo
1159,8486,09-21-2025,pending,3.46,4.07,81.4,KYF,no-geo
1159,14465,09-21-2025,pending,15.5,17.22,344.36,DH135,no-geo
1159,8486,09-20-2025,pending,1.42,1.67,33.39,KYF,no-geo
1159,5566,09-20-2025,pending,7.28,9.7,194.1,NGS,no-geo
1159,6675,09-20-2025,pending,5.14,6.05,121.05,DH40,no-geo
1159,8486,09-20-2025,pending,9.05,10.64,106.44,KYF,no-geo
1159,8486,09-20-2025,pending,5.59,6.57,131.48,KYF,no-geo
1159,6133,09-20-2025,pending,26.27,35.03,350.33,DH33,no-geo
1159,6133,09-20-2025,pending,26.27,35.03,350.33,DH33,no-geo
1159,6133,09-20-2025,pending,26.27,35.03,350.33,DH33,no-geo
1159,14465,09-20-2025,pending,26.95,29.95,598.98,DH135,no-geo
1159,8486,09-20-2025,pending,8.69,10.23,102.26,KYF,no-geo
1159,8486,09-20-2025,pending,24.48,28.8,576.02,KYT,no-geo
1159,8486,09-20-2025,pending,24.48,28.8,576.02,KYT,no-geo
1159,14575,09-20-2025,pending,19.27,25.69,256.91,DG44,no-geo
1159,14465,09-20-2025,pending,52.03,57.81,578.11,DH135,no-geo
1159,8486,09-19-2025,pending,17.56,20.66,206.62,KYF,no-geo
1159,6133,09-19-2025,pending,5.95,7.93,79.31,DH33,no-geo
1159,14465,09-19-2025,pending,23.57,26.19,523.84,DH135,no-geo
1159,14575,09-19-2025,pending,3.41,4.54,90.84,DG44,no-geo
1159,8486,09-19-2025,pending,110.52,130.02,1300.22,KYF,no-geo
1159,7023,09-19-2025,pending,26.45,35.27,705.42,DG8,no-geo
1159,7023,09-19-2025,pending,26.45,35.27,705.42,DG8,no-geo
1159,8486,09-19-2025,pending,10.47,12.31,123.13,KYF,no-geo
1159,14575,09-19-2025,pending,4.38,5.84,116.78,DG44,no-geo
1159,8486,09-19-2025,pending,2.84,3.34,66.78,KYF,no-geo
1159,8486,09-19-2025,pending,1.6,1.88,37.57,KYF,no-geo
1159,8486,09-19-2025,pending,6.74,7.93,79.31,KYT,no-geo
1159,8486,09-19-2025,pending,6.74,7.93,79.31,KYT,no-geo
1159,14465,09-19-2025,pending,6.1,6.78,135.66,DH135,no-geo
1159,14465,09-19-2025,pending,6.1,6.78,135.66,DH135,no-geo
1159,6729,09-19-2025,pending,3.25,3.97,79.31,DG2,no-geo
1159,6729,09-19-2025,pending,3.25,3.97,79.31,DG2,no-geo
