offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1291,14480,09-09-2025,pending,19.46,26.66,216.0,F20,KSA
1291,7010,09-09-2025,pending,19.46,26.66,301.44,F26,KSA
1291,8486,09-09-2025,pending,22.13,26.66,183.36,F2,KSA
1291,8486,09-10-2025,pending,22.13,26.66,318.72,F2,KSA
1291,14465,09-10-2025,pending,23.99,26.66,312.48,F68,KSA
1291,14465,09-10-2025,pending,23.99,26.66,318.72,F68,KSA
1291,7010,09-11-2025,pending,19.46,26.66,123.0,F26,KSA
1291,8486,09-11-2025,pending,22.13,26.66,344.64,F2,KSA
1291,8486,09-11-2025,pending,22.13,26.66,316.8,F2,KSA
1291,8486,09-12-2025,pending,22.13,26.66,138.24,F7,KSA
1291,8486,09-12-2025,pending,22.13,26.66,335.04,F2,KSA
1291,6675,09-12-2025,pending,22.93,26.66,30.72,F22,KSA
1291,7010,09-12-2025,pending,19.46,26.66,262.08,F26,KSA
1291,8486,09-13-2025,pending,22.13,26.66,336.0,F2,KSA
1291,6729,09-14-2025,pending,17.6,26.66,387.84,F47,KSA
1291,12932,09-15-2025,pending,19.46,26.66,388.8,F74,KSA
1291,8486,09-15-2025,pending,22.13,26.66,408.0,F2,KSA
1291,8486,09-15-2025,pending,22.13,26.66,30.72,F2,KSA
1291,6669,09-16-2025,pending,19.46,26.66,99.1,F33,UAE
1291,8486,09-16-2025,pending,22.13,26.66,324.24,F7,KSA
1291,6729,09-16-2025,pending,17.6,26.66,126.72,F47,KSA
1291,6675,09-17-2025,pending,22.93,26.66,140.16,F22,KSA
1291,8486,09-17-2025,pending,22.13,26.66,65.88,F2,KSA
1291,8486,09-18-2025,pending,22.13,26.66,30.72,F2,KSA
1291,7010,09-18-2025,pending,19.46,26.66,19.2,F26,KSA
1291,8486,09-19-2025,pending,22.13,26.66,273.6,F2,KSA
1291,6669,09-19-2025,pending,19.46,26.66,176.64,F33,KSA
1291,8486,09-19-2025,pending,22.13,26.66,30.72,F2,KSA
1291,6669,09-20-2025,pending,19.46,26.66,39.44,F33,UAE
1291,8486,09-21-2025,pending,22.13,26.66,140.16,F2,KSA
1291,8486,09-21-2025,pending,22.13,26.66,223.73,F2,KSA
1291,8486,09-22-2025,pending,22.13,26.66,103.8,F2,KSA
