offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1107,7010,09-17-2025,pending,3.37,4.06,67.64,DMP7,ksa
1107,10856,09-17-2025,pending,4.89,6.52,108.72,DMP6,ksa
1107,14465,09-17-2025,pending,9.29,10.32,172.05,DZ48,ksa
1107,10856,09-17-2025,pending,13.16,17.55,292.43,DMP6,kwt
1107,7010,09-16-2025,pending,1.54,1.86,31.0,DMP7,ksa
1107,14465,09-16-2025,pending,8.57,9.52,158.66,DZ48,ksa
1107,14465,09-15-2025,pending,6.4,7.11,118.52,DZ48,ksa
1107,6675,09-14-2025,pending,4.85,5.39,89.8,HH30,ksa
1107,14465,09-14-2025,pending,24.9,27.67,461.19,DZ48,ksa
1107,7010,09-13-2025,pending,3.94,4.75,79.21,HH15,ksa
1107,6675,09-12-2025,pending,7.33,8.15,135.76,HH30,uae
1107,10856,09-12-2025,pending,3.12,4.16,69.25,DMP6,uae
1107,7010,09-11-2025,pending,2.72,3.27,54.55,DMP7,ksa
1107,14465,09-11-2025,pending,40.83,45.36,756.03,DZ48,ksa
1107,3404,09-10-2025,pending,1.62,2.17,36.09,DZ13,ksa
1107,10856,09-09-2025,pending,38.72,51.62,860.35,DMP6,uae
1107,7010,09-08-2025,pending,4.36,5.25,87.55,DMP7,uae
1107,6675,09-08-2025,pending,4.97,5.52,91.96,HH30,uae
1107,7010,09-08-2025,pending,5.36,6.46,107.59,HH15,ksa
1107,14465,09-08-2025,pending,9.46,10.51,175.2,DZ48,ksa
1107,14465,09-08-2025,pending,38.47,42.75,712.48,DZ48,ksa
1107,14465,09-08-2025,pending,3.77,4.19,69.8,DZ48,ksa
1107,14465,09-08-2025,pending,10.1,11.22,186.97,DZ48,ksa
1107,7010,09-07-2025,pending,6.88,8.29,138.13,HH15,ksa
1107,14465,09-07-2025,pending,6.73,7.48,124.61,DZ48,ksa
1107,14465,09-07-2025,pending,8.2,9.11,151.77,DZ48,ksa
1107,7010,09-07-2025,pending,6.55,7.89,131.5,DMP7,ksa
1107,14465,09-07-2025,pending,9.84,10.93,182.17,DZ48,ksa
1107,7010,09-06-2025,pending,6.11,7.36,122.7,DMP7,ksa
1107,7010,09-05-2025,pending,5.76,6.93,115.57,DMP7,uae
1107,6675,09-05-2025,pending,1.93,2.15,35.81,HH30,ksa
1107,7010,09-04-2025,pending,3.51,4.23,70.54,DMP7,uae
1107,14465,09-04-2025,pending,4.0,4.44,74.06,DZ48,ksa
