offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1192,6727,09-01-2025,pending,7.7,10.55,131.83,MZZGF,UAE
1192,6727,09-01-2025,pending,1.95,2.67,88.92,MZZGF,UAE
1192,6727,09-01-2025,pending,1.95,2.67,88.92,MZZGF,UAE
1192,6729,09-01-2025,pending,1.56,1.91,63.53,ZZ88,KSA
1192,6729,09-01-2025,pending,1.56,1.91,63.53,ZZ88,KSA
1192,6706,09-01-2025,pending,2.78,3.39,112.84,ZM66,KSA
1192,6706,09-01-2025,pending,2.78,3.39,112.84,ZM66,KSA
1192,6706,09-01-2025,pending,2.78,3.39,112.84,ZM66,KSA
1192,6675,09-01-2025,pending,2.89,3.21,40.18,ZZ50,KSA
1192,6675,09-01-2025,pending,4.41,4.9,163.47,ZZ50,KSA
1192,6706,09-01-2025,pending,1.55,1.89,62.85,ZM66,RoGCC
1192,1,09-01-2025,pending,0.0,12.11,151.36,ZMM86,KSA
1192,1,09-01-2025,pending,0.0,2.9,96.77,ZMM86,KSA
1192,1,09-01-2025,pending,0.0,2.9,96.77,ZMM86,KSA
1192,1,09-01-2025,pending,0.0,2.9,96.77,ZMM86,KSA
1192,1,09-01-2025,pending,0.0,2.9,96.77,ZMM86,KSA
1192,1,09-01-2025,pending,0.0,2.9,96.77,ZMM86,KSA
1192,6947,09-01-2025,pending,2.88,3.95,131.55,MZZR7,UAE
1192,6947,09-01-2025,pending,2.88,3.95,131.55,MZZR7,UAE
1192,6947,09-01-2025,pending,2.88,3.95,131.55,MZZR7,UAE
1192,14298,09-01-2025,pending,0.51,0.7,23.47,DD5,KSA
1192,6706,09-01-2025,pending,2.42,2.95,98.22,ZM66,UAE
1192,10856,09-01-2025,pending,4.5,6.17,77.1,ZMPD,KSA
1192,1,09-02-2025,pending,0.0,1.91,63.53,ZM8F,KSA
1192,6706,09-02-2025,pending,1.09,1.33,44.17,ZM66,KSA
1192,6706,09-02-2025,pending,1.09,1.33,44.17,ZM66,KSA
1192,6706,09-02-2025,pending,1.09,1.33,44.17,ZM66,KSA
1192,6802,09-02-2025,pending,0.45,0.62,20.55,ZZ45,KSA
1192,6706,09-02-2025,pending,3.81,4.65,58.16,ZM66,UAE
1192,6706,09-02-2025,pending,2.09,2.55,84.93,ZM66,UAE
1192,6706,09-02-2025,pending,2.09,2.55,84.93,ZM66,UAE
1192,6706,09-02-2025,pending,5.55,6.77,84.61,ZM66,RoGCC
1192,6729,09-02-2025,pending,7.68,9.37,312.27,ZZ88,KSA
1192,6729,09-02-2025,pending,7.68,9.37,312.27,ZZ88,KSA
1192,6727,09-02-2025,pending,0.42,0.57,18.99,MZZGF,KSA
1192,1,09-02-2025,pending,0.0,1.56,51.95,ZMM86,KSA
1192,1,09-02-2025,pending,0.0,1.56,51.95,ZMM86,KSA
1192,6727,09-02-2025,pending,0.63,0.86,28.73,MZZGF,UAE
1192,6675,09-02-2025,pending,7.51,8.35,104.31,ZZ50,KSA
1192,6675,09-02-2025,pending,1.36,1.51,50.27,ZZ50,KSA
1192,10856,09-02-2025,pending,3.53,4.84,161.41,ZMPD,KSA
1192,6675,09-03-2025,pending,1.57,1.74,58.13,ZZ50,KSA
1192,6675,09-03-2025,pending,1.57,1.74,58.13,ZZ50,KSA
1192,6706,09-03-2025,pending,2.05,2.5,31.3,ZM66,KSA
1192,6706,09-03-2025,pending,1.77,2.16,71.87,ZM66,KSA
1192,6727,09-03-2025,pending,4.16,5.7,71.31,MZZGF,UAE
1192,6706,09-03-2025,pending,2.46,3.0,99.86,ZM66,UAE
1192,14298,09-03-2025,pending,2.29,3.14,39.29,DD5,KSA
1192,6729,09-03-2025,pending,6.7,8.18,272.53,ZZ88,KSA
1192,10856,09-03-2025,pending,2.22,3.04,101.17,ZMPD,KSA
1192,1,09-03-2025,pending,0.0,15.64,195.54,ZMM86,KSA
1192,1,09-03-2025,pending,0.0,15.64,195.54,ZMM86,KSA
1192,1,09-03-2025,pending,0.0,1.44,47.97,ZMM86,KSA
1192,1,09-03-2025,pending,0.0,1.44,47.97,ZMM86,KSA
1192,1,09-03-2025,pending,0.0,1.44,47.97,ZMM86,KSA
1192,6947,09-03-2025,pending,2.24,3.07,102.36,MZZR7,UAE
1192,1,09-03-2025,pending,0.0,6.33,79.07,DWW7,KSA
1192,6729,09-03-2025,pending,0.76,0.93,31.06,ZZ88,UAE
1192,6947,09-03-2025,pending,13.37,18.31,228.93,MZZR7,KSA
1192,6947,09-03-2025,pending,1.26,1.73,57.68,MZZR7,KSA
1192,1,09-04-2025,pending,0.0,1.4,46.59,ZMM86,KSA
1192,6675,09-04-2025,pending,15.93,17.7,221.25,ZZ50,KSA
1192,6675,09-04-2025,pending,15.93,17.7,221.25,ZZ50,KSA
1192,6675,09-04-2025,pending,0.68,0.75,25.15,ZZ50,KSA
1192,6729,09-04-2025,pending,8.31,10.13,126.64,ZZ88,UAE
1192,1,09-04-2025,pending,0.0,51.79,647.38,DWW7,KSA
1192,10856,09-04-2025,pending,3.54,4.85,60.6,ZMPD,KSA
1192,6706,09-04-2025,pending,0.89,1.08,36.08,ZM66,UAE
1192,6706,09-04-2025,pending,0.89,1.08,36.08,ZM66,UAE
1192,6729,09-04-2025,pending,35.72,43.56,544.51,ZZ88,KSA
1192,6947,09-04-2025,pending,2.01,2.75,91.77,MZZR7,UAE
1192,6947,09-04-2025,pending,2.01,2.75,91.77,MZZR7,UAE
1192,6706,09-04-2025,pending,2.84,3.46,115.4,ZM66,KSA
1192,7083,09-04-2025,pending,1.68,2.3,76.7,ZZ96,KSA
1192,7142,09-04-2025,pending,8.0,10.96,137.0,ZZ17,KSA
1192,6706,09-05-2025,pending,13.75,16.77,209.62,ZM66,RoGCC
1192,1,09-05-2025,pending,0.0,3.23,40.33,ZMJC,KSA
1192,6727,09-05-2025,pending,1.81,2.48,82.75,MZZGF,KSA
1192,6729,09-05-2025,pending,17.39,21.2,265.02,ZZ88,KSA
1192,6729,09-05-2025,pending,1.29,1.58,52.59,ZZ88,KSA
1192,6729,09-05-2025,pending,1.29,1.58,52.59,ZZ88,KSA
1192,6706,09-05-2025,pending,2.48,3.03,100.97,ZM66,KSA
1192,6706,09-05-2025,pending,2.48,3.03,100.97,ZM66,KSA
1192,1,09-05-2025,pending,0.0,4.56,151.86,DWW7,KSA
1192,6675,09-05-2025,pending,8.36,9.29,116.13,ZZ50,KSA
1192,6675,09-05-2025,pending,8.36,9.29,116.13,ZZ50,KSA
1192,6675,09-05-2025,pending,6.23,6.93,230.92,ZZ50,KSA
1192,6675,09-05-2025,pending,6.23,6.93,230.92,ZZ50,KSA
1192,6675,09-05-2025,pending,5.54,6.16,205.25,ZZ50,UAE
1192,6675,09-05-2025,pending,5.54,6.16,205.25,ZZ50,UAE
1192,6727,09-05-2025,pending,1.38,1.89,23.59,MZZGF,UAE
1192,6706,09-05-2025,pending,1.75,2.13,71.0,ZM66,UAE
1192,1,09-05-2025,pending,0.0,12.0,149.99,ZMM86,KSA
1192,1,09-05-2025,pending,0.0,12.0,149.99,ZMM86,KSA
1192,1,09-05-2025,pending,0.0,3.62,120.82,ZMM86,KSA
1192,1,09-05-2025,pending,0.0,3.62,120.82,ZMM86,KSA
1192,1,09-05-2025,pending,0.0,3.62,120.82,ZMM86,KSA
1192,1,09-05-2025,pending,0.0,3.62,120.82,ZMM86,KSA
1192,1,09-05-2025,pending,0.0,3.62,120.82,ZMM86,KSA
1192,7142,09-05-2025,pending,0.97,1.33,16.57,ZZ17,KSA
1192,6706,09-06-2025,pending,6.19,7.55,94.32,ZM66,KSA
1192,6947,09-06-2025,pending,1.02,1.4,46.5,MZZR7,UAE
1192,6675,09-06-2025,pending,1.98,2.2,73.31,ZZ50,KSA
1192,6675,09-06-2025,pending,1.98,2.2,73.31,ZZ50,KSA
1192,6675,09-06-2025,pending,1.98,2.2,73.31,ZZ50,KSA
1192,14298,09-06-2025,pending,6.37,8.73,109.13,DD5,KSA
1192,6706,09-06-2025,pending,1.83,2.23,74.29,ZM66,UAE
1192,1,09-06-2025,pending,0.0,13.44,168.06,ZMM86,KSA
1192,1,09-06-2025,pending,0.0,2.35,78.3,ZMM86,KSA
1192,1,09-06-2025,pending,0.0,2.35,78.3,ZMM86,KSA
1192,10856,09-06-2025,pending,6.57,9.0,299.99,ZMPD,UAE
1192,6729,09-06-2025,pending,3.72,4.54,56.74,ZZ88,KSA
1192,6729,09-06-2025,pending,3.72,4.54,56.74,ZZ88,KSA
1192,1,09-06-2025,pending,0.0,1.48,49.32,DWW7,KSA
1192,6727,09-06-2025,pending,1.56,2.14,71.23,MZZGF,UAE
1192,6727,09-06-2025,pending,1.56,2.14,71.23,MZZGF,UAE
1192,6727,09-06-2025,pending,1.56,2.14,71.23,MZZGF,UAE
1192,6947,09-06-2025,pending,3.41,4.66,58.31,MZZR7,KSA
1192,7142,09-06-2025,pending,0.45,0.62,20.76,ZZ17,KSA
1192,6272,09-07-2025,pending,0.97,1.33,44.43,ZMYB,UAE
1192,7114,09-07-2025,pending,2.73,3.74,124.82,ZZ18,UAE
1192,14298,09-07-2025,pending,0.68,0.93,30.93,DD5,KSA
1192,6706,09-07-2025,pending,0.51,0.62,20.76,ZM66,KSA
1192,6727,09-07-2025,pending,3.08,4.22,140.71,MZZGF,KSA
1192,6706,09-07-2025,pending,1.69,2.06,68.66,ZM66,UAE
1192,1,09-07-2025,pending,0.0,17.85,223.17,ZMM86,KSA
1192,1,09-07-2025,pending,0.0,17.85,223.17,ZMM86,KSA
1192,1,09-07-2025,pending,0.0,1.89,63.16,ZMM86,KSA
1192,1,09-07-2025,pending,0.0,1.89,63.16,ZMM86,KSA
1192,6727,09-07-2025,pending,0.88,1.21,40.17,MZZGF,UAE
1192,6675,09-07-2025,pending,12.52,13.91,173.92,ZZ50,KSA
1192,6675,09-07-2025,pending,11.34,12.6,157.52,ZZ50,UAE
1192,6729,09-07-2025,pending,2.0,2.43,30.42,ZZ88,UAE
1192,6729,09-07-2025,pending,2.0,2.43,30.42,ZZ88,UAE
1192,6729,09-07-2025,pending,1.32,1.61,53.58,ZZ88,KSA
1192,1,09-07-2025,pending,0.0,8.26,275.26,DWW7,KSA
1192,6272,09-08-2025,pending,1.17,1.6,53.23,ZMYB,UAE
1192,7142,09-08-2025,pending,6.08,8.32,104.02,ZZ17,KSA
1192,1,09-08-2025,pending,0.0,35.62,445.26,ZMM86,KSA
1192,1,09-08-2025,pending,0.0,1.2,40.13,ZMM86,KSA
1192,6947,09-08-2025,pending,7.63,10.45,348.25,MZZR7,UAE
1192,6729,09-08-2025,pending,0.65,0.8,26.62,ZZ88,UAE
1192,7010,09-08-2025,pending,4.47,5.45,68.13,ZZ11,KSA
1192,6729,09-08-2025,pending,9.76,11.91,148.83,ZZ88,KSA
1192,6729,09-08-2025,pending,9.76,11.91,148.83,ZZ88,KSA
1192,6729,09-08-2025,pending,0.89,1.09,36.36,ZZ88,KSA
1192,7010,09-08-2025,pending,0.22,0.27,9.05,ZZ10,KSA
1192,1,09-08-2025,pending,0.0,1.07,35.73,IWD,UAE
1192,6706,09-08-2025,pending,5.21,6.36,211.9,ZM66,UAE
1192,6706,09-08-2025,pending,5.21,6.36,211.9,ZM66,UAE
1192,6706,09-08-2025,pending,5.21,6.36,211.9,ZM66,UAE
1192,6706,09-08-2025,pending,5.21,6.36,211.9,ZM66,UAE
