offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1189,6675,09-27-2025,pending,4.79,5.32,66.49,SZ30,ksa
1189,14298,09-27-2025,pending,1.26,1.58,19.76,DGQ,ksa
1189,8486,09-27-2025,pending,6.82,7.75,96.82,GBT,ksa
1189,8486,09-27-2025,pending,6.82,7.75,96.82,GBT,ksa
1189,8486,09-27-2025,pending,6.82,7.75,96.82,GBT,ksa
1189,8486,09-27-2025,pending,6.82,7.75,96.82,GBT,ksa
1189,8486,09-27-2025,pending,6.82,7.75,96.82,GBT,ksa
1189,8486,09-27-2025,pending,6.82,7.75,96.82,GBT,ksa
1189,8486,09-27-2025,pending,6.82,7.75,96.82,GBT,ksa
1189,6675,09-27-2025,pending,8.27,9.19,114.82,S66,ksa
1189,14590,09-27-2025,pending,3.33,3.7,46.2,AYLA23,ksa
1189,10861,09-27-2025,pending,7.13,8.69,108.63,RDF6,OM
1189,10861,09-27-2025,pending,2.75,3.36,41.96,RDF6,uae
1189,8486,09-27-2025,pending,3.46,3.93,49.13,GBK,ksa
1189,6658,09-26-2025,pending,6.39,7.52,93.99,DDN,ksa
1189,6658,09-26-2025,pending,6.39,7.52,93.99,DDN,ksa
1189,6658,09-26-2025,pending,6.39,7.52,93.99,DDN,ksa
1189,6658,09-26-2025,pending,6.39,7.52,93.99,DDN,ksa
1189,6774,09-26-2025,pending,2.52,3.23,40.41,GMB,ksa
1189,6774,09-26-2025,pending,2.52,3.23,40.41,GMB,ksa
1189,6774,09-26-2025,pending,2.52,3.23,40.41,GMB,ksa
1189,8486,09-26-2025,pending,4.49,5.11,63.82,GBK,ksa
1189,8486,09-26-2025,pending,4.49,5.11,63.82,GBK,ksa
1189,6947,09-26-2025,pending,9.2,11.79,147.4,ZAG23,ksa
1189,5458,09-26-2025,pending,8.63,11.07,138.32,B5B,ksa
1189,14298,09-26-2025,pending,7.04,8.8,110.02,DGQ,ksa
1189,14298,09-26-2025,pending,7.04,8.8,110.02,DGQ,ksa
1189,14298,09-26-2025,pending,7.04,8.8,110.02,DGQ,ksa
1189,14298,09-26-2025,pending,7.04,8.8,110.02,DGQ,ksa
1189,10861,09-26-2025,pending,5.41,6.59,82.42,RDF6,ksa
1189,10861,09-26-2025,pending,5.41,6.59,82.42,RDF6,ksa
1189,10861,09-26-2025,pending,5.41,6.59,82.42,RDF6,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,8486,09-26-2025,pending,4.78,5.43,67.94,GBT,ksa
1189,5458,09-26-2025,pending,1.57,2.01,25.1,GND,ksa
