offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1166,6658,09-09-2025,pending,3.47,4.08,111.31,HL6,ksa
1166,10856,09-08-2025,pending,3.06,4.08,149.78,QPLJ,ksa
1166,14465,09-08-2025,pending,3.67,4.08,269.46,AUC84,ksa
1166,499,09-08-2025,pending,3.06,4.08,26.68,L2A,ksa
1166,8274,09-08-2025,pending,3.47,4.08,13.89,BF119,ksa
1166,14621,09-08-2025,pending,3.06,4.08,29.11,HL9,ksa
1166,6658,09-08-2025,pending,3.47,4.08,29.79,HL6,ksa
1166,5458,09-08-2025,pending,3.06,4.08,181.31,S4E,ksa
1166,14590,09-08-2025,pending,3.67,4.08,129.43,UYA,uae
1166,8274,09-08-2025,pending,3.47,4.08,21.63,BF119,uae
1166,8486,09-08-2025,pending,3.59,4.08,18.4,KQ0,ksa
1166,8486,09-08-2025,pending,3.59,4.08,18.4,KQ0,ksa
1166,6658,09-07-2025,pending,3.47,4.08,47.8,BL6,ksa
1166,14590,09-07-2025,pending,3.67,4.08,4.29,UYA,ksa
1166,8274,09-07-2025,pending,3.47,4.08,166.69,BF119,ksa
1166,8274,09-07-2025,pending,3.47,4.08,166.69,BF119,ksa
1166,8486,09-07-2025,pending,3.59,4.08,28.83,KQ0,ksa
1166,5389,09-07-2025,pending,3.06,4.08,25.02,DWW3,ksa
1166,6658,09-07-2025,pending,3.47,4.08,75.3,HL6,ksa
1166,6658,09-07-2025,pending,3.47,4.08,75.3,HL6,ksa
1166,8486,09-07-2025,pending,3.59,4.08,92.46,KQ0,ksa
1166,6658,09-07-2025,pending,3.47,4.08,57.14,MX77,ksa
1166,499,09-07-2025,pending,3.06,4.08,83.95,L2A,ksa
1166,14590,09-07-2025,pending,3.67,4.08,14.95,ZWZ,ksa
1166,14465,09-07-2025,pending,3.67,4.08,16.4,AUC84,ksa
1166,14590,09-06-2025,pending,3.67,4.08,65.42,DGQ,ksa
1166,8274,09-06-2025,pending,3.47,4.08,50.25,BF119,ksa
1166,8274,09-06-2025,pending,3.47,4.08,50.25,BF119,ksa
1166,6774,09-06-2025,pending,3.06,4.08,488.43,GD2,ksa
