offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1342,6706,10-12-2025,pending,2.17,2.71,54.23,DZ10,uae
1342,13945,10-14-2025,pending,6.3,7.88,157.53,DZ17,omn
1342,6947,10-14-2025,pending,2.07,2.59,51.74,DZ19,qtr
1342,14298,10-14-2025,pending,2.16,2.4,48.06,DZ2,ksa
1342,6728,10-14-2025,pending,1.76,2.2,43.98,DZ25,ksa
1342,6728,10-15-2025,pending,1.76,2.2,43.98,DZ25,ksa
1342,7157,10-15-2025,pending,1.76,2.2,43.98,DZ3,ksa
1342,14580,10-14-2025,pending,2.27,2.84,56.73,DZ33,omn
1342,7847,10-15-2025,pending,3.02,3.77,75.49,DZ38,ksa
1342,13864,10-14-2025,pending,1.97,2.46,49.16,DZ4,uae
1342,10856,10-12-2025,pending,5.09,6.36,127.19,DZ40,uae
1342,10856,10-12-2025,pending,1.87,2.33,46.63,DZ40,uae
1342,6675,10-14-2025,pending,1.76,2.2,43.98,DZ5,ksa
1342,6675,10-13-2025,pending,2.37,2.96,59.29,DZ5,uae
1342,6675,10-13-2025,pending,2.28,2.85,57.08,DZ5,qtr
1342,189,10-12-2025,pending,1.92,2.4,48.06,DZ52,ksa
1342,189,10-14-2025,pending,5.37,6.71,134.2,DZ52,ksa
1342,189,10-15-2025,pending,1.76,2.2,43.98,DZ52,ksa
1342,189,10-12-2025,pending,4.19,5.23,104.68,DZ52,uae
1342,189,10-15-2025,pending,1.97,2.46,49.16,DZ52,uae
1342,189,10-15-2025,pending,1.97,2.46,49.16,DZ52,uae
1342,189,10-12-2025,pending,2.34,2.93,58.59,DZ52,kwt
1342,189,10-12-2025,pending,1.92,2.4,48.06,DZ53,ksa
1342,189,10-12-2025,pending,1.02,1.27,25.4,DZ53,ksa
1342,189,10-14-2025,pending,1.76,2.2,43.98,DZ53,ksa
1342,189,10-12-2025,pending,2.37,2.96,59.29,DZ53,uae
1342,189,10-15-2025,pending,1.02,1.27,25.4,DZ54,ksa
1342,189,10-14-2025,pending,2.17,2.71,54.23,DZ54,uae
1342,7010,10-12-2025,pending,2.66,3.32,66.42,DZ58,ksa
1342,5125,10-15-2025,pending,3.61,4.51,90.2,DZ64,uae
1342,10861,10-14-2025,pending,2.66,3.32,66.42,DZ73,ksa
1342,10861,10-15-2025,pending,1.02,1.27,25.4,DZ73,ksa
1342,10861,10-14-2025,pending,6.68,8.34,166.88,DZ73,uae
1342,189,10-13-2025,pending,2.17,2.71,54.26,DZ74,uae
1342,189,10-12-2025,pending,2.28,2.85,57.08,DZ74,qtr
1342,189,10-14-2025,pending,2.28,2.85,57.08,DZ74,qtr
1342,189,10-12-2025,pending,1.92,2.4,48.06,DZ75,ksa
1342,189,10-13-2025,pending,1.92,2.4,48.06,DZ75,ksa
1342,189,10-13-2025,pending,1.92,2.4,48.06,DZ75,ksa
1342,189,10-13-2025,pending,1.92,2.4,48.06,DZ75,ksa
1342,189,10-13-2025,pending,1.92,2.4,48.06,DZ75,ksa
1342,189,10-14-2025,pending,3.56,4.45,89.09,DZ75,ksa
1342,189,10-15-2025,pending,1.76,2.2,43.98,DZ75,ksa
1342,189,10-15-2025,pending,8.98,11.22,224.41,DZ75,ksa
1342,189,10-15-2025,pending,1.76,2.2,43.98,DZ75,ksa
1342,189,10-13-2025,pending,1.87,2.33,46.63,DZ75,uae
1342,189,10-14-2025,pending,3.98,4.98,99.57,DZ75,uae
1342,189,10-15-2025,pending,1.97,2.46,49.16,DZ75,uae
1342,10923,10-15-2025,pending,1.2,1.5,30.08,DZ84,kwt
1342,283,10-13-2025,pending,2.17,2.71,54.23,DZ87,uae
1342,2345,10-13-2025,pending,1.14,1.27,25.4,DZ88,ksa
1342,2345,10-13-2025,pending,2.16,2.4,48.06,DZ88,ksa
1342,2345,10-14-2025,pending,1.98,2.2,43.98,DZ88,ksa
1342,2345,10-14-2025,pending,1.98,2.2,43.98,DZ88,ksa
1342,2345,10-15-2025,pending,4.02,4.47,89.44,DZ88,uae
1342,2345,10-15-2025,pending,2.44,2.71,54.26,DZ88,uae
1342,6706,10-13-2025,pending,1.02,1.27,25.4,DZ9,ksa
1342,2345,10-14-2025,pending,1.97,2.19,43.76,DZ90,ksa
1342,2345,10-14-2025,pending,1.98,2.2,43.98,DZ90,ksa
1342,6669,10-12-2025,pending,1.92,2.4,48.06,DZ96,ksa
1342,6669,10-14-2025,pending,1.76,2.2,43.98,DZ96,ksa
1342,6669,10-14-2025,pending,2.66,3.32,66.42,DZ96,ksa
1342,6669,10-15-2025,pending,1.76,2.2,43.98,DZ96,ksa
1342,6669,10-15-2025,pending,1.76,2.2,43.98,DZ96,ksa
1342,6669,10-13-2025,pending,1.18,1.47,29.43,DZ96,uae
1342,6669,10-16-2025,pending,1.97,2.46,49.16,DZ96,uae
1342,6669,10-12-2025,pending,2.5,3.12,62.41,DZ96,qtr
1342,6669,10-12-2025,pending,1.01,1.27,25.3,DZ96,bhr
1342,6669,10-13-2025,pending,1.92,2.4,48.06,DZ97,ksa
1342,6669,10-12-2025,pending,2.5,3.12,62.41,DZ97,qtr
1342,5458,10-17-2025,pending,1.02,1.27,25.4,DZ12,ksa
1342,6728,10-17-2025,pending,1.76,2.2,43.98,DZ25,ksa
1342,6875,10-18-2025,pending,1.76,2.2,43.98,DZ32,ksa
1342,14646,10-17-2025,pending,1.76,2.2,43.98,DZ36,ksa
1342,7847,10-18-2025,pending,4.31,5.39,107.81,DZ38,kwt
1342,7847,10-18-2025,pending,2.13,2.66,53.22,DZ38,kwt
1342,10856,10-17-2025,pending,1.76,2.2,43.98,DZ40,ksa
1342,3607,10-16-2025,pending,1.76,2.2,43.98,DZ43,ksa
1342,6675,10-17-2025,pending,1.76,2.2,43.98,DZ5,ksa
1342,189,10-17-2025,pending,1.76,2.2,43.98,DZ52,ksa
1342,189,10-17-2025,pending,1.76,2.2,43.98,DZ52,ksa
1342,189,10-18-2025,pending,1.76,2.2,43.98,DZ52,ksa
1342,189,10-17-2025,pending,2.28,2.85,57.08,DZ52,qtr
1342,189,10-16-2025,pending,2.13,2.66,53.24,DZ52,kwt
1342,189,10-16-2025,pending,3.98,4.98,99.57,DZ53,uae
1342,189,10-16-2025,pending,2.28,2.85,57.08,DZ53,qtr
1342,7137,10-17-2025,pending,3.21,4.01,80.23,DZ67,qtr
1342,189,10-16-2025,pending,2.17,2.71,54.23,DZ74,uae
1342,189,10-17-2025,pending,1.76,2.2,43.98,DZ75,ksa
1342,189,10-17-2025,pending,2.07,2.59,51.74,DZ75,qtr
1342,189,10-18-2025,pending,3.98,4.98,99.52,DZ75,kwt
1342,2345,10-18-2025,pending,1.98,2.2,43.98,DZ88,ksa
1342,6706,10-18-2025,pending,2.28,2.85,57.08,DZ9,qtr
1342,2345,10-17-2025,pending,1.14,1.27,25.4,DZ90,ksa
1342,6669,10-16-2025,pending,5.36,6.7,133.97,DZ96,ksa
1342,6669,10-18-2025,pending,1.76,2.2,43.98,DZ96,ksa
1342,6669,10-16-2025,pending,1.97,2.46,49.16,DZ96,uae
1342,14465,10-21-2025,pending,1.98,2.2,43.98,DZ1,ksa
1342,6706,10-21-2025,pending,2.07,2.59,51.75,DZ10,qtr
1342,5458,10-22-2025,pending,1.76,2.2,43.98,DZ12,ksa
1342,5458,10-27-2025,pending,1.59,1.98,39.68,DZ12,ksa
1342,1,10-26-2025,pending,0.0,2.2,43.98,DZ13,ksa
1342,6658,10-27-2025,pending,2.03,2.54,50.79,DZ14,ksa
1342,13945,10-24-2025,pending,1.76,2.2,43.98,DZ17,ksa
1342,13945,10-24-2025,pending,1.76,2.2,43.98,DZ17,ksa
1342,13945,10-25-2025,pending,1.76,2.2,43.98,DZ17,ksa
1342,6947,10-21-2025,pending,3.98,4.98,99.58,DZ19,uae
