offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1163,6802,10-19-2025,pending,3.62,5.57,,TT146,ksa
1163,2345,10-19-2025,pending,6.18,6.87,,TT3,ksa
1163,7031,10-19-2025,pending,2.13,3.27,,TT54,ksa
1163,2345,10-19-2025,pending,10.22,11.36,,TT19,ksa
1163,2345,10-19-2025,pending,7.45,8.27,,TT19,ksa
1163,6669,10-19-2025,pending,9.2,14.16,,TT135,ksa
1163,5458,10-19-2025,pending,4.29,6.6,,TT5,ksa
1163,6669,10-19-2025,pending,5.38,8.27,,TT135,ksa
1163,6669,10-19-2025,pending,3.24,4.98,,TT135,ksa
1163,2345,10-19-2025,pending,2.7,3.0,,TT27,ksa
1163,2345,10-20-2025,pending,10.1,11.22,,TT27,ksa
1163,6728,10-20-2025,pending,2.24,2.91,,TT99,ksa
1163,6887,10-20-2025,pending,7.2,11.08,,TT48,ksa
1163,14638,10-20-2025,pending,5.38,8.27,,BF77,ksa
1163,2345,10-20-2025,pending,3.2,3.56,,TT27,ksa
1163,2345,10-21-2025,pending,7.45,8.27,,TT3,ksa
1163,2345,10-21-2025,pending,5.6,6.22,,TT3,ksa
1163,6669,10-21-2025,pending,9.02,13.88,,TT135,ksa
1163,2345,10-21-2025,pending,12.5,13.88,,TT19,ksa
1163,2345,10-21-2025,pending,2.7,3.0,,TT27,ksa
1163,2345,10-21-2025,pending,5.53,6.14,,TT27,ksa
1163,6729,10-21-2025,pending,6.37,8.27,,TT87,ksa
1163,2345,10-21-2025,pending,3.45,3.83,,TT27,ksa
1163,2345,10-21-2025,pending,15.14,16.83,,TT27,ksa
1163,2345,10-22-2025,pending,8.78,9.76,,TT27,ksa
1163,2345,10-22-2025,pending,7.45,8.27,,TT27,ksa
1163,2345,10-22-2025,pending,3.2,3.56,,TT18,ksa
1163,2345,10-22-2025,pending,9.97,11.08,,TT19,ksa
1163,2345,10-22-2025,pending,7.45,8.27,,TT3,ksa
1163,2345,10-22-2025,pending,4.84,5.38,,TT19,ksa
1163,13945,10-22-2025,pending,7.2,11.08,,RS11,ksa
1163,6669,10-22-2025,pending,5.56,8.55,,TT135,ksa
1163,2345,10-22-2025,pending,12.75,14.16,,TT19,ksa
1163,6669,10-23-2025,pending,0.0,,85.23,TT135,ksa
1163,6669,10-23-2025,pending,0.0,,114.84,TT38,ksa
1163,6669,10-23-2025,pending,0.0,,47.25,TT135,ksa
1163,2345,10-23-2025,pending,0.0,,22.35,TT27,ksa
1163,6727,10-23-2025,pending,0.0,,139.17,TT34,ksa
1163,2345,10-23-2025,pending,0.0,,22.35,TT27,ksa
1163,8486,10-23-2025,pending,0.0,,60.41,RS10,ksa
1163,5458,10-23-2025,pending,0.0,,45.68,TT5,ksa
1163,6669,10-23-2025,pending,0.0,,85.23,TT135,ksa
1163,8486,10-23-2025,pending,0.0,,108.94,RS10,ksa
1163,5458,10-23-2025,pending,0.0,,85.23,TT5,ksa
1163,8486,10-24-2025,pending,0.0,,106.8,RS10,ksa
1163,6669,10-24-2025,pending,0.0,,85.23,TT135,ksa
1163,3607,10-24-2025,pending,0.0,,72.93,BF86,ksa
1163,6669,10-24-2025,pending,0.0,,50.0,TT135,ksa
1163,6669,10-24-2025,pending,0.0,,116.97,TT38,ksa
1163,2345,10-24-2025,pending,0.0,,85.23,TT26,ksa
1163,6669,10-24-2025,pending,0.0,,47.01,TT135,ksa
1163,8486,10-24-2025,pending,0.0,,106.8,RS10,ksa
1163,6727,10-24-2025,pending,0.0,,85.23,TT61,ksa
1163,6875,10-24-2025,pending,0.0,,62.03,TT36,ksa
1163,2345,10-24-2025,pending,0.0,,22.35,TT19,ksa
1163,8486,10-24-2025,pending,0.0,,26.67,RS10,ksa
1163,2345,10-24-2025,pending,0.0,,51.76,TT27,ksa
1163,2345,10-25-2025,pending,0.0,,52.86,TT19,ksa
1163,6669,10-25-2025,pending,0.0,,61.49,TT136,ksa
1163,6669,10-25-2025,pending,0.0,,87.36,TT135,ksa
1163,8486,10-25-2025,pending,0.0,,47.86,RS10,ksa
1163,8486,10-25-2025,pending,0.0,,43.55,RS10,ksa
1163,6669,10-25-2025,pending,0.0,,43.55,TT135,ksa
